"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1990"	"1990 Hungarian F1 GP"	"Onyx"	"0"	"DNQ"	"No Time"
"1990"	"1990 German F1 GP"	"Onyx"	"26"	"DNF"	"Spun Off"
"1990"	"1990 British F1 GP"	"Onyx"	"0"	"DNQ"	"No Time"
"1990"	"1990 French F1 GP"	"Onyx"	"0"	"DNQ"	"No Time"
"1990"	"1990 Mexican F1 GP"	"Onyx"	"23"	"15"	""
"1990"	"1990 Canadian F1 GP"	"Onyx"	"21"	"DNF"	"Engine"
"1990"	"1990 Monaco F1 GP"	"Onyx"	"20"	"7"	"Collision"
"1990"	"1990 San Marino F1 GP"	"Onyx"	"23"	"DNF"	"Engine"
"1990"	"1990 Brazilian F1 GP"	"Brabham"	"22"	"DNF"	"Transmission"
"1990"	"1990 USA F1 GP"	"Brabham"	"23"	"DNF"	"Accident"
"1989"	"1989 Spanish F1 GP"	"Rial"	"0"	"DNQ"	"No Time"
"1989"	"1989 Belgian F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Hungarian F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 German F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 British F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 French F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Canadian F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 USA F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Mexican F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Monaco F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 San Marino F1 GP"	"Euro Brun"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Brazilian F1 GP"	"Euro Brun"	"0"	"DNQ"	"No Time"
