"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1977"	"1977 Japanese F1 GP"	"Team Lotus"	"14"	"DNF"	"Gearbox"
"1977"	"1977 Canadian F1 GP"	"Team Lotus"	"4"	"DNF"	"Accident"
"1977"	"1977 USA F1 GP"	"Team Lotus"	"12"	"DNF"	"Accident"
"1977"	"1977 Italian F1 GP"	"Team Lotus"	"22"	"DNF"	"Suspension"
"1977"	"1977 Dutch F1 GP"	"Team Lotus"	"5"	"DNF"	"Accident"
"1977"	"1977 Austrian F1 GP"	"Team Lotus"	"16"	"DNF"	"Engine"
"1977"	"1977 German F1 GP"	"Team Lotus"	"9"	"DNF"	"Engine"
"1977"	"1977 British F1 GP"	"Team Lotus"	"5"	"3"	""
"1977"	"1977 French F1 GP"	"Team Lotus"	"3"	"4"	""
"1977"	"1977 Swedish F1 GP"	"Team Lotus"	"7"	"19"	"Wheel Bearing"
"1977"	"1977 Belgian F1 GP"	"Team Lotus"	"3"	"1"	""
"1977"	"1977 Monaco F1 GP"	"Team Lotus"	"13"	"DNF"	"Gearbox"
"1977"	"1977 Spanish F1 GP"	"Team Lotus"	"12"	"5"	""
"1977"	"1977 USA West F1 GP"	"Team Lotus"	"16"	"8"	""
"1977"	"1977 South African F1 GP"	"Team Lotus"	"10"	"12"	""
"1977"	"1977 Brazilian F1 GP"	"Team Lotus"	"10"	"5"	""
"1977"	"1977 Argentine F1 GP"	"Team Lotus"	"10"	"DNS"	"No Time"
"1976"	"1976 Japanese F1 GP"	"Team Lotus"	"16"	"6"	""
"1976"	"1976 USA F1 GP"	"Team Lotus"	"20"	"DNF"	"Engine"
"1976"	"1976 Canadian F1 GP"	"Team Lotus"	"15"	"12"	""
"1976"	"1976 Italian F1 GP"	"Team Lotus"	"12"	"13"	""
"1976"	"1976 Dutch F1 GP"	"Team Lotus"	"13"	"DNF"	"Accident"
"1976"	"1976 Austrian F1 GP"	"Team Lotus"	"4"	"3"	""
"1976"	"1976 German F1 GP"	"Team Lotus"	"16"	"5"	""
"1976"	"1976 British F1 GP"	"Team Lotus"	"14"	"DNF"	"Engine"
"1976"	"1976 French F1 GP"	"Team Lotus"	"12"	"DNF"	"Gearbox"
"1976"	"1976 Swedish F1 GP"	"Team Lotus"	"6"	"DNF"	"Accident"
"1976"	"1976 Monaco F1 GP"	"Team Lotus"	"0"	"DNF"	"Engine"
"1976"	"1976 Belgian F1 GP"	"Team Lotus"	"22"	"DNF"	"accident"
"1976"	"1976 Spanish F1 GP"	"Team Lotus"	"7"	"3"	""
"1976"	"1976 USA West F1 GP"	"Team Lotus"	"8"	"DNF"	"Suspension"
"1976"	"1976 South African F1 GP"	"Team Lotus"	"25"	"DNF"	"clutch"
"1977"	"1977 British F1 GP"	"Team Lotus"	"5"	"3"	""
"1977"	"1977 Belgian F1 GP"	"Team Lotus"	"3"	"1"	""
"1976"	"1976 Austrian F1 GP"	"Team Lotus"	"4"	"3"	""
"1976"	"1976 Spanish F1 GP"	"Team Lotus"	"7"	"3"	""
