"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1967"	"1967 Mexican F1 GP"	"Brabham"	"19"	"11"	""
"1967"	"1967 USA F1 GP"	"Brabham"	"17"	"DNF"	"Engine"
"1967"	"1967 Italian F1 GP"	"Brabham"	"18"	"DNF"	"Engine"
"1967"	"1967 German F1 GP"	"Brabham"	"17"	"8"	""
"1967"	"1967 British F1 GP"	"Brabham"	"21"	"10"	""
"1967"	"1967 French F1 GP"	"Cooper-Maserati"	"15"	"NC"	"Not Classified"
"1967"	"1967 Belgian F1 GP"	"Cooper-Maserati"	"18"	"10"	""
"1966"	"1966 German F1 GP"	"Cooper-Maserati"	"0"	"DNS"	"Injury"
"1966"	"1966 Dutch F1 GP"	"Cooper-Maserati"	"16"	"9"	""
"1966"	"1966 British F1 GP"	"Cooper-Maserati"	"17"	"10"	""
"1966"	"1966 French F1 GP"	"Cooper-Maserati"	"11"	"NC"	"Not Classified"
"1966"	"1966 Belgian F1 GP"	"Cooper-Maserati"	"12"	"NC"	"Not Classified"
"1966"	"1966 Monaco F1 GP"	"Cooper-Maserati"	"15"	"NC"	"Not Classified"
