"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1969"	"1969 German F1 GP"	"Team Lotus"	"0"	"DNS"	"Non Starter"
"1961"	"1961 German F1 GP"	"Porsche"	"11"	"13"	""
"1961"	"1961 French F1 GP"	"Porsche"	"0"	"WD"	"Entry taken by de Beaufort"
"1961"	"1961 Dutch F1 GP"	"Porsche"	"13"	"15"	""
"1961"	"1961 Monaco F1 GP"	"Porsche"	"13"	"9"	""
"1960"	"1960 Italian F1 GP"	"Porsche"	"10"	"6"	""
"1959"	"1959 German F1 GP"	"BRM"	"11"	"DNF"	"Accident"
"1959"	"1959 British F1 GP"	"Cooper-Climax"	"19"	"DNF"	"Gearbox"
"1958"	"1958 Moroccan F1 GP"	"Maserati"	"18"	"9"	""
"1958"	"1958 Italian F1 GP"	"Maserati"	"18"	"DNF"	"Engine"
"1958"	"1958 German F1 GP"	"Maserati"	"20"	"DNF"	"Engine"
"1957"	"1957 German F1 GP"	"Maserati"	"11"	"DNF"	"Chassis"
"1957"	"1957 Monaco F1 GP"	"Maserati"	"0"	"DNQ"	"No Time"
"1955"	"1955 Monaco F1 GP"	"Mercedes"	"0"	"DNQ"	"Driver injured"
"1955"	"1955 Argentine F1 GP"	"Mercedes"	"10"	"4"	""
"1954"	"1954 Spanish F1 GP"	"Mercedes"	"9"	"DNF"	"Injection"
"1954"	"1954 Italian F1 GP"	"Mercedes"	"8"	"4"	""
"1954"	"1954 Swiss F1 GP"	"Mercedes"	"7"	"3"	""
"1954"	"1954 German F1 GP"	"Mercedes"	"4"	"DNF"	"Fuel Leak"
"1954"	"1954 French F1 GP"	"Mercedes"	"7"	"DNF"	"Engine"
"1953"	"1953 German F1 GP"	"Veritas"	"14"	"9"	""
"1954"	"1954 Swiss F1 GP"	"Mercedes"	"7"	"3"	""
