"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1980"	"1980 German F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1978"	"1978 Italian F1 GP"	"Ensign"	"0"	"DNPQ"	"No Time"
"1978"	"1978 Italian F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1978"	"1978 Dutch F1 GP"	"Ensign"	"0"	"DNPQ"	"No Time"
"1978"	"1978 Austrian F1 GP"	"Ensign"	"24"	"DNF"	"Accident"
"1978"	"1978 German F1 GP"	"Ensign"	"17"	"11"	"Engine"
"1977"	"1977 French F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1977"	"1977 Swedish F1 GP"	"Hesketh"	"23"	"16"	""
"1977"	"1977 Belgian F1 GP"	"Hesketh"	"25"	"9"	""
"1977"	"1977 Monaco F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1977"	"1977 Spanish F1 GP"	"Hesketh"	"10"	"DNF"	"Radiator"
"1976"	"1976 Japanese F1 GP"	"Hesketh"	"22"	"8"	""
"1976"	"1976 USA F1 GP"	"Hesketh"	"21"	"13"	""
"1976"	"1976 Canadian F1 GP"	"Hesketh"	"0"	"DNS"	"Practice accident"
"1976"	"1976 Italian F1 GP"	"Hesketh"	"19"	"16"	"Halfshaft"
"1976"	"1976 Dutch F1 GP"	"Hesketh"	"24"	"DNF"	"Spun Off"
"1976"	"1976 Austrian F1 GP"	"Hesketh"	"20"	"8"	""
"1976"	"1976 German F1 GP"	"Hesketh"	"22"	"DNF"	"Accident in first race"
"1976"	"1976 British F1 GP"	"Hesketh"	"23"	"7"	""
"1976"	"1976 French F1 GP"	"Hesketh"	"29"	"DNF"	"Differential"
"1976"	"1976 Swedish F1 GP"	"Hesketh"	"23"	"DNF"	"Spun Off"
"1976"	"1976 Monaco F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1976"	"1976 Belgian F1 GP"	"Hesketh"	"24"	"DNF"	"Engine"
"1976"	"1976 Spanish F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1976"	"1976 USA West F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1976"	"1976 South African F1 GP"	"Hesketh"	"24"	"15"	""
"1975"	"1975 Italian F1 GP"	"Hesketh"	"17"	"9"	""
"1975"	"1975 Austrian F1 GP"	"Hesketh"	"26"	"DNF"	"Electrical"
"1975"	"1975 German F1 GP"	"Hesketh"	"23"	"8"	""
