"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1981"	"1981 Caesars Palace F1 GP"	"Brabham"	"16"	"DNF"	"Throttle"
"1981"	"1981 Canadian F1 GP"	"Brabham"	"6"	"DNF"	"Spun Off"
"1981"	"1981 Italian F1 GP"	"Brabham"	"14"	"DNF"	"Electrical"
"1981"	"1981 Dutch F1 GP"	"Brabham"	"15"	"4"	""
"1981"	"1981 Austrian F1 GP"	"Brabham"	"15"	"DNF"	"Clutch"
"1981"	"1981 German F1 GP"	"Brabham"	"16"	"4"	""
"1981"	"1981 British F1 GP"	"Brabham"	"13"	"5"	""
"1981"	"1981 French F1 GP"	"Brabham"	"15"	"9"	""
"1981"	"1981 Spanish F1 GP"	"Brabham"	"18"	"DNF"	"Gearbox"
"1981"	"1981 Monaco F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1981"	"1981 Belgian F1 GP"	"Brabham"	"21"	"DNF"	"Accident"
"1981"	"1981 San Marino F1 GP"	"Brabham"	"13"	"4"	""
"1981"	"1981 Argentine F1 GP"	"Brabham"	"6"	"DNF"	"Electrical"
"1981"	"1981 Brazilian F1 GP"	"Brabham"	"11"	"DNF"	"Spun Off"
"1981"	"1981 USA West F1 GP"	"Brabham"	"15"	"DNF"	"Accident"
"1980"	"1980 USA F1 GP"	"Brabham"	"8"	"DNF"	"Engine"
"1980"	"1980 Canadian F1 GP"	"Brabham"	"10"	"6"	""
"1980"	"1980 Italian F1 GP"	"Brabham"	"9"	"DNF"	"Suspension"
"1980"	"1980 Dutch F1 GP"	"Brabham"	"13"	"DNF"	"Gearbox"
"1980"	"1980 Austrian F1 GP"	"Brabham"	"14"	"10"	""
"1980"	"1980 German F1 GP"	"Brabham"	"15"	"DNF"	"Gearbox"
"1980"	"1980 British F1 GP"	"Brabham"	"17"	"7"	""
"1979"	"1979 USA F1 GP"	"Rebaque"	"0"	"DNQ"	"No Time"
"1979"	"1979 Canadian F1 GP"	"Rebaque"	"22"	"DNF"	"Chassis"
"1979"	"1979 Italian F1 GP"	"Rebaque"	"0"	"DNQ"	"No Time"
"1979"	"1979 Dutch F1 GP"	"Team Lotus"	"24"	"7"	""
"1979"	"1979 Austrian F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1979"	"1979 German F1 GP"	"Team Lotus"	"24"	"DNF"	"Handling"
"1979"	"1979 British F1 GP"	"Team Lotus"	"26"	"9"	""
"1979"	"1979 French F1 GP"	"Team Lotus"	"23"	"12"	""
"1979"	"1979 Belgian F1 GP"	"Team Lotus"	"15"	"DNF"	"Transmission"
"1979"	"1979 Spanish F1 GP"	"Team Lotus"	"23"	"DNF"	"Engine"
"1979"	"1979 USA West F1 GP"	"Team Lotus"	"23"	"DNF"	"Accident"
"1979"	"1979 South African F1 GP"	"Team Lotus"	"23"	"DNF"	"Engine"
"1979"	"1979 Brazilian Grand F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1979"	"1979 Argentine F1 GP"	"Team Lotus"	"19"	"DNF"	"Suspension"
"1978"	"1978 Canadian F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1978"	"1978 USA F1 GP"	"Team Lotus"	"23"	"DNF"	"Clutch"
"1978"	"1978 Italian F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1978"	"1978 Dutch F1 GP"	"Team Lotus"	"20"	"11"	""
"1978"	"1978 Austrian F1 GP"	"Team Lotus"	"18"	"DNF"	"Accident"
"1978"	"1978 German F1 GP"	"Team Lotus"	"18"	"6"	""
"1978"	"1978 British F1 GP"	"Team Lotus"	"21"	"DNF"	"Gearbox"
"1978"	"1978 French F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1978"	"1978 Swedish F1 GP"	"Team Lotus"	"21"	"12"	""
"1978"	"1978 Spanish F1 GP"	"Team Lotus"	"20"	"DNF"	"Exhaust"
"1978"	"1978 Belgian F1 GP"	"Team Lotus"	"0"	"DNPQ"	"No Time"
"1978"	"1978 Monaco F1 GP"	"Team Lotus"	"0"	"DNPQ"	"No Time"
"1978"	"1978 USA West F1 GP"	"Team Lotus"	"0"	"DNPQ"	"No Time"
"1978"	"1978 South African F1 GP"	"Team Lotus"	"21"	"10"	""
"1978"	"1978 Brazilian F1 GP"	"Team Lotus"	"22"	"DNF"	"Physical"
"1978"	"1978 Argentine F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1977"	"1977 Dutch F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1977"	"1977 Austrian F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1977"	"1977 German F1 GP"	"Hesketh"	"24"	"DNF"	"Engine"
"1977"	"1977 French F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1977"	"1977 Swedish F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1977"	"1977 Belgian F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
