"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1961"	"1961 Italian F1 GP"	"Team Lotus"	"23"	"11"	""
"1961"	"1961 British F1 GP"	"Team Lotus"	"17"	"DNF"	"Accident"
"1961"	"1961 French F1 GP"	"Team Lotus"	"25"	"10"	""
"1961"	"1961 Belgian F1 GP"	"Team Lotus"	"0"	"DNS"	"Car Damaged by Allison"
"1961"	"1961 Monaco F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1960"	"1960 USA F1 GP"	"Cooper-Climax"	"14"	"14"	""
"1960"	"1960 British F1 GP"	"Cooper-Climax"	"16"	"8"	""
"1960"	"1960 French F1 GP"	"Cooper-Climax"	"12"	"4"	""
"1960"	"1960 Dutch F1 GP"	"Cooper-Climax"	"14"	"7"	""
"1959"	"1959 British F1 GP"	"Cooper-Climax"	"21"	"11"	""
