"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1991"	"1991 Portuguese F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Italian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Belgian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Hungarian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 German F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 British F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"French Grand Prix"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Mexican F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Canadian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Monaco F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 San Marino F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Brazilian F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1991"	"1991 USA F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
