"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1963"	"1963 Italian F1 GP"	"Scirocco"	"0"	"WD"	"No Time"
"1963"	"1963 German F1 GP"	"Scirocco"	"19"	"DNF"	"Steering"
"1963"	"1963 British F1 GP"	"Scirocco"	"20"	"DNF"	"Ignition"
"1963"	"1963 French F1 GP"	"Scirocco"	"0"	"WD"	"Car not ready"
"1963"	"1963 Dutch F1 GP"	"Scirocco"	"0"	"WD"	"No Time"
"1963"	"1963 Belgian F1 GP"	"Scirocco"	"0"	"WD"	"Car not ready"
"1963"	"1963 Monaco F1 GP"	"Scirocco"	"0"	"WD"	"Car not ready"
"1962"	"1962 Italian F1 GP"	"Cooper-Climax"	"0"	"DNQ"	"No Time"
"1962"	"1962 German F1 GP"	"Cooper-Climax"	"16"	"11"	""
"1962"	"1962 British F1 GP"	"Cooper-Climax"	"16"	"12"	""
"1962"	"1962 French F1 GP"	"Cooper-Climax"	"0"	"WD"	"No Time"
"1961"	"1961 German F1 GP"	"Cooper-Climax"	"24"	"12"	""
"1961"	"1961 British F1 GP"	"Team Lotus"	"25"	"14"	""
"1961"	"1961 French F1 GP"	"Team Lotus"	"24"	"14"	""
"1961"	"1961 Belgian F1 GP"	"Team Lotus"	"0"	"DNS"	"Start Money Dispute"
"1961"	"1961 Dutch F1 GP"	"Team Lotus"	"0"	"DNS"	"Reserve Entry"
"1960"	"1960 USA F1 GP"	"Cooper-Climax"	"23"	"DNF"	"Ignition"
"1960"	"1960 British F1 GP"	"Cooper-Climax"	"20"	"DNF"	"Engine"
"1960"	"1960 French F1 GP"	"Cooper-Climax"	"22"	"10"	""
"1960"	"1960 Monaco F1 GP"	"Cooper-Climax"	"0"	"DNQ"	"No Time"
"1959"	"1959 Italian F1 GP"	"Cooper-Climax"	"16"	"14"	""
"1959"	"1959 German F1 GP"	"Cooper-Climax"	"15"	"6"	""
"1959"	"1959 British F1 GP"	"Cooper-Climax"	"13"	"DNF"	"Transmission"
"1959"	"1959 French F1 GP"	"Cooper-Climax"	"19"	"DNF"	"Engine"
"1958"	"1958 German F1 GP"	"Cooper-Climax"	"11"	"7"	""
"1958"	"1958 British F1 GP"	"Cooper-Climax"	"16"	"DNF"	"Clutch"
