"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1993"	"1993 Brazilian F1 GP"	"Jordan"	"26"	"DNQ"	"Did not qualify"
"1993"	"1993 South African F1 GP"	"Jordan"	"18"	"DNF"	"Spun off"
"1992"	"1992 Portuguese F1 GP"	"Ferrari"	"16"	"DNF"	"Engine"
"1992"	"1992 Italian F1 GP"	"Ferrari"	"7"	"DNF"	"Electrical"
"1992"	"1992 Belgian F1 GP"	"Ferrari"	"12"	"DNF"	"Engine"
"1992"	"1992 Hungarian F1 GP"	"Ferrari"	"10"	"6"	""
"1992"	"1992 German F1 GP"	"Ferrari"	"12"	"DNF"	"Engine"
"1992"	"1992 British F1 GP"	"Ferrari"	"14"	"9"	""
"1992"	"1992 French F1 GP"	"Ferrari"	"8"	"DNF"	"Engine"
"1992"	"1992 Canadian F1 GP"	"Ferrari"	"9"	"DNF"	"Spun Off"
"1992"	"1992 Monaco F1 GP"	"Ferrari"	"8"	"DNF"	"Spun Off"
"1992"	"San Marino Grand Prix"	"Ferrari"	"8"	"DNF"	"Spun Off"
"1992"	"1992 Spanish F1 GP"	"Ferrari"	"5"	"10"	"Spun Off"
"1992"	"1992 Brazilian F1 GP"	"Ferrari"	"11"	"5"	""
"1992"	"1992 Mexican F1 GP"	"Ferrari"	"20"	"DNF"	"Collision"
"1992"	"1992 South African F1 GP"	"Ferrari"	"9"	"DNF"	"Engine"
"1991"	"1991 Spanish F1 GP"	"Leyton House"	"8"	"DNF"	"Collision"
"1991"	"1991 Portuguese F1 GP"	"Leyton House"	"9"	"17"	"Spun Off"
"1991"	"1991 Italian F1 GP"	"Leyton House"	"12"	"8"	""
"1991"	"1991 Belgian F1 GP"	"Leyton House"	"12"	"DNF"	"Engine"
"1991"	"1991 Hungarian F1 GP"	"Leyton House"	"9"	"6"	""
"1991"	"1991 German F1 GP"	"Leyton House"	"12"	"DNF"	"Engine"
"1991"	"1991 British F1 GP"	"Leyton House"	"16"	"DNF"	"Spun Off"
"1991"	"French Grand Prix"	"Leyton House"	"15"	"DNF"	"Spun Off"
"1991"	"1991 Mexican F1 GP"	"Leyton House"	"22"	"DNF"	"Engine"
"1991"	"1991 Canadian F1 GP"	"Leyton House"	"13"	"DNF"	"Engine"
"1991"	"1991 Monaco F1 GP"	"Leyton House"	"18"	"DNF"	"Brakes"
"1991"	"1991 San Marino F1 GP"	"Leyton House"	"22"	"DNF"	"Spun Off"
"1991"	"1991 Brazilian F1 GP"	"Leyton House"	"15"	"DNF"	"Transmission"
"1991"	"1991 USA F1 GP"	"Leyton House"	"18"	"DNF"	"Gearbox"
"1990"	"1990 Australian F1 GP"	"Leyton House"	"14"	"DNF"	"Throttle"
"1990"	"1990 Japanese F1 GP"	"Leyton House"	"13"	"DNF"	"Ignition"
"1990"	"1990 Spanish F1 GP"	"Leyton House"	"19"	"DNF"	"Physical"
"1990"	"1990 Portuguese F1 GP"	"Leyton House"	"12"	"DNF"	"Engine"
"1990"	"1990 Italian F1 GP"	"Leyton House"	"16"	"DNF"	"Engine"
"1990"	"1990 Belgian F1 GP"	"Leyton House"	"12"	"7"	""
"1990"	"1990 Hungarian F1 GP"	"Leyton House"	"16"	"DNF"	"Gearbox"
"1990"	"1990 German F1 GP"	"Leyton House"	"10"	"7"	""
"1990"	"1990 British F1 GP"	"Leyton House"	"10"	"DNF"	"Fuel Leak"
"1990"	"1990 French F1 GP"	"Leyton House"	"7"	"2"	""
"1990"	"1990 Mexican F1 GP"	"Leyton House"	"0"	"DNQ"	"No Time"
"1990"	"1990 Canadian F1 GP"	"Leyton House"	"24"	"10"	""
"1990"	"1990 Monaco F1 GP"	"Leyton House"	"23"	"DNF"	"Brakes"
"1990"	"1990 San Marino F1 GP"	"Leyton House"	"18"	"DNF"	"Collision"
"1990"	"1990 Brazilian F1 GP"	"Leyton House"	"0"	"DNQ"	"No Time"
"1990"	"1990 USA F1 GP"	"Leyton House"	"26"	"DNF"	"Electrical"
"1989"	"1989 Australian F1 GP"	"March"	"16"	"DNF"	"Radiator"
"1989"	"1989 Japanese F1 GP"	"March"	"17"	"DNF"	"Suspension"
"1989"	"1989 Spanish F1 GP"	"March"	"19"	"DNF"	"Transmission"
"1989"	"1989 Portuguese F1 GP"	"March"	"24"	"DNF"	"Engine"
"1989"	"1989 Italian F1 GP"	"March"	"18"	"DNF"	"Engine"
"1989"	"1989 Belgian F1 GP"	"March"	"19"	"12"	""
"1989"	"1989 Hungarian F1 GP"	"March"	"14"	"DNF"	"Wheel"
"1989"	"1989 German F1 GP"	"March"	"22"	"DNF"	"Electrical"
"1989"	"1989 British F1 GP"	"March"	"8"	"DNF"	"Transmission"
"1989"	"1989 French F1 GP"	"March"	"12"	"DNF"	"Engine"
"1989"	"1989 Canadian F1 GP"	"March"	"21"	"DNF"	"Spun Off"
"1989"	"1989 USA F1 GP"	"March"	"11"	"DNF"	"Transmission"
"1989"	"1989 Mexican F1 GP"	"March"	"4"	"DNF"	"Transmission"
"1989"	"1989 Monaco F1 GP"	"March"	"22"	"11"	""
"1989"	"1989 San Marino F1 GP"	"March"	"13"	"DNF"	"Spun Off"
"1989"	"1989 Brazilian F1 GP"	"March"	"7"	"DNF"	"Suspension"
"1988"	"1988 Australian F1 GP"	"March"	"9"	"6"	""
"1988"	"1988 Japanese F1 GP"	"March"	"4"	"DNF"	"Electrical"
"1988"	"1988 Spanish F1 GP"	"March"	"6"	"DNF"	"Engine"
"1988"	"1988 Portuguese F1 GP"	"March"	"3"	"2"	""
"1988"	"1988 Italian F1 GP"	"March"	"11"	"5"	""
"1988"	"1988 Belgian F1 GP"	"March"	"14"	"3"	""
"1988"	"1988 Hungarian F1 GP"	"March"	"4"	"DNF"	"Engine"
"1988"	"1988 German F1 GP"	"March"	"7"	"5"	""
"1988"	"1988 British F1 GP"	"March"	"6"	"DNF"	"Alternator"
"1988"	"1988 French F1 GP"	"March"	"10"	"9"	""
