"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1961"	"1961 Italian F1 GP"	"Cooper-Climax"	"26"	"DNF"	"Engine"
"1961"	"1961 British F1 GP"	"Ferguson"	"20"	"DSQ"	"Disqualified"
"1960"	"1960 British F1 GP"	"Cooper-Climax"	"15"	"DNF"	"Fuel Pump"
"1959"	"1959 Italian F1 GP"	"Cooper-Climax"	"12"	"DNF"	"Engine"
"1959"	"1959 British F1 GP"	"Cooper-Climax"	"15"	"DNF"	"Gearbox"
"1958"	"1958 Moroccan F1 GP"	"Cooper-Climax"	"11"	"8"	""
"1958"	"1958 British F1 GP"	"Connaught"	"19"	"DNF"	"Ignition"
"1957"	"1957 British F1 GP"	"BRM"	"16"	"DNF"	"Engine"
"1956"	"1956 Italian F1 GP"	"Connaught"	"16"	"5"	""
"1956"	"1956 British F1 GP"	"Connaught"	"21"	"4"	""
"1955"	"1955 British F1 GP"	"Connaught"	"21"	"DNS"	"Engine"
"1953"	"1953 Italian F1 GP"	"Connaught"	"22"	"NC"	"Not Classified"
"1953"	"1953 British F1 GP"	"HWM"	"27"	"DNF"	"Clutch"
