"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1973"	"1973 USA F1 GP"	"Tyrrell"	"5"	"WD"	"Withdrew"
"1973"	"1973 Canadian F1 GP"	"Tyrrell"	"9"	"5"	""
"1973"	"1973 Italian F1 GP"	"Tyrrell"	"6"	"4"	""
"1973"	"1973 Austrian F1 GP"	"Tyrrell"	"7"	"2"	""
"1973"	"1973 German F1 GP"	"Tyrrell"	"1"	"1"	""
"1973"	"1973 Dutch F1 GP"	"Tyrrell"	"2"	"1"	""
"1973"	"1973 British F1 GP"	"Tyrrell"	"4"	"10"	""
"1973"	"1973 French F1 GP"	"Tyrrell"	"1"	"4"	""
"1973"	"1973 Swedish F1 GP"	"Tyrrell"	"3"	"5"	""
"1973"	"1973 Monaco F1 GP"	"Tyrrell"	"1"	"1"	""
"1973"	"1973 Belgian F1 GP"	"Tyrrell"	"6"	"1"	""
"1973"	"1973 Spanish F1 GP"	"Tyrrell"	"4"	"DNF"	"Brakes"
"1973"	"1973 South African F1 GP"	"Tyrrell"	"16"	"1"	""
"1973"	"1973 Brazilian F1 GP"	"Tyrrell"	"8"	"2"	""
"1973"	"1973 Argentine F1 GP"	"Tyrrell"	"4"	"3"	""
"1972"	"1972 USA F1 GP"	"Tyrrell"	"1"	"1"	""
"1972"	"1972 Canadian F1 GP"	"Tyrrell"	"5"	"1"	""
"1972"	"1972 Italian F1 GP"	"Tyrrell"	"3"	"DNF"	"Clutch"
"1972"	"1972 Austrian F1 GP"	"Tyrrell"	"3"	"7"	""
"1972"	"1972 German F1 GP"	"Tyrrell"	"2"	"11"	"Collision"
"1972"	"1972 British F1 GP"	"Tyrrell"	"4"	"2"	""
"1972"	"1972 French F1 GP"	"Tyrrell"	"3"	"1"	""
"1972"	"1972 Monaco F1 GP"	"Tyrrell"	"8"	"4"	""
"1972"	"1972 Spanish F1 GP"	"Tyrrell"	"4"	"DNF"	"Accident"
"1972"	"1972 South African F1 GP"	"Tyrrell"	"1"	"DNF"	"Gearbox"
"1972"	"1972 Argentine F1 GP"	"Tyrrell"	"2"	"1"	""
"1971"	"1971 USA F1 GP"	"Tyrrell"	"1"	"5"	""
"1971"	"1971 Canadian F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 Italian F1 GP"	"Tyrrell"	"7"	"DNF"	"Engine"
"1971"	"1971 Austrian F1 GP"	"Tyrrell"	"2"	"DNF"	"Halfshaft"
"1971"	"1971 German F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 British F1 GP"	"Tyrrell"	"2"	"1"	""
"1971"	"1971 French F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 Dutch F1 GP"	"Tyrrell"	"3"	"11"	""
"1971"	"1971 Monaco F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 Spanish F1 GP"	"Tyrrell"	"4"	"1"	""
"1971"	"1971 South African F1 GP"	"Tyrrell"	"1"	"2"	""
"1970"	"1970 Mexican F1 GP"	"Tyrrell"	"2"	"DNF"	"Suspension"
"1970"	"1970 USA F1 GP"	"Tyrrell"	"2"	"DNF"	"Oil Leak"
"1970"	"1970 Canadian F1 GP"	"Tyrrell"	"1"	"DNF"	"Axle"
"1970"	"1970 Italian F1 GP"	"March"	"4"	"2"	""
"1970"	"1970 Austrian F1 GP"	"March"	"4"	"DNF"	"Fuel Pipe"
"1970"	"1970 German F1 GP"	"March"	"7"	"DNF"	"Engine"
"1970"	"1970 British F1 GP"	"March"	"8"	"DNF"	"Clutch"
"1970"	"1970 French F1 GP"	"March"	"4"	"9"	""
"1970"	"1970 Dutch F1 GP"	"March"	"2"	"2"	""
"1970"	"1970 Belgian F1 GP"	"March"	"1"	"DNF"	"Engine"
"1970"	"1970 Monaco F1 GP"	"March"	"1"	"DNF"	"Engine"
"1970"	"1970 Spanish F1 GP"	"March"	"3"	"1"	""
"1970"	"1970 South African F1 GP"	"March"	"1"	"3"	""
"1969"	"1969 Mexican F1 GP"	"Matra"	"3"	"4"	""
"1969"	"1969 USA F1 GP"	"Matra"	"3"	"DNF"	"Engine"
"1969"	"1969 Canadian F1 GP"	"Matra"	"4"	"DNF"	"Collision"
"1969"	"1969 Italian F1 GP"	"Matra"	"3"	"1"	""
"1969"	"1969 German F1 GP"	"Matra"	"2"	"2"	""
"1969"	"1969 British F1 GP"	"Matra"	"2"	"1"	""
"1969"	"1969 French F1 GP"	"Matra"	"1"	"1"	""
"1969"	"1969 Dutch F1 GP"	"Matra"	"2"	"1"	""
"1969"	"1969 Monaco F1 GP"	"Matra"	"1"	"DNF"	"Halfshaft"
"1969"	"1969 Spanish F1 GP"	"Matra"	"4"	"1"	""
"1969"	"1969 South African F1 GP"	"Matra"	"4"	"1"	""
"1968"	"1968 Mexican F1 GP"	"Matra"	"7"	"7"	""
"1968"	"1968 USA F1 GP"	"Matra"	"2"	"1"	""
"1968"	"1968 Canadian F1 GP"	"Matra"	"11"	"6"	""
"1968"	"1968 Italian F1 GP"	"Matra"	"6"	"DNF"	"Engine"
"1968"	"1968 German F1 GP"	"Matra"	"6"	"1"	""
"1968"	"1968 British F1 GP"	"Matra"	"7"	"6"	""
"1968"	"1968 French F1 GP"	"Matra"	"2"	"3"	""
"1968"	"1968 Dutch F1 GP"	"Matra"	"5"	"1"	""
"1968"	"1968 Belgian F1 GP"	"Matra"	"2"	"4"	"Out of fuel"
"1968"	"1968 South African F1 GP"	"Matra"	"3"	"DNF"	"Engine"
"1967"	"1967 Mexican F1 GP"	"BRM"	"12"	"DNF"	"Engine"
"1967"	"1967 USA F1 GP"	"BRM"	"10"	"DNF"	"Injection"
"1967"	"1967 Italian F1 GP"	"BRM"	"7"	"DNF"	"Engine"
"1967"	"1967 Canadian F1 GP"	"BRM"	"9"	"DNF"	"Throttle"
"1967"	"1967 German F1 GP"	"BRM"	"3"	"DNF"	"Differential"
"1967"	"1967 British F1 GP"	"BRM"	"12"	"DNF"	"Transmission"
"1967"	"1967 French F1 GP"	"BRM"	"10"	"3"	""
"1967"	"1967 Belgian F1 GP"	"BRM"	"6"	"2"	""
"1967"	"1967 Dutch F1 GP"	"BRM"	"11"	"DNF"	"Brakes"
"1967"	"1967 Monaco F1 GP"	"BRM"	"6"	"DNF"	"Differential"
"1967"	"1967 South African F1 GP"	"BRM"	"9"	"DNF"	"Engine"
"1966"	"1966 Mexican F1 GP"	"BRM"	"10"	"DNF"	"Oil Leak"
"1966"	"1966 USA F1 GP"	"BRM"	"6"	"DNF"	"Engine"
"1966"	"1966 Italian F1 GP"	"BRM"	"9"	"DNF"	"Fuel Leak"
"1966"	"1966 German F1 GP"	"BRM"	"3"	"5"	""
"1966"	"1966 Dutch F1 GP"	"BRM"	"8"	"4"	""
"1966"	"1966 British F1 GP"	"BRM"	"8"	"DNF"	"Engine"
"1966"	"1966 Belgian F1 GP"	"BRM"	"3"	"DNF"	"Accident"
"1966"	"1966 Monaco F1 GP"	"BRM"	"3"	"1"	""
"1965"	"1965 Mexican F1 GP"	"BRM"	"8"	"DNF"	"Clutch"
"1965"	"1965 USA F1 GP"	"BRM"	"6"	"DNF"	"Suspension"
"1965"	"1965 Italian F1 GP"	"BRM"	"3"	"1"	""
"1965"	"1965 German F1 GP"	"BRM"	"2"	"DNF"	"Suspension"
"1965"	"1965 Dutch F1 GP"	"BRM"	"6"	"2"	""
"1965"	"1965 British F1 GP"	"BRM"	"4"	"5"	""
"1965"	"1965 French F1 GP"	"BRM"	"2"	"2"	""
"1965"	"1965 Belgian F1 GP"	"BRM"	"3"	"2"	""
"1965"	"1965 Monaco F1 GP"	"BRM"	"3"	"3"	""
"1965"	"1965 South African F1 GP"	"BRM"	"11"	"6"	""
"1973"	"1973 Austrian F1 GP"	"Tyrrell"	"7"	"2"	""
"1973"	"1973 German F1 GP"	"Tyrrell"	"1"	"1"	""
"1973"	"1973 Dutch F1 GP"	"Tyrrell"	"2"	"1"	""
"1973"	"1973 Monaco F1 GP"	"Tyrrell"	"1"	"1"	""
"1973"	"1973 Belgian F1 GP"	"Tyrrell"	"6"	"1"	""
"1973"	"1973 South African F1 GP"	"Tyrrell"	"16"	"1"	""
"1973"	"1973 Brazilian F1 GP"	"Tyrrell"	"8"	"2"	""
"1973"	"1973 Argentine F1 GP"	"Tyrrell"	"4"	"3"	""
"1972"	"1972 USA F1 GP"	"Tyrrell"	"1"	"1"	""
"1972"	"1972 Canadian F1 GP"	"Tyrrell"	"5"	"1"	""
"1972"	"1972 British F1 GP"	"Tyrrell"	"4"	"2"	""
"1972"	"1972 French F1 GP"	"Tyrrell"	"3"	"1"	""
"1972"	"1972 Argentine F1 GP"	"Tyrrell"	"2"	"1"	""
"1971"	"1971 Canadian F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 German F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 British F1 GP"	"Tyrrell"	"2"	"1"	""
"1971"	"1971 French F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 Monaco F1 GP"	"Tyrrell"	"1"	"1"	""
"1971"	"1971 Spanish F1 GP"	"Tyrrell"	"4"	"1"	""
"1971"	"1971 South African F1 GP"	"Tyrrell"	"1"	"2"	""
"1970"	"1970 Italian F1 GP"	"March"	"4"	"2"	""
"1970"	"1970 Dutch F1 GP"	"March"	"2"	"2"	""
"1970"	"1970 Spanish F1 GP"	"March"	"3"	"1"	""
"1970"	"1970 South African F1 GP"	"March"	"1"	"3"	""
"1969"	"1969 Italian F1 GP"	"Matra"	"3"	"1"	""
"1969"	"1969 German F1 GP"	"Matra"	"2"	"2"	""
"1969"	"1969 British F1 GP"	"Matra"	"2"	"1"	""
"1969"	"1969 French F1 GP"	"Matra"	"1"	"1"	""
"1969"	"1969 Dutch F1 GP"	"Matra"	"2"	"1"	""
"1969"	"1969 Spanish F1 GP"	"Matra"	"4"	"1"	""
"1969"	"1969 South African F1 GP"	"Matra"	"4"	"1"	""
"1968"	"1968 USA F1 GP"	"Matra"	"2"	"1"	""
"1968"	"1968 German F1 GP"	"Matra"	"6"	"1"	""
"1968"	"1968 French F1 GP"	"Matra"	"2"	"3"	""
"1968"	"1968 Dutch F1 GP"	"Matra"	"5"	"1"	""
"1967"	"1967 French F1 GP"	"BRM"	"10"	"3"	""
"1967"	"1967 Belgian F1 GP"	"BRM"	"6"	"2"	""
"1966"	"1966 Monaco F1 GP"	"BRM"	"3"	"1"	""
"1965"	"1965 Italian F1 GP"	"BRM"	"3"	"1"	""
"1965"	"1965 Dutch F1 GP"	"BRM"	"6"	"2"	""
"1965"	"1965 French F1 GP"	"BRM"	"2"	"2"	""
"1965"	"1965 Belgian F1 GP"	"BRM"	"3"	"2"	""
"1965"	"1965 Monaco F1 GP"	"BRM"	"3"	"3"	""
