"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2011"	"2011 Brazilian F1 GP"	"Toro Rosso"	"13"	"11"	""
"2011"	"2011 Abu Dhabi F1 GP"	"Toro Rosso"	"15"	"15"	""
"2011"	"2011 Indian F1 GP"	"Toro Rosso"	"10"	"8"	""
"2011"	"2011 Korean F1 GP"	"Toro Rosso"	"11"	"7"	""
"2011"	"2011 Japanese F1 GP"	"Toro Rosso"	"16"	"15"	""
"2011"	"2011 Singapore F1 GP"	"Toro Rosso"	"16"	"21"	""
"2011"	"2011 Italian F1 GP"	"Toro Rosso"	"18"	"7"	""
"2011"	"2011 Belgian F1 GP"	"Toro Rosso"	"6"	"DNF"	"Collision"
"2011"	"2011 Hungarian F1 GP"	"Toro Rosso"	"16"	"10"	""
"2011"	"2011 German F1 GP"	"Toro Rosso"	"16"	"12"	""
"2011"	"2011 British F1 GP"	"Toro Rosso"	"18"	"10"	""
"2011"	"2011 European F1 GP"	"Toro Rosso"	"18"	"8"	""
"2011"	"2011 Canadian F1 GP"	"Toro Rosso"	"0"	"8"	""
"2011"	"2011 Monaco F1 GP"	"Toro Rosso"	"19"	"DNF"	"Collision"
"2011"	"2011 Spanish F1 GP"	"Toro Rosso"	"13"	"16"	""
"2011"	"2011 Turkish F1 GP"	"Toro Rosso"	"17"	"16"	""
"2011"	"2011 Chinese F1 GP"	"Toro Rosso"	"7"	"DNF"	"Wheel"
"2011"	"2011 Malaysian F1 GP"	"Toro Rosso"	"13"	"14"	""
"2011"	"2011 Australian F1 GP"	"Toro Rosso"	"12"	"11"	""
"2010"	"2010 Abu Dhabi F1 GP"	"Toro Rosso"	"17"	"9"	""
"2010"	"2010 Brazilian F1 GP"	"Toro Rosso"	"14"	"11"	""
"2010"	"2010 Korean F1 GP"	"Toro Rosso"	"15"	"11"	""
"2010"	"2010 Japanese F1 GP"	"Toro Rosso"	"16"	"11"	""
"2010"	"2010 Singapore F1 GP"	"Toro Rosso"	"11"	"12"	""
"2010"	"2010 Italian F1 GP"	"Toro Rosso"	"15"	"15"	""
"2010"	"2010 Belgian F1 GP"	"Toro Rosso"	"11"	"13"	""
"2010"	"2010 Hungarian F1 GP"	"Toro Rosso"	"17"	"DNF"	"Engine"
"2010"	"2010 German F1 GP"	"Toro Rosso"	"15"	"15"	""
"2010"	"2010 British F1 GP"	"Toro Rosso"	"18"	"21"	"Brakes"
"2010"	"2010 European F1 GP"	"Toro Rosso"	"17"	"13"	""
"2010"	"2010 Canadian F1 GP"	"Toro Rosso"	"16"	"12"	""
"2010"	"2010 Turkish F1 GP"	"Toro Rosso"	"16"	"12"	""
"2010"	"2010 Monaco F1 GP"	"Toro Rosso"	"17"	"11"	""
"2010"	"2010 Spanish F1 GP"	"Toro Rosso"	"15"	"10"	""
"2010"	"2010 Chinese F1 GP"	"Toro Rosso"	"12"	"13"	""
"2010"	"2010 Malaysian F1 GP"	"Toro Rosso"	"14"	"9"	""
"2010"	"2010 Australian F1 GP"	"Toro Rosso"	"17"	"11"	""
"2010"	"2010 Bahrain F1 GP"	"Toro Rosso"	"18"	"13"	""
"2009"	"2009 Abu Dhabi F1 GP"	"Toro Rosso"	"14"	"DNF"	"Gearbox"
"2009"	"2009 Brazilian F1 GP"	"Toro Rosso"	"12"	"14"	""
"2009"	"2009 Japanese F1 GP"	"Toro Rosso"	"12"	"DNF"	"Accident"
"2009"	"2009 Singapore F1 GP"	"Toro Rosso"	"16"	"DNF"	"Brakes"
"2009"	"2009 Italian F1 GP"	"Toro Rosso"	"0"	"DNF"	"Transmission"
"2009"	"2009 Belgian F1 GP"	"Toro Rosso"	"17"	"DNF"	"Collision"
"2009"	"2009 European F1 GP"	"Toro Rosso"	"19"	"16"	""
"2009"	"2009 Hungarian F1 GP"	"Toro Rosso"	"19"	"15"	""
