"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1995"	"1995 Pacific F1 GP"	"Sauber"	"15"	"DNF"	"Spun off"
"1995"	"1995 European F1 GP"	"Sauber"	"13"	"DNF"	"Collision"
"1995"	"1995 Portuguese F1 GP"	"Sauber"	"14"	"12"	""
"1995"	"1995 Italian F1 GP"	"Sauber"	"14"	"6"	""
"1995"	"1995 Belgian F1 GP"	"Sauber"	"14"	"11"	""
"1995"	"1995 Hungarian F1 GP"	"Sauber"	"19"	"10"	""
"1995"	"1995 German F1 GP"	"Sauber"	"14"	"5"	""
"1995"	"1995 British F1 GP"	"Sauber"	"16"	"9"	""
"1995"	"1995 French F1 GP"	"Sauber"	"15"	"DNF"	"Gearbox"
"1995"	"1995 Canadian F1 GP"	"Sauber"	"18"	"DNF"	"Spun Off"
"1995"	"1995 Monaco F1 GP"	"Sauber"	"19"	"8"	""
