"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1983"	"1983 South African F1 GP"	"Ligier"	"21"	"10"	""
"1983"	"1983 European F1 GP"	"Ligier"	"22"	"DNF"	"Clutch"
"1983"	"1983 Italian F1 GP"	"Ligier"	"19"	"9"	""
"1983"	"1983 Dutch F1 GP"	"Ligier"	"22"	"DNF"	"Suspension"
"1983"	"1983 Austrian F1 GP"	"Ligier"	"20"	"7"	""
"1983"	"1983 German F1 GP"	"Ligier"	"19"	"8"	""
"1983"	"1983 British F1 GP"	"Ligier"	"25"	"10"	""
"1983"	"1983 Canadian F1 GP"	"Ligier"	"16"	"DNF"	"Gearbox"
"1983"	"1983 Detroit F1 GP"	"Ligier"	"19"	"DNF"	"Wheel"
"1983"	"1983 Belgian F1 GP"	"Ligier"	"21"	"DNF"	"Collision"
"1983"	"1983 Monaco F1 GP"	"Ligier"	"9"	"DNF"	"Suspension"
"1983"	"1983 San Marino F1 GP"	"Ligier"	"19"	"DNF"	"Radiator"
"1983"	"1983 French F1 GP"	"Ligier"	"20"	"9"	""
"1983"	"1983 USA West F1 GP"	"Ligier"	"10"	"DNF"	"Collision"
"1983"	"1983 Brazilian F1 GP"	"Ligier"	"12"	"DNF"	"Suspension"
"1982"	"1982 Caesars Palace F1 GP"	"Osella"	"27"	"DNS"	"Accident"
"1982"	"1982 Italian F1 GP"	"Osella"	"15"	"DNF"	"Wheel"
"1982"	"1982 Swiss F1 GP"	"Osella"	"17"	"DNF"	"Engine"
"1982"	"1982 Austrian F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1982"	"1982 German F1 GP"	"Osella"	"20"	"DNF"	"Steering"
"1982"	"1982 French F1 GP"	"Osella"	"17"	"DNF"	"Halfshaft"
"1982"	"1982 British F1 GP"	"Osella"	"18"	"DNF"	"Collision"
"1982"	"1982 Dutch F1 GP"	"Osella"	"23"	"14"	""
"1982"	"1982 Canadian F1 GP"	"Osella"	"18"	"DNF"	"Withdrew"
"1982"	"1982 Detroit F1 GP"	"Osella"	"22"	"DNF"	"Ignition"
"1982"	"1982 Monaco F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1982"	"1982 Belgian F1 GP"	"Osella"	"14"	"DNF"	"Broken Wing"
"1982"	"1982 San Marino F1 GP"	"Osella"	"9"	"4"	""
"1982"	"1982 USA West F1 GP"	"Osella"	"10"	"DNF"	"Transmission"
"1982"	"1982 Brazilian F1 GP"	"Osella"	"23"	"9"	""
"1982"	"1982 South African F1 GP"	"Osella"	"26"	"DNF"	"Collision"
"1981"	"1981 Caesars Palace F1 GP"	"Osella"	"21"	"DNF"	"Transmission"
