"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2012"	"2012 Italian F1 GP"	"Lotus F1"	"15"	"13"	""
"2011"	"2011 Brazilian F1 GP"	"Virgin Racing"	"23"	"19"	""
"2011"	"2011 Abu Dhabi F1 GP"	"Virgin Racing"	"21"	"DNF"	"Brakes"
"2011"	"2011 Indian F1 GP"	"Virgin Racing"	"21"	"16"	""
"2011"	"2011 Korean F1 GP"	"Virgin Racing"	"22"	"20"	""
"2011"	"2011 Japanese F1 GP"	"Virgin Racing"	"20"	"21"	""
"2011"	"2011 Singapore F1 GP"	"Virgin Racing"	"22"	"18"	""
"2011"	"2011 Italian F1 GP"	"Virgin Racing"	"22"	"DNF"	"Gearbox"
"2011"	"2011 Belgian F1 GP"	"Virgin Racing"	"20"	"17"	""
"2011"	"2011 Hungarian F1 GP"	"Virgin Racing"	"24"	"19"	""
"2011"	"2011 German F1 GP"	"Virgin Racing"	"21"	"18"	""
"2011"	"2011 British F1 GP"	"Virgin Racing"	"22"	"17"	""
"2011"	"2011 European F1 GP"	"Virgin Racing"	"23"	"22"	""
"2011"	"2011 Canadian F1 GP"	"Virgin Racing"	"23"	"14"	""
"2011"	"2011 Monaco F1 GP"	"Virgin Racing"	"21"	"15"	""
"2011"	"2011 Spanish F1 GP"	"Virgin Racing"	"23"	"20"	""
"2011"	"2011 Turkish F1 GP"	"Virgin Racing"	"23"	"20"	""
"2011"	"2011 Chinese F1 GP"	"Virgin Racing"	"21"	"20"	""
"2011"	"2011 Malaysian F1 GP"	"Virgin Racing"	"22"	"DNF"	"Electronics"
"2011"	"2011 Australian F1 GP"	"Virgin Racing"	"22"	"14"	""
