"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1960"	"1960 Indianapolis 500"	"Watson"	"2"	"1"	""
"1959"	"1959 Indianapolis 500"	"Watson"	"3"	"2"	""
"1958"	"1958 Indianapolis 500"	"Epperly"	"20"	"5"	""
"1957"	"1957 Indianapolis 500"	"Epperly"	"32"	"2"	""
"1956"	"1956 Indianapolis 500"	"Kurtis Kraft"	"2"	"20"	"Engine"
"1955"	"1955 Indianapolis 500"	"Epperly"	"20"	"14"	""
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"10"	"20"	"Spun Off"
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"28"	"28"	"Accident"
"1953"	"1953 Indianapolis 500"	"Kurtis Kraft"	"25"	"7"	""
"1953"	"1953 Indianapolis 500"	"Kurtis Kraft"	"28"	"15"	"Magneto"
"1952"	"1952 Indianapolis 500"	"Kurtis Kraft"	"10"	"2"	""
"1950"	"1950 Indianapolis 500"	"Wetteroth"	"28"	"24"	""
"1960"	"1960 Indianapolis 500"	"Watson"	"2"	"1"	""
"1959"	"1959 Indianapolis 500"	"Watson"	"3"	"2"	""
"1957"	"1957 Indianapolis 500"	"Epperly"	"32"	"2"	""
"1952"	"1952 Indianapolis 500"	"Kurtis Kraft"	"10"	"2"	""
