"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1970"	"1970 Italian F1 GP"	"Team Lotus"	"0"	"DNS"	"Fatal accident"
"1970"	"1970 Austrian F1 GP"	"Team Lotus"	"1"	"DNF"	"Engine"
"1970"	"1970 German F1 GP"	"Team Lotus"	"2"	"1"	""
"1970"	"1970 British F1 GP"	"Team Lotus"	"1"	"1"	""
"1970"	"1970 French F1 GP"	"Team Lotus"	"6"	"1"	""
"1970"	"1970 Dutch F1 GP"	"Team Lotus"	"1"	"1"	""
"1970"	"1970 Belgian F1 GP"	"Team Lotus"	"2"	"DNF"	"Engine"
"1970"	"1970 Monaco F1 GP"	"Team Lotus"	"8"	"1"	""
"1970"	"1970 Spanish F1 GP"	"Team Lotus"	"8"	"DNF"	"Ignition"
"1970"	"1970 South African F1 GP"	"Team Lotus"	"4"	"13"	"Engine"
"1969"	"1969 Mexican F1 GP"	"Team Lotus"	"6"	"DNF"	"Suspension"
"1969"	"1969 USA F1 GP"	"Team Lotus"	"1"	"1"	""
"1969"	"1969 Canadian F1 GP"	"Team Lotus"	"3"	"3"	""
"1969"	"1969 Italian F1 GP"	"Team Lotus"	"1"	"2"	""
"1969"	"1969 German F1 GP"	"Team Lotus"	"3"	"DNF"	"Ignition"
"1969"	"1969 British F1 GP"	"Team Lotus"	"1"	"4"	""
"1969"	"1969 French F1 GP"	"Team Lotus"	"3"	"DNF"	"Physical"
"1969"	"1969 Dutch F1 GP"	"Team Lotus"	"1"	"DNF"	"Halfshaft"
"1969"	"1969 Spanish F1 GP"	"Team Lotus"	"1"	"DNF"	"Accident"
"1969"	"1969 South African F1 GP"	"Team Lotus"	"2"	"DNF"	"Fuel Pump"
"1968"	"1968 Mexican F1 GP"	"Brabham"	"10"	"DNF"	"Ignition"
"1968"	"1968 USA F1 GP"	"Brabham"	"6"	"DNF"	"Engine"
"1968"	"1968 Canadian F1 GP"	"Brabham"	"1"	"DNF"	"Engine"
"1968"	"1968 Italian F1 GP"	"Brabham"	"10"	"DNF"	"Engine"
"1968"	"1968 German F1 GP"	"Brabham"	"3"	"3"	""
"1968"	"1968 British F1 GP"	"Brabham"	"5"	"DNF"	"Fuel Leak"
"1968"	"1968 French F1 GP"	"Brabham"	"1"	"DNF"	"Fuel Leak"
"1968"	"1968 Dutch F1 GP"	"Brabham"	"2"	"DNF"	"Ignition"
"1968"	"1968 Belgian F1 GP"	"Brabham"	"17"	"DNF"	"Engine"
"1968"	"1968 Monaco F1 GP"	"Brabham"	"5"	"DNF"	"Accident"
"1968"	"1968 Spanish F1 GP"	"Brabham"	"9"	"DNF"	"Oil Pressure"
"1968"	"1968 South African F1 GP"	"Brabham"	"4"	"3"	""
"1967"	"1967 USA F1 GP"	"Cooper-Maserati"	"8"	"DNF"	"Engine"
"1967"	"1967 Italian F1 GP"	"Cooper-Maserati"	"11"	"4"	""
