"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1980"	"1980 USA F1 GP"	"Ferrari"	"23"	"11"	""
"1980"	"1980 Canadian F1 GP"	"Ferrari"	"0"	"DNQ"	"No Time"
"1980"	"1980 Italian F1 GP"	"Ferrari"	"16"	"8"	""
"1980"	"1980 Dutch F1 GP"	"Ferrari"	"12"	"9"	""
"1980"	"1980 Austrian F1 GP"	"Ferrari"	"22"	"13"	""
"1980"	"1980 German F1 GP"	"Ferrari"	"21"	"13"	""
"1980"	"1980 British F1 GP"	"Ferrari"	"23"	"10"	""
"1980"	"1980 French F1 GP"	"Ferrari"	"19"	"12"	""
"1980"	"1980 Monaco F1 GP"	"Ferrari"	"17"	"DNF"	"Handling"
"1980"	"1980 Belgian F1 GP"	"Ferrari"	"14"	"8"	""
"1980"	"1980 USA West F1 GP"	"Ferrari"	"16"	"5"	""
"1980"	"1980 South African F1 GP"	"Ferrari"	"9"	"DNF"	"Engine"
"1980"	"1980 Brazilian F1 GP"	"Ferrari"	"8"	"DNF"	"Engine"
"1980"	"1980 Argentine F1 GP"	"Ferrari"	"11"	"DNF"	"Engine"
"1979"	"1979 USA F1 GP"	"Ferrari"	"16"	"DNF"	"Tyre"
"1979"	"1979 Canadian F1 GP"	"Ferrari"	"9"	"4"	""
"1979"	"1979 Italian F1 GP"	"Ferrari"	"3"	"1"	""
"1979"	"1979 Dutch F1 GP"	"Ferrari"	"5"	"2"	""
"1979"	"1979 Austrian F1 GP"	"Ferrari"	"9"	"4"	""
"1979"	"1979 German F1 GP"	"Ferrari"	"5"	"4"	""
"1979"	"1979 British F1 GP"	"Ferrari"	"11"	"5"	""
"1979"	"1979 French F1 GP"	"Ferrari"	"5"	"7"	""
"1979"	"1979 Monaco F1 GP"	"Ferrari"	"1"	"1"	""
"1979"	"1979 Belgian F1 GP"	"Ferrari"	"7"	"1"	""
"1979"	"1979 Spanish F1 GP"	"Ferrari"	"5"	"4"	""
"1979"	"1979 USA West F1 GP"	"Ferrari"	"3"	"2"	""
"1979"	"1979 South African F1 GP"	"Ferrari"	"2"	"2"	""
"1979"	"1979 Brazilian Grand F1 GP"	"Ferrari"	"6"	"6"	""
"1979"	"1979 Argentine F1 GP"	"Ferrari"	"5"	"DNF"	"Collision"
"1978"	"1978 Canadian F1 GP"	"Wolf"	"2"	"2"	""
"1978"	"1978 USA F1 GP"	"Wolf"	"11"	"3"	""
"1978"	"1978 Italian F1 GP"	"Wolf"	"9"	"12"	""
"1978"	"1978 Dutch F1 GP"	"Wolf"	"15"	"12"	""
"1978"	"1978 Austrian F1 GP"	"Wolf"	"7"	"DNF"	"Accident"
"1978"	"1978 German F1 GP"	"Wolf"	"4"	"2"	""
"1978"	"1978 British F1 GP"	"Wolf"	"3"	"DNF"	"Gearbox"
"1978"	"1978 French F1 GP"	"Wolf"	"7"	"6"	""
"1978"	"1978 Swedish F1 GP"	"Wolf"	"6"	"DNF"	"Overheating"
"1978"	"1978 Spanish F1 GP"	"Wolf"	"9"	"4"	""
"1978"	"1978 Belgian F1 GP"	"Wolf"	"5"	"DNF"	"Spun Off"
"1978"	"1978 Monaco F1 GP"	"Wolf"	"9"	"3"	""
"1978"	"1978 USA West F1 GP"	"Wolf"	"10"	"DNF"	"Accident"
"1978"	"1978 South African F1 GP"	"Wolf"	"5"	"DNF"	"Spun Off"
"1978"	"1978 Brazilian F1 GP"	"Wolf"	"12"	"DNF"	"Accident"
"1978"	"1978 Argentine F1 GP"	"Wolf"	"15"	"10"	""
"1977"	"1977 Japanese F1 GP"	"Wolf"	"6"	"10"	""
"1977"	"1977 Canadian F1 GP"	"Wolf"	"9"	"1"	""
