"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1972"	"1972 South African F1 GP"	"Surtees"	"26"	"16"	"Spun Off"
"1971"	"1971 South African F1 GP"	"March"	"21"	"DNF"	"Differential"
"1970"	"1970 South African F1 GP"	"Team Lotus"	"22"	"8"	""
"1969"	"1969 South African F1 GP"	"Team Lotus"	"10"	"DNF"	"Ignition"
"1968"	"1968 South African F1 GP"	"Brabham"	"17"	"9"	""
"1967"	"1967 South African F1 GP"	"Cooper-Climax"	"5"	"2"	""
"1965"	"1965 South African F1 GP"	"Cooper-Climax"	"18"	"DNF"	"Halfshaft"
"1964"	"1964 Italian F1 GP"	"Cooper-Climax"	"0"	"DNQ"	"No Time"
"1963"	"1963 South African F1 GP"	"Cooper-Climax"	"13"	"9"	""
"1962"	"1962 South African F1 GP"	"Cooper-Climax"	"12"	"8"	""
"1967"	"1967 South African F1 GP"	"Cooper-Climax"	"5"	"2"	""
