"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1985"	"1985 European F1 GP"	"McLaren"	"21"	"7"	""
"1983"	"1983 South African F1 GP"	"McLaren"	"15"	"DSQ"	"Disqualified"
"1983"	"1983 European F1 GP"	"McLaren"	"10"	"DNF"	"Spun Off"
"1983"	"1983 Italian F1 GP"	"McLaren"	"15"	"DNF"	"Electrical"
"1983"	"1983 Dutch F1 GP"	"McLaren"	"15"	"3"	""
"1983"	"1983 Austrian F1 GP"	"McLaren"	"17"	"9"	""
"1983"	"1983 German F1 GP"	"McLaren"	"23"	"5"	""
"1983"	"1983 British F1 GP"	"McLaren"	"24"	"9"	""
"1983"	"1983 Canadian F1 GP"	"McLaren"	"20"	"6"	""
"1983"	"1983 Detroit F1 GP"	"McLaren"	"21"	"3"	""
"1983"	"1983 Belgian F1 GP"	"McLaren"	"20"	"DNF"	"Collision"
"1983"	"1983 Monaco F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1983"	"1983 San Marino F1 GP"	"McLaren"	"24"	"5"	""
"1983"	"1983 French F1 GP"	"McLaren"	"14"	"DNF"	"Engine"
"1983"	"1983 USA West F1 GP"	"McLaren"	"22"	"1"	""
"1983"	"1983 Brazilian F1 GP"	"McLaren"	"16"	"DNF"	"Engine"
"1982"	"1982 Caesars Palace F1 GP"	"McLaren"	"9"	"2"	""
"1982"	"1982 Italian F1 GP"	"McLaren"	"12"	"4"	""
"1982"	"1982 Swiss F1 GP"	"McLaren"	"11"	"13"	""
"1982"	"1982 Austrian F1 GP"	"McLaren"	"18"	"9"	"Engine"
"1982"	"1982 German F1 GP"	"McLaren"	"10"	"DNF"	"Suspension failure"
"1982"	"1982 French F1 GP"	"McLaren"	"12"	"DNF"	"Electrical"
"1982"	"1982 British F1 GP"	"McLaren"	"12"	"DNF"	"Spun Off"
"1982"	"1982 Dutch F1 GP"	"McLaren"	"11"	"9"	""
"1982"	"1982 Canadian F1 GP"	"McLaren"	"6"	"3"	""
"1982"	"1982 Detroit F1 GP"	"McLaren"	"17"	"1"	""
"1982"	"1982 Monaco F1 GP"	"McLaren"	"10"	"DNF"	"Electrical"
"1982"	"1982 Belgian F1 GP"	"McLaren"	"10"	"1"	""
"1982"	"1982 USA West F1 GP"	"McLaren"	"11"	"6"	""
"1982"	"1982 Brazilian F1 GP"	"McLaren"	"12"	"2"	""
"1982"	"1982 South African F1 GP"	"McLaren"	"9"	"6"	""
"1981"	"1981 Caesars Palace F1 GP"	"McLaren"	"6"	"7"	""
"1981"	"1981 Canadian F1 GP"	"McLaren"	"9"	"2"	""
"1981"	"1981 Italian F1 GP"	"McLaren"	"7"	"DNF"	"Accident"
"1981"	"1981 Dutch F1 GP"	"McLaren"	"8"	"DNF"	"Ignition"
"1981"	"1981 Austrian F1 GP"	"McLaren"	"12"	"6"	""
"1981"	"1981 German F1 GP"	"McLaren"	"9"	"6"	""
"1981"	"1981 British F1 GP"	"McLaren"	"5"	"1"	""
"1981"	"1981 French F1 GP"	"McLaren"	"2"	"2"	""
"1981"	"1981 Spanish F1 GP"	"McLaren"	"4"	"3"	""
"1981"	"1981 Monaco F1 GP"	"McLaren"	"10"	"DNF"	"Engine"
"1981"	"1981 Belgian F1 GP"	"McLaren"	"5"	"7"	""
"1981"	"1981 San Marino F1 GP"	"McLaren"	"7"	"10"	""
"1981"	"1981 Argentine F1 GP"	"McLaren"	"11"	"DNF"	"Transmission"
"1981"	"1981 Brazilian F1 GP"	"McLaren"	"15"	"8"	""
"1981"	"1981 USA West F1 GP"	"McLaren"	"23"	"DNF"	"Brakes"
"1980"	"1980 USA F1 GP"	"McLaren"	"9"	"NC"	""
"1980"	"1980 Canadian F1 GP"	"McLaren"	"7"	"4"	""
"1980"	"1980 Italian F1 GP"	"McLaren"	"14"	"DNF"	"Wheel Bearing"
"1980"	"1980 Dutch F1 GP"	"McLaren"	"9"	"DNF"	"Engine"
"1980"	"1980 Austrian F1 GP"	"McLaren"	"21"	"DNF"	"Engine"
"1980"	"1980 German F1 GP"	"McLaren"	"20"	"DNF"	"Engine"
"1980"	"1980 British F1 GP"	"McLaren"	"12"	"8"	"Engine"
"1980"	"1980 French F1 GP"	"McLaren"	"13"	"7"	""
"1980"	"1980 Monaco F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1980"	"1980 Belgian F1 GP"	"McLaren"	"20"	"NC"	"Not Classified"
"1980"	"1980 USA West F1 GP"	"McLaren"	"21"	"4"	""
"1980"	"1980 South African F1 GP"	"McLaren"	"21"	"11"	""
"1980"	"1980 Brazilian F1 GP"	"McLaren"	"23"	"11"	""
"1980"	"1980 Argentine F1 GP"	"McLaren"	"17"	"DNF"	"Gearbox"
"1979"	"1979 USA F1 GP"	"McLaren"	"13"	"6"	""
"1979"	"1979 Canadian F1 GP"	"McLaren"	"17"	"6"	""
"1979"	"1979 Italian F1 GP"	"McLaren"	"19"	"DNF"	"Accident"
"1979"	"1979 Dutch F1 GP"	"McLaren"	"12"	"DNF"	"Engine"
"1979"	"1979 Austrian F1 GP"	"McLaren"	"16"	"9"	""
"1979"	"1979 German F1 GP"	"McLaren"	"12"	"5"	""
"1979"	"1979 British F1 GP"	"McLaren"	"7"	"4"	""
"1979"	"1979 French F1 GP"	"McLaren"	"15"	"11"	""
"1979"	"1979 Monaco F1 GP"	"McLaren"	"14"	"4"	""
"1979"	"1979 Belgian F1 GP"	"McLaren"	"19"	"6"	""
"1979"	"1979 Spanish F1 GP"	"McLaren"	"18"	"DNF"	"Engine"
"1979"	"1979 USA West F1 GP"	"McLaren"	"18"	"DNF"	"Injection"
"1979"	"1979 South African F1 GP"	"McLaren"	"14"	"DNF"	"Ignition"
"1979"	"1979 Brazilian Grand F1 GP"	"McLaren"	"14"	"8"	""
"1979"	"1979 Argentine F1 GP"	"McLaren"	"6"	"3"	""
"1978"	"1978 Canadian F1 GP"	"Brabham"	"4"	"DNF"	"Accident"
"1978"	"1978 USA F1 GP"	"Brabham"	"7"	"DNF"	"Engine"
"1978"	"1978 Italian F1 GP"	"Brabham"	"7"	"2"	""
"1978"	"1978 Dutch F1 GP"	"Brabham"	"8"	"4"	""
"1978"	"1978 Austrian F1 GP"	"Brabham"	"10"	"7"	""
