"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1955"	"1955 Dutch F1 GP"	"Ferrari"	"16"	"11"	""
"1955"	"1955 Belgian F1 GP"	"Maserati"	"0"	"DNS"	"Engine"
"1953"	"1953 Italian F1 GP"	"Connaught"	"30"	"DNF"	"Fuel System"
"1953"	"1953 German F1 GP"	"Connaught"	"25"	"DNF"	"Retirement"
"1953"	"1953 French F1 GP"	"Connaught"	"21"	"12"	""
"1953"	"1953 Belgian F1 GP"	"Maserati"	"10"	"DNF"	"Accident"
"1953"	"1953 Dutch F1 GP"	"Connaught"	"17"	"NC"	"Not Classified"
"1952"	"1952 Italian F1 GP"	"Simca"	"0"	"DNQ"	"Did not qualify"
"1952"	"1952 German F1 GP"	"HWM"	"32"	"10"	""
"1952"	"1952 British F1 GP"	"Simca"	"23"	"14"	""
"1952"	"1952 French F1 GP"	"Simca"	"20"	"DNF"	"Engine"
"1952"	"1952 Belgian F1 GP"	"Gordini"	"19"	"8"	""
"1951"	"1951 Spanish F1 GP"	"Talbot-Lago"	"15"	"DNF"	"Accident"
"1951"	"1951 Italian F1 GP"	"Talbot-Lago"	"21"	"DNF"	"Oil pump"
"1951"	"1951 German F1 GP"	"Talbot-Lago"	"18"	"11"	""
"1951"	"1951 British F1 GP"	"Talbot-Lago"	"14"	"13"	""
"1951"	"1951 French F1 GP"	"Talbot-Lago"	"12"	"DNF"	"Accident"
"1951"	"1951 Belgian F1 GP"	"Talbot-Lago"	"11"	"7"	""
"1951"	"1951 Swiss F1 GP"	"Talbot-Lago"	"18"	"13"	""
"1950"	"1950 Italian F1 GP"	"Talbot-Lago"	"22"	"DNF"	"Overheating"
"1950"	"1950 French F1 GP"	"Talbot-Lago"	"14"	"DNF"	"Overheating"
"1950"	"1950 Belgian F1 GP"	"Talbot-Lago"	"14"	"8"	""
"1950"	"1950 Swiss F1 GP"	"Talbot-Lago"	"14"	"10"	""
"1950"	"1950 Monaco F1 GP"	"Talbot-Lago"	"19"	"7"	""
"1950"	"1950 British F1 GP"	"Talbot-Lago"	"21"	"11"	""
