"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1986"	"1986 Australian F1 GP"	"Team Lotus"	"14"	"6"	""
"1986"	"1986 Mexican F1 GP"	"Team Lotus"	"17"	"DNF"	"Electrical"
"1986"	"1986 Portuguese F1 GP"	"Team Lotus"	"15"	"9"	""
"1986"	"1986 Italian F1 GP"	"Team Lotus"	"17"	"DNF"	"Gearbox"
"1986"	"1986 Austrian F1 GP"	"Team Lotus"	"15"	"DNF"	"Engine"
"1986"	"1986 Hungarian F1 GP"	"Team Lotus"	"8"	"5"	""
"1986"	"1986 German F1 GP"	"Team Lotus"	"12"	"DNF"	"No Time"
"1986"	"1986 British F1 GP"	"Team Lotus"	"10"	"7"	""
"1986"	"1986 French F1 GP"	"Team Lotus"	"12"	"DNF"	"Engine"
"1986"	"1986 Detroit F1 GP"	"Team Lotus"	"14"	"7"	""
"1986"	"1986 Canadian F1 GP"	"Team Lotus"	"16"	"DNF"	"Accident"
"1986"	"1986 Belgian F1 GP"	"Team Lotus"	"13"	"DNF"	"Spun Off"
"1986"	"1986 Monaco F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1986"	"1986 San Marino F1 GP"	"Team Lotus"	"17"	"DNF"	"Wheel Bearing"
"1986"	"1986 Spanish F1 GP"	"Team Lotus"	"10"	"DNF"	"Gearbox"
"1986"	"1986 Brazilian F1 GP"	"Team Lotus"	"11"	"9"	""
