"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2000"	"2000 Malaysian F1 GP"	"Jaguar"	"12"	"DNF"	"Suspension"
"2000"	"2000 Japanese F1 GP"	"Jaguar"	"10"	"7"	""
"2000"	"2000 USA F1 GP"	"Jaguar"	"19"	"11"	""
"2000"	"2000 Italian F1 GP"	"Jaguar"	"18"	"DNF"	"Collision"
"2000"	"2000 Belgian F1 GP"	"Jaguar"	"9"	"8"	""
"2000"	"2000 Hungarian F1 GP"	"Jaguar"	"17"	"DNF"	"Gearbox"
"2000"	"2000 German F1 GP"	"Jaguar"	"8"	"DNF"	"Gearbox"
"2000"	"2000 Austrian F1 GP"	"Jaguar"	"16"	"7"	""
"2000"	"2000 French F1 GP"	"Jaguar"	"11"	"DNF"	"Gearbox"
"2000"	"2000 Canadian F1 GP"	"Jaguar"	"11"	"DNF"	"Gearbox"
"2000"	"2000 Monaco F1 GP"	"Jaguar"	"11"	"9"	""
"2000"	"2000 European F1 GP"	"Jaguar"	"16"	"11"	"Collision"
"2000"	"2000 Spanish F1 GP"	"Jaguar"	"14"	"13"	""
"2000"	"2000 British F1 GP"	"Jaguar"	"14"	"12"	""
"2000"	"2000 San Marino F1 GP"	"Jaguar"	"17"	"10"	""
"2000"	"2000 Brazilian F1 GP"	"Jaguar"	"17"	"DNF"	"Gearbox"
"2000"	"2000 Australian F1 GP"	"Jaguar"	"20"	"DNF"	"Clutch"
"1999"	"1999 Japanese F1 GP"	"Stewart"	"8"	"7"	""
"1999"	"1999 Malaysian F1 GP"	"Stewart"	"5"	"4"	""
"1999"	"1999 European F1 GP"	"Stewart"	"14"	"1"	""
"1999"	"1999 Italian F1 GP"	"Stewart"	"15"	"DNF"	"Clutch"
"1999"	"1999 Belgian F1 GP"	"Stewart"	"10"	"DNF"	"Brakes"
"1999"	"1999 Hungarian F1 GP"	"Stewart"	"10"	"11"	""
"1999"	"1999 German F1 GP"	"Stewart"	"17"	"11"	"Gearbox"
"1999"	"1999 Austrian F1 GP"	"Stewart"	"6"	"14"	""
"1999"	"1999 British F1 GP"	"Stewart"	"11"	"12"	""
"1999"	"1999 French F1 GP"	"Stewart"	"9"	"DNF"	"Gearbox"
"1999"	"1999 Canadian F1 GP"	"Stewart"	"10"	"5"	""
"1999"	"1999 Spanish F1 GP"	"Stewart"	"14"	"DNF"	"Transmission"
"1999"	"1999 Monaco F1 GP"	"Stewart"	"13"	"DNF"	"Suspension"
"1999"	"1999 San Marino F1 GP"	"Stewart"	"12"	"10"	"Engine"
"1999"	"1999 Brazilian F1 GP"	"Stewart"	"10"	"DNF"	"Hydraulics"
"1999"	"1999 Australian F1 GP"	"Stewart"	"13"	"DNS"	"No Time"
"1998"	"1998 Japanese F1 GP"	"Sauber"	"11"	"10"	""
"1998"	"1998 Luxembourg F1 GP"	"Sauber"	"13"	"DNF"	"Engine"
"1998"	"1998 Italian F1 GP"	"Sauber"	"15"	"DNF"	"Spun off"
"1998"	"1998 Belgian F1 GP"	"Sauber"	"12"	"DNF"	"Collision"
"1998"	"1998 Hungarian F1 GP"	"Sauber"	"15"	"10"	""
"1998"	"1998 German F1 GP"	"Sauber"	"12"	"DNF"	"Gearbox"
"1998"	"1998 Austrian F1 GP"	"Sauber"	"18"	"8"	""
"1998"	"1998 British F1 GP"	"Sauber"	"9"	"DNF"	"Spun off"
"1998"	"1998 French F1 GP"	"Sauber"	"13"	"8"	""
"1998"	"1998 Canadian F1 GP"	"Sauber"	"12"	"DNF"	"Spun off"
"1998"	"1998 Monaco F1 GP"	"Sauber"	"9"	"7"	""
"1998"	"1998 Spanish F1 GP"	"Sauber"	"7"	"7"	""
"1998"	"1998 San Marino F1 GP"	"Sauber"	"11"	"DNF"	"Puncture"
"1998"	"1998 Argentine F1 GP"	"Sauber"	"12"	"DNF"	"Collision"
"1998"	"1998 Brazilian F1 GP"	"Sauber"	"14"	"11"	"Physical"
"1998"	"1998 Australian F1 GP"	"Sauber"	"5"	"6"	""
"1997"	"1997 European F1 GP"	"Sauber"	"14"	"8"	""
"1997"	"1997 Japanese F1 GP"	"Sauber"	"8"	"6"	""
"1997"	"1997 Luxembourg F1 GP"	"Sauber"	"16"	"7"	""
"1997"	"1997 Austrian F1 GP"	"Sauber"	"12"	"8"	""
"1997"	"1997 Italian F1 GP"	"Sauber"	"12"	"DNF"	"Collision"
"1997"	"1997 Belgian F1 GP"	"Sauber"	"11"	"4"	""
