"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1970"	"1970 Monaco F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1970"	"1970 Spanish F1 GP"	"March"	"14"	"5"	""
"1970"	"1970 South African F1 GP"	"March"	"17"	"DNF"	"Engine"
"1969"	"1969 Mexican F1 GP"	"Matra"	"14"	"8"	""
"1969"	"1969 USA F1 GP"	"Matra"	"15"	"NC"	"Not Classified"
"1969"	"1969 Canadian F1 GP"	"Matra"	"15"	"6"	""
"1969"	"1969 German F1 GP"	"Matra"	"12"	"DNF"	"Engine"
"1968"	"1968 Mexican F1 GP"	"Matra"	"16"	"DNF"	"Ignition"
"1968"	"1968 Canadian F1 GP"	"Matra"	"13"	"DNF"	"Accident"
"1968"	"1968 Italian F1 GP"	"Matra"	"13"	"2"	""
"1968"	"1968 French F1 GP"	"Cooper-BRM"	"15"	"DNF"	"Accident"
"1968"	"1968 Monaco F1 GP"	"Matra"	"2"	"DNF"	"Halfshaft"
"1967"	"1967 Monaco F1 GP"	"Matra"	"11"	"DNF"	"Injection"
"1968"	"1968 Italian F1 GP"	"Matra"	"13"	"2"	""
