"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1989"	"1989 Japanese F1 GP"	"Tyrrell"	"26"	"DNF"	"Fuel Leak"
"1989"	"1989 Spanish F1 GP"	"Tyrrell"	"13"	"10"	""
"1989"	"1989 Portuguese F1 GP"	"Tyrrell"	"18"	"6"	""
"1989"	"1989 Italian F1 GP"	"Tyrrell"	"14"	"DNF"	"Engine"
"1989"	"1989 Belgian F1 GP"	"Tyrrell"	"21"	"14"	""
"1989"	"1989 Hungarian F1 GP"	"Tyrrell"	"19"	"13"	""
"1989"	"1989 German F1 GP"	"Tyrrell"	"19"	"DNF"	"Engine"
"1989"	"1989 British F1 GP"	"Tyrrell"	"18"	"DNF"	"Spun Off"
"1989"	"1989 French F1 GP"	"Tyrrell"	"9"	"10"	""
"1989"	"1989 Canadian F1 GP"	"Tyrrell"	"14"	"DNF"	"Spun Off"
"1989"	"1989 USA F1 GP"	"Tyrrell"	"21"	"9"	"Fuel System"
"1989"	"1989 Mexican F1 GP"	"Tyrrell"	"14"	"DNF"	"Throttle Linkage"
"1989"	"1989 Monaco F1 GP"	"Tyrrell"	"23"	"9"	""
"1989"	"1989 San Marino F1 GP"	"Tyrrell"	"25"	"6"	""
"1989"	"1989 Brazilian F1 GP"	"Tyrrell"	"18"	"7"	""
"1988"	"1988 Australian F1 GP"	"Tyrrell"	"17"	"DNF"	"Transmission"
"1988"	"1988 Japanese F1 GP"	"Tyrrell"	"16"	"12"	""
"1988"	"1988 Spanish F1 GP"	"Tyrrell"	"22"	"DNF"	"Chassis"
"1988"	"1988 Portuguese F1 GP"	"Tyrrell"	"22"	"DNF"	"Overheating"
"1988"	"1988 Italian F1 GP"	"Tyrrell"	"0"	"DNQ"	"No Time"
"1988"	"1988 Belgian F1 GP"	"Tyrrell"	"21"	"12"	"Throttle"
"1988"	"1988 Hungarian F1 GP"	"Tyrrell"	"21"	"DNF"	"Engine"
"1988"	"1988 German F1 GP"	"Tyrrell"	"24"	"11"	""
"1988"	"1988 British F1 GP"	"Tyrrell"	"17"	"DNF"	"Engine"
"1988"	"1988 French F1 GP"	"Tyrrell"	"23"	"DNF"	"Engine"
"1988"	"1988 Detroit F1 GP"	"Tyrrell"	"17"	"5"	""
"1988"	"1988 Canadian F1 GP"	"Tyrrell"	"19"	"6"	""
"1988"	"1988 Mexican F1 GP"	"Tyrrell"	"0"	"DNQ"	"No Time"
"1988"	"1988 Monaco F1 GP"	"Tyrrell"	"10"	"5"	""
"1988"	"1988 San Marino F1 GP"	"Tyrrell"	"23"	"14"	""
"1988"	"1988 Brazilian F1 GP"	"Tyrrell"	"22"	"DNF"	"Transmission"
