"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2006"	"2006 USA F1 GP"	"McLaren"	"11"	"DNF"	"Accident"
"2006"	"2006 Canadian F1 GP"	"McLaren"	"7"	"DNF"	"Accident"
"2006"	"2006 British F1 GP"	"McLaren"	"8"	"6"	""
"2006"	"2006 Monaco F1 GP"	"McLaren"	"4"	"2"	""
"2006"	"2006 Spanish F1 GP"	"McLaren"	"12"	"DNF"	"Spin"
"2006"	"2006 European F1 GP"	"McLaren"	"8"	"DNF"	"Engine"
"2006"	"2006 San Marino F1 GP"	"McLaren"	"7"	"3"	""
"2006"	"2006 Australian F1 GP"	"McLaren"	"5"	"DNF"	"Electrical"
"2006"	"2006 Malaysian F1 GP"	"McLaren"	"5"	"4"	""
"2006"	"2006 Bahrain F1 GP"	"McLaren"	"5"	"5"	""
"2005"	"2005 Chinese F1 GP"	"McLaren"	"5"	"DNF"	"Engine"
"2005"	"2005 Japanese F1 GP"	"McLaren"	"18"	"DNF"	"Accident"
"2005"	"2005 Brazilian F1 GP"	"McLaren"	"2"	"1"	""
"2005"	"2005 Belgian F1 GP"	"McLaren"	"1"	"14"	"Collision"
"2005"	"2005 Italian F1 GP"	"McLaren"	"1"	"1"	""
"2005"	"2005 Turkish F1 GP"	"McLaren"	"4"	"3"	""
"2005"	"2005 Hungarian F1 GP"	"McLaren"	"2"	"DNF"	"Driveshaft"
"2005"	"2005 German F1 GP"	"McLaren"	"20"	"2"	""
"2005"	"2005 British F1 GP"	"McLaren"	"3"	"1"	""
"2005"	"2005 French F1 GP"	"McLaren"	"8"	"DNF"	"Engine"
"2005"	"2005 USA F1 GP"	"McLaren"	"11"	"DNS"	"Withdrew"
"2005"	"2005 Canadian F1 GP"	"McLaren"	"5"	"NC"	"Black flagged"
"2005"	"2005 European F1 GP"	"McLaren"	"5"	"7"	""
"2005"	"2005 Monaco F1 GP"	"McLaren"	"16"	"5"	""
"2005"	"2005 Spanish F1 GP"	"McLaren"	"7"	"7"	""
"2005"	"2005 Malaysian F1 GP"	"McLaren"	"11"	"4"	""
"2005"	"2005 Australian F1 GP"	"McLaren"	"9"	"6"	""
"2004"	"2004 Brazilian F1 GP"	"Williams"	"2"	"1"	""
"2004"	"2004 Japanese F1 GP"	"Williams"	"13"	"7"	""
"2004"	"2004 Chinese F1 GP"	"Williams"	"10"	"5"	""
"2004"	"2004 Italian F1 GP"	"Williams"	"2"	"5"	""
"2004"	"2004 Belgian F1 GP"	"Williams"	"11"	"DNF"	"Tyre"
"2004"	"2004 Hungarian F1 GP"	"Williams"	"7"	"4"	""
"2004"	"2004 German F1 GP"	"Williams"	"2"	"5"	""
"2004"	"2004 British F1 GP"	"Williams"	"7"	"5"	""
"2004"	"2004 French F1 GP"	"Williams"	"6"	"8"	""
"2004"	"2004 USA F1 GP"	"Williams"	"5"	"DSQ"	"Disqualified"
"2004"	"2004 Canadian F1 GP"	"Williams"	"4"	"DSQ"	"Disqualified"
"2004"	"2004 European F1 GP"	"Williams"	"8"	"8"	""
"2004"	"2004 Monaco F1 GP"	"Williams"	"9"	"4"	""
"2004"	"2004 Spanish F1 GP"	"Williams"	"2"	"DNF"	"Brakes"
"2004"	"2004 San Marino F1 GP"	"Williams"	"3"	"3"	""
"2004"	"2004 Bahrain F1 GP"	"Williams"	"3"	"13"	""
"2004"	"2004 Malaysian F1 GP"	"Williams"	"4"	"2"	""
"2004"	"2004 Australian F1 GP"	"Williams"	"3"	"5"	""
"2003"	"2003 Japanese F1 GP"	"Williams"	"2"	"DNF"	"Hydraulics"
"2003"	"2003 USA F1 GP"	"Williams"	"4"	"6"	""
"2003"	"2003 Italian F1 GP"	"Williams"	"2"	"2"	""
"2003"	"2003 Hungarian F1 GP"	"Williams"	"4"	"3"	""
"2003"	"2003 German F1 GP"	"Williams"	"1"	"1"	""
"2003"	"2003 British F1 GP"	"Williams"	"7"	"2"	""
"2003"	"2003 French F1 GP"	"Williams"	"2"	"2"	""
"2003"	"2003 European F1 GP"	"Williams"	"4"	"2"	""
"2003"	"2003 Canadian F1 GP"	"Williams"	"2"	"3"	""
"2003"	"2003 Monaco F1 GP"	"Williams"	"3"	"1"	""
"2003"	"2003 Austrian F1 GP"	"Williams"	"3"	"DNF"	"Engine"
"2003"	"2003 Spanish F1 GP"	"Williams"	"9"	"4"	""
"2003"	"2003 San Marino F1 GP"	"Williams"	"4"	"7"	""
"2003"	"2003 Brazilian F1 GP"	"Williams"	"9"	"DNF"	"Accident"
"2003"	"2003 Malaysian F1 GP"	"Williams"	"8"	"12"	""
"2003"	"2003 Australian F1 GP"	"Williams"	"3"	"2"	""
"2002"	"2002 Japanese F1 GP"	"Williams"	"6"	"4"	""
"2002"	"2002 USA F1 GP"	"Williams"	"4"	"4"	""
"2002"	"2002 Italian F1 GP"	"Williams"	"1"	"DNF"	"Chassis"
"2002"	"2002 Belgian F1 GP"	"Williams"	"5"	"3"	""
"2002"	"2002 Hungarian F1 GP"	"Williams"	"4"	"11"	""
"2002"	"2002 German F1 GP"	"Williams"	"4"	"2"	""
"2002"	"2002 French F1 GP"	"Williams"	"1"	"4"	""
"2002"	"2002 British F1 GP"	"Williams"	"1"	"3"	""
"2002"	"2002 European F1 GP"	"Williams"	"1"	"DNF"	"Collision"
"2002"	"2002 Canadian F1 GP"	"Williams"	"1"	"DNF"	"Engine"
"2002"	"2002 Monaco F1 GP"	"Williams"	"1"	"DNF"	"Engine"
