"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2003"	"2003 Japanese F1 GP"	"Jaguar"	"10"	"13"	""
"2003"	"2003 USA F1 GP"	"Jaguar"	"16"	"8"	""
"2003"	"2003 Italian F1 GP"	"Jaguar"	"15"	"DNF"	"Gearbox"
"2003"	"2003 Hungarian F1 GP"	"Jaguar"	"12"	"DNF"	"Engine"
"2003"	"2003 German F1 GP"	"Jaguar"	"16"	"DNF"	"Gearbox"
"2003"	"2003 British F1 GP"	"Minardi"	"18"	"16"	""
"2003"	"2003 French F1 GP"	"Minardi"	"20"	"14"	""
"2003"	"2003 European F1 GP"	"Minardi"	"19"	"13"	""
"2003"	"2003 Canadian F1 GP"	"Minardi"	"18"	"DNF"	"Gearbox"
"2003"	"2003 Monaco F1 GP"	"Minardi"	"19"	"DNF"	"Fuel system"
"2003"	"2003 Austrian F1 GP"	"Minardi"	"18"	"13"	""
"2003"	"2003 Spanish F1 GP"	"Minardi"	"18"	"11"	""
"2003"	"2003 San Marino F1 GP"	"Minardi"	"18"	"DNF"	"Fuel rig"
"2003"	"2003 Brazilian F1 GP"	"Minardi"	"20"	"DNF"	"Spin"
"2003"	"2003 Malaysian F1 GP"	"Minardi"	"19"	"DNF"	"Physical"
"2003"	"2003 Australian F1 GP"	"Minardi"	"19"	"DNF"	"Radiator"
