"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1994"	"1994 Australian F1 GP"	"Sauber"	"17"	"10"	""
"1994"	"1994 Japanese F1 GP"	"Sauber"	"15"	"DNF"	"Engine"
"1994"	"1994 Portuguese F1 GP"	"Benetton"	"14"	"DNF"	"Spun off"
"1994"	"1994 Italian F1 GP"	"Benetton"	"20"	"9"	""
"1994"	"1994 Canadian F1 GP"	"Benetton"	"20"	"6"	""
"1994"	"1994 Spanish F1 GP"	"Benetton"	"4"	"DNF"	"Engine"
"1994"	"1994 Monaco F1 GP"	"Benetton"	"17"	"7"	""
"1994"	"1994 San Marino F1 GP"	"Benetton"	"5"	"DNF"	"Collision"
"1993"	"1993 Australian F1 GP"	"Sauber"	"12"	"DNF"	"Accident"
"1993"	"1993 Japanese F1 GP"	"Sauber"	"11"	"8"	""
"1993"	"1993 Portuguese F1 GP"	"Sauber"	"12"	"7"	""
"1993"	"1993 Italian F1 GP"	"Sauber"	"13"	"DNF"	"Collision"
"1993"	"1993 Belgian F1 GP"	"Sauber"	"9"	"9"	""
"1993"	"1993 Hungarian F1 GP"	"Sauber"	"15"	"DNF"	"Engine"
"1993"	"1993 German F1 GP"	"Sauber"	"18"	"DNF"	"Spun off"
"1993"	"1993 British F1 GP"	"Sauber"	"16"	"8"	""
"1993"	"1993 French F1 GP"	"Sauber"	"18"	"DNF"	"Gearbox"
"1993"	"1993 Canadian F1 GP"	"Sauber"	"11"	"7"	""
"1993"	"1993 Monaco F1 GP"	"Sauber"	"11"	"DNF"	"Accident"
"1993"	"1993 Spanish F1 GP"	"Sauber"	"9"	"DNF"	"Engine"
"1993"	"1993 San Marino F1 GP"	"Sauber"	"16"	"4"	"Engine"
"1993"	"1993 European F1 GP"	"Sauber"	"7"	"DNF"	"Handling"
"1993"	"1993 Brazilian F1 GP"	"Sauber"	"7"	"DNF"	"Electrical"
"1993"	"1993 South African F1 GP"	"Sauber"	"6"	"5"	""
"1992"	"1992 Australian F1 GP"	"Dallara"	"24"	"DNF"	"Gearbox"
