"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1955"	"1955 Italian F1 GP"	"Mercedes"	"3"	"DNF"	"Gearbox"
"1955"	"1955 British F1 GP"	"Mercedes"	"4"	"3"	"No Time"
"1955"	"1955 Dutch F1 GP"	"Mercedes"	"3"	"DNF"	"Spun Off"
"1955"	"1955 Belgian F1 GP"	"Mercedes"	"6"	"DNF"	"Oil Leak"
"1955"	"1955 Argentine F1 GP"	"Mercedes"	"6"	"DNF"	"Accident"
"1955"	"1955 Argentine F1 GP"	"Mercedes"	"10"	"4"	""
"1954"	"1954 Spanish F1 GP"	"Mercedes"	"12"	"5"	""
"1954"	"1954 Italian F1 GP"	"Mercedes"	"4"	"DNF"	"Accident"
"1954"	"1954 Swiss F1 GP"	"Mercedes"	"5"	"DNF"	"Fuel system"
"1954"	"1954 German F1 GP"	"Mercedes"	"23"	"4"	""
"1954"	"1954 British F1 GP"	"Mercedes"	"6"	"7"	""
"1954"	"1954 French F1 GP"	"Mercedes"	"2"	"2"	""
"1955"	"1955 British F1 GP"	"Mercedes"	"4"	"3"	"No Time"
"1954"	"1954 French F1 GP"	"Mercedes"	"2"	"2"	""
