"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2009"	"2009 Abu Dhabi F1 GP"	"Williams"	"13"	"13"	""
"2009"	"2009 Brazilian F1 GP"	"Williams"	"9"	"DNF"	"Accident"
"2009"	"2009 Japanese F1 GP"	"Williams"	"15"	"15"	""
"2009"	"2009 Singapore F1 GP"	"Williams"	"10"	"9"	""
"2009"	"2009 Italian F1 GP"	"Williams"	"17"	"10"	""
"2009"	"2009 Belgian F1 GP"	"Williams"	"18"	"13"	""
"2009"	"2009 European F1 GP"	"Williams"	"17"	"18"	""
"2009"	"2009 Hungarian F1 GP"	"Williams"	"9"	"9"	""
"2009"	"2009 German F1 GP"	"Williams"	"13"	"12"	""
"2009"	"2009 British F1 GP"	"Williams"	"5"	"11"	""
"2009"	"2009 Turkish F1 GP"	"Williams"	"12"	"12"	""
"2009"	"2009 Monaco F1 GP"	"Williams"	"10"	"15"	"Accident"
"2009"	"2009 Spanish F1 GP"	"Williams"	"11"	"13"	""
"2009"	"2009 Bahrain F1 GP"	"Williams"	"12"	"DNF"	"Oil pressure"
"2009"	"2009 Chinese F1 GP"	"Williams"	"14"	"DNF"	"Transmission"
"2009"	"2009 Malaysian F1 GP"	"Williams"	"11"	"12"	""
"2009"	"2009 Australian F1 GP"	"Williams"	"11"	"DNF"	"Accident"
"2008"	"2008 Brazilian F1 GP"	"Williams"	"16"	"17"	""
"2008"	"2008 Chinese F1 GP"	"Williams"	"17"	"12"	""
"2008"	"2008 Japanese F1 GP"	"Williams"	"14"	"15"	""
"2008"	"2008 Singapore F1 GP"	"Williams"	"10"	"8"	""
"2008"	"2008 Italian F1 GP"	"Williams"	"0"	"12"	""
"2008"	"2008 Belgian F1 GP"	"Williams"	"19"	"14"	""
"2008"	"2008 European F1 GP"	"Williams"	"11"	"15"	""
"2008"	"2008 Hungarian F1 GP"	"Williams"	"16"	"13"	""
"2008"	"2008 German F1 GP"	"Williams"	"16"	"14"	""
"2008"	"2008 British F1 GP"	"Williams"	"15"	"8"	""
"2008"	"2008 French F1 GP"	"Williams"	"15"	"15"	""
"2008"	"2008 Canadian F1 GP"	"Williams"	"12"	"DNF"	"Accident"
"2008"	"2008 Monaco F1 GP"	"Williams"	"13"	"7"	""
"2008"	"2008 Turkish F1 GP"	"Williams"	"16"	"DNF"	"Collision"
"2008"	"2008 Spanish F1 GP"	"Williams"	"12"	"7"	""
"2008"	"2008 Bahrain F1 GP"	"Williams"	"16"	"14"	""
"2008"	"2008 Malaysian F1 GP"	"Williams"	"22"	"17"	""
"2008"	"2008 Australian F1 GP"	"Williams"	"13"	"6"	""
"2007"	"2007 Brazilian F1 GP"	"Williams"	"19"	"10"	""
