"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"McLaren"	"3"	"7"	""
"2021"	"2021 Saudi Arabian F1 GP"	"McLaren"	"7"	"10"	""
"2021"	"2021 Qatar F1 GP"	"McLaren"	"4"	"9"	""
"2021"	"2021 Brazilian F1 GP"	"McLaren"	"5"	"10"	""
"2021"	"2021 Mexico F1 GP"	"McLaren"	"18"	"10"	""
"2021"	"2021 USA F1 GP"	"McLaren"	"7"	"8"	""
"2021"	"2021 Turkish F1 GP"	"McLaren"	"7"	"7"	""
"2021"	"2021 Russian F1 GP"	"McLaren"	"1"	"7"	""
"2021"	"2021 Italian F1 GP"	"McLaren"	"3"	"2"	""
"2021"	"2021 Dutch F1 GP"	"McLaren"	"13"	"10"	""
"2021"	"2021 Belgian F1 GP"	"McLaren"	"14"	"14"	""
"2021"	"2021 Hungarian F1 GP"	"McLaren"	"6"	"DNF"	"Collision"
"2021"	"2021 British F1 GP"	"McLaren"	"5"	"4"	""
"2021"	"2021 Austrian F1 GP"	"McLaren"	"2"	"3"	""
"2021"	"2021 Styrian F1 GP"	"McLaren"	"3"	"5"	""
"2021"	"2021 French F1 GP"	"McLaren"	"7"	"5"	""
"2021"	"2021 Azerbaijan F1 GP"	"McLaren"	"9"	"5"	""
"2021"	"2021 Monaco F1 GP"	"McLaren"	"4"	"3"	""
"2021"	"2021 Spanish F1 GP"	"McLaren"	"9"	"8"	""
"2021"	"2021 Portuguese F1 GP"	"McLaren"	"7"	"5"	""
"2021"	"2021 E. Romagna F1 GP"	"McLaren"	"7"	"3"	""
"2021"	"2021 Bahrain F1 GP"	"McLaren"	"7"	"4"	""
"2020"	"2020 Abu Dhabi F1 GP"	"McLaren"	"4"	"5"	""
"2020"	"2020 Sakhir F1 GP"	"McLaren"	"19"	"10"	""
"2020"	"2020 Bahrain F1 GP"	"McLaren"	"9"	"4"	""
"2020"	"2020 Turkish F1 GP"	"McLaren"	"15"	"8"	""
"2020"	"2020 E. Romagna F1 GP"	"McLaren"	"9"	"8"	""
"2020"	"2020 Portuguese F1 GP"	"McLaren"	"8"	"13"	""
"2020"	"2020 Eifel F1 GP"	"McLaren"	"8"	"DNF"	"Power Unit"
"2020"	"2020 Russian F1 GP"	"McLaren"	"8"	"15"	""
"2020"	"2020 Tuscan F1 GP"	"McLaren"	"11"	"6"	""
"2020"	"2020 Italian F1 GP"	"McLaren"	"6"	"4"	""
"2020"	"2020 Belgian F1 GP"	"McLaren"	"10"	"7"	""
"2020"	"2020 Spanish F1 GP"	"McLaren"	"8"	"10"	""
"2020"	"70th Anniversary F1 GP"	"McLaren"	"10"	"9"	""
"2020"	"2020 British F1 GP"	"McLaren"	"5"	"5"	""
"2020"	"2020 Hungarian F1 GP"	"McLaren"	"8"	"13"	""
"2020"	"2020 Styrian F1 GP"	"McLaren"	"9"	"5"	""
"2020"	"2020 Austrian F1 GP"	"McLaren"	"3"	"3"	""
"2019"	"2019 Abu Dhabi F1 GP"	"McLaren"	"6"	"8"	""
"2019"	"2019 Brazilian F1 GP"	"McLaren"	"10"	"8"	""
"2019"	"2019 USA F1 GP"	"McLaren"	"8"	"7"	""
"2019"	"2019 Mexican F1 GP"	"McLaren"	"48"	"DNF"	"Power unit"
"2019"	"2019 Japanese F1 GP"	"McLaren"	"8"	"11"	""
"2019"	"2019 Russian F1 GP"	"McLaren"	"7"	"8"	""
"2019"	"2019 Singapore F1 GP"	"McLaren"	"9"	"7"	""
"2019"	"2019 Italian F1 GP"	"McLaren"	"16"	"10"	""
"2019"	"2019 Belgian F1 GP"	"McLaren"	"11"	"11"	""
"2019"	"2019 Hungarian F1 GP"	"McLaren"	"7"	"9"	""
"2019"	"2019 German F1 GP"	"McLaren"	"19"	"DNF"	"Power unit"
"2019"	"2019 British F1 GP"	"McLaren"	"8"	"11"	""
"2019"	"2019 Austrian F1 GP"	"McLaren"	"5"	"6"	""
"2019"	"2019 French F1 GP"	"McLaren"	"5"	"9"	""
"2019"	"2019 Canadian F1 GP"	"McLaren"	"8"	"DNF"	"Suspension"
"2019"	"2019 Monaco F1 GP"	"McLaren"	"12"	"11"	""
"2019"	"2019 Spanish F1 GP"	"McLaren"	"10"	"DNF"	"Collision damage"
"2019"	"2019 Azerbaijan F1 GP"	"McLaren"	"7"	"8"	""
"2019"	"2019 Chinese F1 GP"	"McLaren"	"15"	"18"	"Collision damage"
"2019"	"2019 Bahrain F1 GP"	"McLaren"	"9"	"6"	""
"2019"	"2019 Australian F1 GP"	"McLaren"	"8"	"12"	""
"2021"	"2021 Italian F1 GP"	"McLaren"	"3"	"2"	""
"2021"	"2021 Austrian F1 GP"	"McLaren"	"2"	"3"	""
"2021"	"2021 Monaco F1 GP"	"McLaren"	"4"	"3"	""
"2021"	"2021 E. Romagna F1 GP"	"McLaren"	"7"	"3"	""
"2020"	"2020 Austrian F1 GP"	"McLaren"	"3"	"3"	""
"2021"	"2021 Russian F1 GP"	"McLaren"	"1"	"7"	""
