"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1977"	"1977 French F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1977"	"1977 Swedish F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1977"	"1977 Belgian F1 GP"	"Surtees"	"23"	"12"	""
"1977"	"1977 South African F1 GP"	"BRM"	"22"	"15"	""
"1977"	"1977 Brazilian F1 GP"	"BRM"	"22"	"DNF"	"Overheating"
"1976"	"1976 Japanese F1 GP"	"Brabham"	"17"	"DNF"	"Withdrew"
"1976"	"1976 USA F1 GP"	"Brabham"	"13"	"DNF"	"Suspension"
"1976"	"1976 Canadian F1 GP"	"Brabham"	"19"	"17"	""
"1976"	"1976 Italian F1 GP"	"Boro"	"13"	"DNF"	"Engine"
"1976"	"1976 Dutch F1 GP"	"Boro"	"19"	"DNF"	"Accident"
"1976"	"1976 Swedish F1 GP"	"Boro"	"22"	"DNF"	"Engine"
"1976"	"1976 Monaco F1 GP"	"Boro"	"0"	"DNQ"	"No Time"
"1976"	"1976 Belgian F1 GP"	"Boro"	"20"	"8"	""
"1976"	"1976 Spanish F1 GP"	"Boro"	"24"	"13"	""
"1974"	"1974 German F1 GP"	"Amon"	"0"	"DNQ"	"No Time"
