"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1967"	"1967 Monaco F1 GP"	"Ferrari"	"2"	"DNF"	"Fatal Accident*"
"1966"	"1966 USA F1 GP"	"Ferrari"	"3"	"DNF"	"Engine"
"1966"	"1966 Italian F1 GP"	"Ferrari"	"5"	"DNF"	"Ignition"
"1966"	"1966 German F1 GP"	"Ferrari"	"6"	"6"	""
"1966"	"1966 Dutch F1 GP"	"Ferrari"	"9"	"6"	""
"1966"	"1966 French F1 GP"	"Ferrari"	"1"	"NC"	"Not Classified"
"1966"	"1966 Belgian F1 GP"	"Ferrari"	"5"	"3"	""
"1966"	"1966 Monaco F1 GP"	"Ferrari"	"5"	"2"	""
"1965"	"1965 Mexican F1 GP"	"Ferrari"	"7"	"8"	""
"1965"	"1965 USA F1 GP"	"Ferrari"	"5"	"4"	""
"1965"	"1965 Italian F1 GP"	"Ferrari"	"5"	"4"	""
"1965"	"1965 German F1 GP"	"Ferrari"	"7"	"6"	""
"1965"	"1965 Dutch F1 GP"	"Ferrari"	"12"	"9"	""
"1965"	"1965 British F1 GP"	"Ferrari"	"9"	"DNF"	"Engine"
"1965"	"1965 French F1 GP"	"Ferrari"	"3"	"8"	"Accident"
"1965"	"1965 Belgian F1 GP"	"Ferrari"	"15"	"9"	""
"1965"	"1965 Monaco F1 GP"	"Ferrari"	"4"	"2"	""
"1965"	"1965 South African F1 GP"	"Ferrari"	"6"	"15"	"Ignition"
"1964"	"1964 Mexican F1 GP"	"Ferrari"	"3"	"3"	""
"1964"	"1964 USA F1 GP"	"Ferrari"	"8"	"DNF"	"Engine"
"1964"	"1964 Italian F1 GP"	"Ferrari"	"7"	"3"	""
"1964"	"1964 Austrian F1 GP"	"Ferrari"	"7"	"1"	""
"1964"	"1964 German F1 GP"	"Ferrari"	"4"	"3"	""
"1964"	"1964 British F1 GP"	"Ferrari"	"8"	"5"	""
"1964"	"1964 French F1 GP"	"Ferrari"	"8"	"9"	""
"1964"	"1963 Belgian F1 GP"	"Ferrari"	"9"	"DNF"	"Engine"
"1964"	"1964 Dutch F1 GP"	"Ferrari"	"10"	"DNF"	"Ignition"
"1964"	"1964 Monaco F1 GP"	"Ferrari"	"7"	"10"	"Gearbox"
"1963"	"1963 South African F1 GP"	"Ferrari"	"5"	"5"	""
"1963"	"1963 Mexican F1 GP"	"Ferrari"	"7"	"DNF"	"Ignition"
"1963"	"1963 USA F1 GP"	"Ferrari"	"9"	"5"	""
"1963"	"1963 Italian F1 GP"	"Ferrari"	"6"	"DNF"	"Gearbox"
"1963"	"1963 German F1 GP"	"BRM"	"3"	"DNF"	"Accident"
"1963"	"1963 British F1 GP"	"BRM"	"8"	"5"	""
"1963"	"1963 French F1 GP"	"BRM"	"21"	"10"	""
"1963"	"1963 Belgian F1 GP"	"BRM"	"0"	"WD"	"Car retained by BRM"
"1963"	"1963 Monaco F1 GP"	"BRM"	"0"	"WD"	"Car repossessed by BRM"
"1962"	"1962 Italian F1 GP"	"Ferrari"	"17"	"8"	""
"1962"	"1962 German F1 GP"	"Ferrari"	"18"	"DNF"	"Accident"
"1962"	"1962 Monaco F1 GP"	"Ferrari"	"10"	"3"	""
"1961"	"1961 Italian F1 GP"	"Cooper-Climax"	"21"	"8"	""
"1961"	"1961 German F1 GP"	"Cooper-Climax"	"19"	"DNF"	"Engine"
"1961"	"1961 British F1 GP"	"Cooper-Climax"	"21"	"12"	""
"1961"	"1961 Belgian F1 GP"	"Cooper-Climax"	"17"	"DNF"	"Wheel Bearing"
"1966"	"1966 Belgian F1 GP"	"Ferrari"	"5"	"3"	""
"1966"	"1966 Monaco F1 GP"	"Ferrari"	"5"	"2"	""
"1965"	"1965 Monaco F1 GP"	"Ferrari"	"4"	"2"	""
"1964"	"1964 Mexican F1 GP"	"Ferrari"	"3"	"3"	""
"1964"	"1964 Italian F1 GP"	"Ferrari"	"7"	"3"	""
"1964"	"1964 Austrian F1 GP"	"Ferrari"	"7"	"1"	""
"1964"	"1964 German F1 GP"	"Ferrari"	"4"	"3"	""
"1962"	"1962 Monaco F1 GP"	"Ferrari"	"10"	"3"	""
"1966"	"1966 French F1 GP"	"Ferrari"	"1"	"NC"	"Not Classified"
