"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1950"	"1950 British F1 GP"	"Maserati"	"11"	"19"	"No Time"
"1950"	"1950 Monaco F1 GP"	"Maserati"	"8"	"3"	""
"1950"	"1950 Swiss F1 GP"	"Maserati"	"16"	"9"	""
"1950"	"1950 French F1 GP"	"Maserati"	"13"	"DNF"	"Clutch"
"1950"	"1950 Italian F1 GP"	"Maserati"	"19"	"DNF"	"Engine"
"1951"	"1951 Swiss F1 GP"	"Enrico Plate"	"19"	"7"	""
"1951"	"1951 Belgian F1 GP"	"Talbot"	"9"	"DNF"	"Colision"
"1951"	"1951 French F1 GP"	"Talbot"	"8"	"6"	""
"1951"	"1951 British F1 GP"	"Talbot"	"13"	"DNF"	"Brakes"
"1951"	"1951 German F1 GP"	"Talbot"	"13"	"DNF"	"Ignition"
"1951"	"1951 Italian F1 GP"	"Talbot"	"17"	"DNF"	"Ignition"
"1953"	"1953 French F1 GP"	"OSCA"	"25"	"15"	""
"1953"	"1953 Italian F1 GP"	"OSCA"	"25"	"10"	""
"1955"	"1955 Monaco F1 GP"	"Lancia"	"19"	"6"	""
