"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1956"	"1956 German F1 GP"	"Maserati"	"14"	"5"	""
"1956"	"1956 British F1 GP"	"Maserati"	"27"	"DNF"	"Electrical"
"1956"	"1956 French F1 GP"	"Maserati"	"12"	"6"	""
"1956"	"1956 Belgian F1 GP"	"Maserati"	"10"	"8"	""
"1956"	"1956 Monaco F1 GP"	"Maserati"	"15"	"DNF"	"Engine"
"1955"	"1955 Dutch F1 GP"	"Maserati"	"13"	"9"	""
"1955"	"1955 Belgian F1 GP"	"Maserati"	"12"	"9"	""
"1955"	"1955 Monaco F1 GP"	"Maserati"	"17"	"DNF"	"Fuel leak"
"1954"	"1954 Spanish F1 GP"	"Maserati"	"20"	"7"	""
"1954"	"1954 Italian F1 GP"	"Maserati"	"20"	"8"	""
"1954"	"1954 German F1 GP"	"Ferrari"	"11"	"8"	""
"1954"	"1954 British F1 GP"	"Ferrari"	"31"	"DNF"	"Engine"
"1954"	"1954 French F1 GP"	"Ferrari"	"13"	"DNF"	"Engine"
"1954"	"1954 Argentine F1 GP"	"Ferrari"	"14"	"DNF"	"Accident"
"1953"	"1953 Italian F1 GP"	"Ferrari"	"17"	"16"	""
"1953"	"1953 Swiss F1 GP"	"Ferrari"	"14"	"DNF"	"Spun off"
"1953"	"1953 German F1 GP"	"Ferrari"	"22"	"10"	""
"1953"	"1953 British F1 GP"	"Ferrari"	"24"	"10"	""
"1953"	"1953 French F1 GP"	"Ferrari"	"10"	"8"	""
"1953"	"1953 Belgian F1 GP"	"Ferrari"	"13"	"8"	""
"1953"	"1953 Dutch F1 GP"	"Ferrari"	"8"	"7"	""
"1952"	"1952 Italian F1 GP"	"Ferrari"	"17"	"10"	""
"1952"	"1952 French F1 GP"	"Ferrari"	"9"	"DNF"	"Engine"
"1952"	"1952 Belgian F1 GP"	"Ferrari"	"17"	"DNF"	"Transmission"
"1952"	"1952 Swiss F1 GP"	"Ferrari"	"20"	"DNF"	"Accident"
"1951"	"1951 Spanish F1 GP"	"Talbot-Lago"	"20"	"7"	""
"1951"	"1951 Italian F1 GP"	"Talbot-Lago"	"15"	"7"	""
"1951"	"1951 German F1 GP"	"Talbot-Lago"	"15"	"8"	""
"1951"	"1951 British F1 GP"	"Talbot-Lago"	"9"	"10"	""
"1951"	"1951 French F1 GP"	"Talbot-Lago"	"13"	"DNF"	"Transmission"
"1951"	"1951 Belgian F1 GP"	"Talbot-Lago"	"7"	"4"	""
"1951"	"1951 Swiss F1 GP"	"Talbot-Lago"	"8"	"9"	""
"1950"	"1950 Italian F1 GP"	"Talbot-Lago"	"13"	"4"	""
"1950"	"1950 French F1 GP"	"Talbot-Lago"	"15"	"6"	""
"1950"	"1950 French F1 GP"	"Talbot-Lago"	"6"	"DNF"	"Overheating"
"1950"	"1950 Belgian F1 GP"	"Talbot-Lago"	"8"	"3"	""
"1950"	"1950 Swiss F1 GP"	"Talbot-Lago"	"10"	"3"	""
"1950"	"1950 Monaco F1 GP"	"Talbot-Lago"	"10"	"DNF"	"Accident"
"1950"	"1950 British F1 GP"	"Talbot-Lago"	"9"	"5"	""
"1950"	"1950 Belgian F1 GP"	"Talbot-Lago"	"8"	"3"	""
"1950"	"1950 Swiss F1 GP"	"Talbot-Lago"	"10"	"3"	""
