"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2010"	"2010 Abu Dhabi F1 GP"	"Virgin Racing"	"22"	"18"	""
"2010"	"2010 Brazilian F1 GP"	"Virgin Racing"	"21"	"NC"	""
"2010"	"2010 Korean F1 GP"	"Virgin Racing"	"22"	"DNF"	"Accident"
"2010"	"2010 Japanese F1 GP"	"Virgin Racing"	"21"	"DNS"	"Accident"
"2010"	"2010 Singapore F1 GP"	"Virgin Racing"	"20"	"15"	""
"2010"	"2010 Italian F1 GP"	"Virgin Racing"	"21"	"20"	"Suspension"
"2010"	"2010 Belgian F1 GP"	"Virgin Racing"	"22"	"17"	""
"2010"	"2010 Hungarian F1 GP"	"Virgin Racing"	"21"	"18"	""
"2010"	"2010 German F1 GP"	"Virgin Racing"	"24"	"DNF"	"Suspension"
"2010"	"2010 British F1 GP"	"Virgin Racing"	"22"	"24"	"Hydraulics"
"2010"	"2010 European F1 GP"	"Virgin Racing"	"21"	"17"	""
"2010"	"2010 Canadian F1 GP"	"Virgin Racing"	"23"	"19"	""
"2010"	"2010 Turkish F1 GP"	"Virgin Racing"	"23"	"19"	""
"2010"	"2010 Monaco F1 GP"	"Virgin Racing"	"21"	"DNF"	"Loose Wheel"
"2010"	"2010 Spanish F1 GP"	"Virgin Racing"	"23"	"19"	""
"2010"	"2010 Chinese F1 GP"	"Virgin Racing"	"22"	"DNF"	"Clutch"
"2010"	"2010 Malaysian F1 GP"	"Virgin Racing"	"24"	"14"	""
"2010"	"2010 Australian F1 GP"	"Virgin Racing"	"24"	"DNF"	"Hydraulics"
"2010"	"2010 Bahrain F1 GP"	"Virgin Racing"	"22"	"DNF"	"Hydraulics"
