"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2001"	"2001 Belgian F1 GP"	"Prost"	"18"	"DNF"	"Collision"
"2001"	"2001 Hungarian F1 GP"	"Prost"	"19"	"DNF"	"Spun off"
"2001"	"2001 German F1 GP"	"Prost"	"16"	"DNF"	"Spun off"
"2001"	"2001 British F1 GP"	"Prost"	"16"	"DNF"	"Engine"
"2001"	"2001 French F1 GP"	"Prost"	"15"	"10"	""
"2001"	"2001 European F1 GP"	"Prost"	"17"	"12"	""
"2001"	"2001 Canadian F1 GP"	"Prost"	"19"	"8"	""
"2001"	"2001 Monaco F1 GP"	"Prost"	"21"	"DNF"	"Gearbox"
"2001"	"2001 Austrian F1 GP"	"Prost"	"17"	"11"	""
"2001"	"2001 Spanish F1 GP"	"Prost"	"14"	"11"	""
"2001"	"2001 San Marino F1 GP"	"Jaguar"	"15"	"11"	""
"2001"	"2001 Brazilian F1 GP"	"Jaguar"	"14"	"DNF"	"Engine"
"2001"	"2001 Malaysian F1 GP"	"Jaguar"	"15"	"10"	""
"2001"	"2001 Australian F1 GP"	"Jaguar"	"21"	"8"	""
"2000"	"2000 Austrian F1 GP"	"Jaguar"	"21"	"11"	""
