"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1968"	"1968 Mexican F1 GP"	"Cooper-BRM"	"21"	"DNF"	"Engine"
"1968"	"1968 USA F1 GP"	"Cooper-BRM"	"20"	"NC"	"Not Classified"
"1968"	"1968 Canadian F1 GP"	"Cooper-BRM"	"18"	"NC"	"Not Classified"
"1968"	"1968 German F1 GP"	"Cooper-BRM"	"19"	"DNF"	"Fuel Leak"
"1968"	"1968 Dutch F1 GP"	"Cooper-BRM"	"18"	"DNF"	"Accident"
"1968"	"1968 Belgian F1 GP"	"Cooper-BRM"	"12"	"6"	""
"1968"	"1968 Monaco F1 GP"	"Cooper-BRM"	"14"	"3"	""
"1965"	"1965 Belgian F1 GP"	"BRM"	"17"	"12"	""
"1963"	"1963 Belgian F1 GP"	"Lola"	"16"	"DNF"	"Accident"
"1962"	"1962 German F1 GP"	"ENB"	"25"	"16"	""
"1962"	"1962 Belgian F1 GP"	"Team Lotus"	"18"	"9"	""
"1961"	"1961 British F1 GP"	"Team Lotus"	"30"	"DNF"	"Gearbox"
"1961"	"1961 French F1 GP"	"Team Lotus"	"19"	"DNF"	"Overheating"
"1961"	"1961 Belgian F1 GP"	"Team Lotus"	"23"	"DNF"	"Oil Leak"
"1961"	"1961 Monaco F1 GP"	"Emeryson"	"0"	"DNQ"	"No Time"
"1960"	"1960 British F1 GP"	"Cooper-Climax"	"17"	"DNF"	"electrical"
"1960"	"1960 French F1 GP"	"Cooper-Climax"	"15"	"DNF"	"Transmission"
"1960"	"1960 Belgian F1 GP"	"Cooper-Climax"	"15"	"6"	""
"1959"	"1959 Monaco F1 GP"	"Cooper-Climax"	"0"	"DNQ"	"No Time"
"1968"	"1968 Monaco F1 GP"	"Cooper-BRM"	"14"	"3"	""
