"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1968"	"1968 Monaco F1 GP"	"Cooper-BRM"	"15"	"4"	""
"1968"	"1968 Spanish F1 GP"	"Cooper-BRM"	"12"	"4"	""
"1968"	"1968 South African F1 GP"	"Cooper-Maserati"	"15"	"DNF"	"Water Pipe"
"1967"	"1967 Italian F1 GP"	"Eagle"	"10"	"DNF"	"Engine"
"1967"	"1967 Belgian F1 GP"	"Ferrari"	"9"	"NC"	"Not Classified"
"1967"	"1967 Dutch F1 GP"	"Ferrari"	"15"	"6"	""
"1966"	"1966 Italian F1 GP"	"Ferrari"	"2"	"1"	""
"1966"	"1966 German F1 GP"	"Ferrari"	"4"	"DNF"	"Electrical"
"1965"	"1965 Mexican F1 GP"	"Ferrari"	"0"	"DNS"	"Car given to RodrÃ­guez"
"1964"	"1964 Italian F1 GP"	"Ferrari"	"16"	"9"	""
"1963"	"1963 French F1 GP"	"Ferrari"	"0"	"DNS"	"Practice accident"
"1963"	"1963 Dutch F1 GP"	"Ferrari"	"11"	"6"	""
"1963"	"1963 Belgian F1 GP"	"Ferrari"	"0"	"WD"	"No car"
"1966"	"1966 Italian F1 GP"	"Ferrari"	"2"	"1"	""
