"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1958"	"1958 French F1 GP"	"Ferrari"	"2"	"DNF"	"Fatal Accident"
"1958"	"1958 Belgian F1 GP"	"Ferrari"	"2"	"DNF"	"Accident"
"1958"	"1958 Dutch F1 GP"	"Ferrari"	"12"	"7"	""
"1958"	"1958 Monaco F1 GP"	"Ferrari"	"10"	"2"	""
"1958"	"1958 Argentine F1 GP"	"Ferrari"	"5"	"2"	""
"1957"	"1957 talian F1 GP"	"Ferrari"	"9"	"8"	""
"1957"	"1957 Pescara F1 GP"	"Ferrari"	"3"	"DNF"	"Oil Leak"
"1957"	"1957 German F1 GP"	"Ferrari"	"8"	"4"	""
"1957"	"1957 British F1 GP"	"Ferrari"	"10"	"2"	""
"1957"	"1957 French F1 GP"	"Ferrari"	"3"	"2"	""
"1957"	"1957 Argentine F1 GP"	"Ferrari"	"6"	"DNF"	"Clutch"
"1956"	"1956 Italian F1 GP"	"Ferrari"	"3"	"DNF"	"Steering"
"1956"	"1956 German F1 GP"	"Ferrari"	"5"	"DNF"	"Accident"
"1956"	"1956 Monaco F1 GP"	"Ferrari"	"8"	"DNF"	"Accident"
"1956"	"1956 Argentine F1 GP"	"Ferrari"	"3"	"1"	""
"1955"	"1955 Italian F1 GP"	"Maserati"	"10"	"DNF"	"Gearbox"
"1955"	"1955 British F1 GP"	"Maserati"	"9"	"5"	""
"1955"	"1955 Dutch F1 GP"	"Maserati"	"4"	"3"	""
"1955"	"1955 Belgian F1 GP"	"Maserati"	"7"	"7"	""
"1955"	"1955 Monaco F1 GP"	"Maserati"	"8"	"DNF"	"Transmission"
"1955"	"1955 Argentine F1 GP"	"Maserati"	"18"	"7"	""
"1955"	"1955 Argentine F1 GP"	"Maserati"	"19"	"DNF"	"Engine"
"1954"	"1954 Spanish F1 GP"	"Maserati"	"7"	"2"	""
"1954"	"1954 Italian F1 GP"	"Maserati"	"14"	"DNF"	"Transmission"
"1954"	"1954 Argentine F1 GP"	"Maserati"	"7"	"DNS"	"Non Starter, Engine"
"1953"	"1953 Italian F1 GP"	"Maserati"	"12"	"7"	""
"1958"	"1958 Monaco F1 GP"	"Ferrari"	"10"	"2"	""
"1958"	"1958 Argentine F1 GP"	"Ferrari"	"5"	"2"	""
"1957"	"1957 British F1 GP"	"Ferrari"	"10"	"2"	""
"1957"	"1957 French F1 GP"	"Ferrari"	"3"	"2"	""
"1956"	"1956 Argentine F1 GP"	"Ferrari"	"3"	"1"	""
"1955"	"1955 Dutch F1 GP"	"Maserati"	"4"	"3"	""
"1954"	"1954 Spanish F1 GP"	"Maserati"	"7"	"2"	""
