"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1985"	"1985 German F1 GP"	"RAM"	"22"	"DNF"	"Engine"
"1985"	"1985 British F1 GP"	"RAM"	"18"	"DNF"	"Turbo"
"1985"	"1985 French F1 GP"	"RAM"	"20"	"12"	""
"1985"	"1985 Detroit F1 GP"	"RAM"	"20"	"DNF"	"Turbo"
"1985"	"1985 Canadian F1 GP"	"RAM"	"14"	"DNF"	"Accident"
"1985"	"1985 Monaco F1 GP"	"RAM"	"0"	"DNQ"	"No Time"
"1985"	"1985 San Marino F1 GP"	"RAM"	"23"	"DNF"	"Engine"
"1985"	"1985 Portuguese F1 GP"	"RAM"	"15"	"NC"	"Not Classified"
"1985"	"1985 Brazilian F1 GP"	"RAM"	"16"	"13"	""
"1984"	"1994 Portuguese F1 GP"	"Brabham"	"19"	"10"	""
"1984"	"1984 Italian F1 GP"	"ATS"	"21"	"DNS"	"Not Started"
"1984"	"1984 Dutch F1 GP"	"ATS"	"16"	"DNF"	"Spun Off"
"1984"	"1984 German F1 GP"	"ATS"	"13"	"DNF"	"Gearbox"
"1984"	"1984 British F1 GP"	"ATS"	"11"	"DNF"	"Spun Off"
"1984"	"1984 Dallas F1 GP"	"ATS"	"13"	"8"	""
"1984"	"1984 Detroit F1 GP"	"ATS"	"14"	"DNF"	"Engine"
"1984"	"1984 Canadian F1 GP"	"ATS"	"12"	"8"	""
"1984"	"1984 Monaco F1 GP"	"ATS"	"12"	"DNF"	"Spun Off"
"1984"	"1984 French F1 GP"	"ATS"	"8"	"DNF"	"Clutch"
"1984"	"1984 San Marino F1 GP"	"ATS"	"7"	"DNF"	"Turbo"
"1984"	"1984 Belgian F1 GP"	"ATS"	"6"	"DNF"	"Exhaust"
"1984"	"1984 South African F1 GP"	"ATS"	"12"	"DNF"	"Engine"
"1984"	"1984 Brazilian F1 GP"	"ATS"	"0"	"DSQ"	"Disqualified"
"1983"	"1983 South African F1 GP"	"ATS"	"8"	"DNF"	"Engine"
"1983"	"1983 European F1 GP"	"ATS"	"9"	"8"	""
"1983"	"1983 Italian F1 GP"	"ATS"	"9"	"DNF"	"Exhaust"
"1983"	"1983 Dutch F1 GP"	"ATS"	"9"	"DNF"	"Disqualified"
"1983"	"1983 Austrian F1 GP"	"ATS"	"13"	"DNF"	"Water Leak"
"1983"	"1983 German F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1983"	"1983 British F1 GP"	"ATS"	"8"	"DNF"	"Engine"
"1983"	"1983 Canadian F1 GP"	"ATS"	"7"	"9"	""
"1983"	"1983 Detroit F1 GP"	"ATS"	"22"	"DNF"	"Collision"
"1983"	"1983 Belgian F1 GP"	"ATS"	"7"	"DNF"	"No Time"
"1983"	"1983 Monaco F1 GP"	"ATS"	"16"	"DNF"	"Collision"
"1983"	"1983 San Marino F1 GP"	"ATS"	"7"	"11"	""
"1983"	"1983 French F1 GP"	"ATS"	"10"	"DNF"	"Turbo"
"1983"	"1983 USA West F1 GP"	"ATS"	"24"	"DNF"	"Spun Off"
"1983"	"1983 Brazilian F1 GP"	"ATS"	"25"	"15"	""
"1982"	"1982 Caesars Palace F1 GP"	"ATS"	"22"	"NC"	"Not Classified"
"1982"	"1982 Italian F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1982"	"1982 Swiss F1 GP"	"ATS"	"20"	"DNF"	"Chassis"
"1982"	"1982 Austrian F1 GP"	"ATS"	"25"	"DNF"	"Spun Off"
"1982"	"1982 German F1 GP"	"ATS"	"16"	"DNF"	"Clutch"
"1982"	"1982 French F1 GP"	"ATS"	"18"	"11"	""
"1982"	"1982 British F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1982"	"1982 Dutch F1 GP"	"ATS"	"18"	"12"	""
"1982"	"1982 Canadian F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1982"	"1982 Detroit F1 GP"	"ATS"	"5"	"DNF"	"Spun Off"
"1982"	"1982 Monaco F1 GP"	"ATS"	"14"	"DNF"	"Differential"
"1982"	"1982 Belgian F1 GP"	"ATS"	"12"	"DNF"	"Clutch"
"1982"	"1982 San Marino F1 GP"	"ATS"	"12"	"DSQ"	"Disqualified"
"1982"	"1982 USA West F1 GP"	"ATS"	"25"	"DNF"	"Collision"
"1982"	"1982 Brazilian F1 GP"	"ATS"	"15"	"5"	""
"1982"	"1982 South African F1 GP"	"ATS"	"20"	"10"	""
"1980"	"1980 Italian F1 GP"	"Arrows"	"0"	"DNQ"	"No Time"
