"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1986"	"1986 Belgian F1 GP"	"Arrows"	"21"	"9"	""
"1986"	"1986 Monaco F1 GP"	"Arrows"	"17"	"9"	""
"1986"	"1986 San Marino F1 GP"	"Arrows"	"15"	"9"	""
"1986"	"1986 Spanish F1 GP"	"Arrows"	"22"	"DNF"	"Fuel System"
"1986"	"1986 Brazilian F1 GP"	"Arrows"	"20"	"DNF"	"Engine"
"1985"	"1985 Australian F1 GP"	"Brabham"	"6"	"DNF"	"Engine"
"1985"	"1985 South African F1 GP"	"Brabham"	"5"	"DNF"	"Engine"
"1985"	"1985 European F1 GP"	"Brabham"	"7"	"13"	"Turbo"
"1985"	"1985 Belgian F1 GP"	"Brabham"	"12"	"8"	""
"1985"	"1985 Italian F1 GP"	"Brabham"	"9"	"4"	""
"1985"	"1985 Dutch F1 GP"	"Brabham"	"9"	"10"	"Exhaust"
"1985"	"1985 Austrian F1 GP"	"Brabham"	"11"	"6"	""
"1985"	"1985 German F1 GP"	"Brabham"	"11"	"DNF"	"Engine"
"1985"	"1985 British F1 GP"	"Brabham"	"15"	"6"	""
"1985"	"1985 French F1 GP"	"Brabham"	"14"	"8"	""
"1985"	"1985 Detroit F1 GP"	"Brabham"	"11"	"8"	""
"1985"	"1985 Canadian F1 GP"	"Brabham"	"20"	"15"	""
"1984"	"1994 Portuguese F1 GP"	"Arrows"	"16"	"DNF"	"Electrical"
"1984"	"1984 European F1 GP"	"Arrows"	"16"	"DNF"	"Accident"
"1984"	"1984 Italian F1 GP"	"Arrows"	"15"	"DNF"	"Engine"
"1984"	"1984 Dutch F1 GP"	"Arrows"	"19"	"DNF"	"Wheel"
"1984"	"1984 Austrian F1 GP"	"Arrows"	"19"	"6"	""
"1984"	"1984 German F1 GP"	"Arrows"	"14"	"DNF"	"Turbo"
"1984"	"1984 British F1 GP"	"Arrows"	"15"	"11"	""
"1984"	"1984 Dallas F1 GP"	"Arrows"	"22"	"DNF"	"Spun Off"
"1984"	"1984 Detroit F1 GP"	"Arrows"	"22"	"DNF"	"Accident"
"1984"	"1984 Canadian F1 GP"	"Arrows"	"23"	"DNF"	"Engine"
"1984"	"1984 Monaco F1 GP"	"Arrows"	"0"	"DNQ"	"No Time"
"1984"	"1984 French F1 GP"	"Arrows"	"19"	"DNF"	"Accident"
"1984"	"1984 San Marino F1 GP"	"Arrows"	"16"	"DNF"	"Turbo"
"1984"	"1984 Belgian F1 GP"	"Arrows"	"24"	"8"	""
"1984"	"1984 South African F1 GP"	"Arrows"	"23"	"9"	""
"1984"	"1984 Brazilian F1 GP"	"Arrows"	"24"	"7"	""
"1983"	"1983 South African F1 GP"	"Arrows"	"22"	"8"	""
"1983"	"1983 European F1 GP"	"Arrows"	"17"	"DNF"	"Engine"
"1983"	"1983 Italian F1 GP"	"Arrows"	"20"	"10"	""
"1983"	"1983 Dutch F1 GP"	"Arrows"	"14"	"8"	""
"1983"	"1983 Austrian F1 GP"	"Arrows"	"22"	"DNF"	"Collision"
"1983"	"1983 German F1 GP"	"Arrows"	"20"	"7"	""
"1983"	"1983 British F1 GP"	"Arrows"	"19"	"17"	""
"1983"	"1983 Canadian F1 GP"	"Arrows"	"14"	"DNF"	"Transmission"
"1983"	"1983 Detroit F1 GP"	"Arrows"	"5"	"11"	""
"1983"	"1983 Belgian F1 GP"	"Arrows"	"10"	"11"	""
"1983"	"1983 Monaco F1 GP"	"Arrows"	"12"	"DNF"	"Collision"
"1983"	"1983 San Marino F1 GP"	"Arrows"	"12"	"6"	""
"1983"	"1983 French F1 GP"	"Arrows"	"21"	"10"	""
"1983"	"1983 USA West F1 GP"	"Arrows"	"16"	"5"	""
"1983"	"1983 Brazilian F1 GP"	"Arrows"	"20"	"6"	""
"1982"	"1982 Caesars Palace F1 GP"	"Arrows"	"17"	"7"	""
"1982"	"1982 Italian F1 GP"	"Arrows"	"19"	"DNF"	"Ignition"
"1982"	"1982 Swiss F1 GP"	"Arrows"	"14"	"15"	""
"1982"	"1982 Austrian F1 GP"	"Arrows"	"21"	"DNF"	"Engine"
"1982"	"1982 German F1 GP"	"Arrows"	"26"	"6"	""
"1982"	"1982 French F1 GP"	"Arrows"	"20"	"13"	""
"1982"	"1982 British F1 GP"	"Arrows"	"22"	"DNF"	"Engine"
"1982"	"1982 Dutch F1 GP"	"Arrows"	"17"	"10"	""
"1982"	"1982 Canadian F1 GP"	"Arrows"	"16"	"5"	""
"1982"	"1982 Detroit F1 GP"	"Arrows"	"19"	"8"	""
"1982"	"1982 Monaco F1 GP"	"Arrows"	"19"	"9"	""
"1982"	"1982 Belgian F1 GP"	"Arrows"	"22"	"7"	""
"1981"	"1981 Caesars Palace F1 GP"	"Theodore"	"23"	"DNF"	"Suspension"
"1981"	"1981 Canadian F1 GP"	"Theodore"	"19"	"9"	""
"1981"	"1981 Italian F1 GP"	"Theodore"	"0"	"DNQ"	"No Time"
