"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2018"	"2018 Abu Dhabi F1 GP"	"Sauber"	"12"	"DNF"	"Power unit"
"2018"	"2018 Brazilian F1 GP"	"Sauber"	"6"	"DNF"	"Collisiion damage"
"2018"	"2018 Mexican F1 GP"	"Sauber"	"10"	"9"	""
"2018"	"2018 USA F1 GP"	"Sauber"	"16"	"10"	""
"2018"	"2018 Japanese F1 GP"	"Sauber"	"20"	"12"	""
"2018"	"2018 Russian F1 GP"	"Sauber"	"10"	"13"	""
"2018"	"2018 Singapore F1 GP"	"Sauber"	"14"	"11"	""
"2018"	"2018 Italian F1 GP"	"Sauber"	"18"	"15"	""
"2018"	"2018 Belgian F1 GP"	"Sauber"	"13"	"10"	""
"2018"	"2018 Hungarian F1 GP"	"Sauber"	"14"	"15"	""
"2018"	"2018 German F1 GP"	"Sauber"	"13"	"9"	""
"2018"	"2018 British F1 GP"	"Sauber"	"15"	"DNF"	"Crashed"
"2018"	"2018 Austrian F1 GP"	"Sauber"	"18"	"10"	""
"2018"	"2018 French F1 GP"	"Sauber"	"15"	"13"	""
"2018"	"2018 Canadian F1 GP"	"Sauber"	"19"	"15"	""
"2018"	"2018 Monaco F1 GP"	"Sauber"	"16"	"11"	""
"2018"	"2018 Spanish F1 GP"	"Sauber"	"17"	"13"	""
"2018"	"2018 Azerbijan F1 GP"	"Sauber"	"18"	"11"	""
"2018"	"2018 Chinese F1 GP"	"Sauber"	"20"	"16"	""
"2018"	"2018 Bahrain F1 GP"	"Sauber"	"17"	"9"	""
"2018"	"2018 Australian F1 GP"	"Sauber"	"9"	"DNF"	"Hydraulics"
"2017"	"2017 Abu Dhabi F1 GP"	"Sauber"	"19"	"17"	""
"2017"	"2017 Brazilian F1 GP"	"Sauber"	"17"	"13"	""
"2017"	"2017 Mexican F1 GP"	"Sauber"	"12"	"DNF"	"Power unit"
"2017"	"2017 USA F1 GP"	"Sauber"	"13"	"15"	""
