"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1995"	"1995 Australian F1 GP"	"McLaren"	"10"	"4"	""
"1995"	"1995 Japanese F1 GP"	"McLaren"	"23"	"7"	""
"1995"	"1995 Pacific F1 GP"	"McLaren"	"10"	"9"	""
"1995"	"1995 European F1 GP"	"McLaren"	"10"	"DNF"	"Accident"
"1995"	"1995 Portuguese F1 GP"	"McLaren"	"12"	"9"	""
"1995"	"1995 Italian F1 GP"	"McLaren"	"9"	"4"	""
"1995"	"1995 Belgian F1 GP"	"McLaren"	"6"	"5"	""
"1995"	"1995 Hungarian F1 GP"	"McLaren"	"13"	"DNF"	"Fuel leak"
"1995"	"1995 German F1 GP"	"McLaren"	"8"	"DNF"	"Engine"
"1995"	"1995 British F1 GP"	"McLaren"	"10"	"5"	""
"1995"	"1995 French F1 GP"	"McLaren"	"13"	"11"	""
"1995"	"1995 Canadian F1 GP"	"McLaren"	"10"	"DNF"	"Engine"
"1995"	"1995 Monaco F1 GP"	"McLaren"	"10"	"5"	""
"1995"	"1995 Argentine F1 GP"	"McLaren"	"17"	"DNF"	"Oil leak"
"1995"	"1995 Brazilian F1 GP"	"McLaren"	"9"	"6"	""
"1994"	"1994 Australian F1 GP"	"Tyrrell"	"13"	"DNF"	"Accident"
"1994"	"1994 Japanese F1 GP"	"Tyrrell"	"13"	"DNF"	"Engine"
"1994"	"1994 European F1 GP"	"Tyrrell"	"14"	"13"	""
"1994"	"1994 Portuguese F1 GP"	"Tyrrell"	"12"	"DNF"	"Engine"
"1994"	"1994 Italian F1 GP"	"Tyrrell"	"21"	"DNF"	"Spun off"
"1994"	"1994 Belgian F1 GP"	"Tyrrell"	"12"	"5"	""
"1994"	"1994 Hungarian F1 GP"	"Tyrrell"	"11"	"5"	""
"1994"	"1994 German F1 GP"	"Tyrrell"	"7"	"DNF"	"Collision"
"1994"	"1994 British F1 GP"	"Tyrrell"	"11"	"DNF"	"Gearbox"
"1994"	"1994 French F1 GP"	"Tyrrell"	"17"	"10"	""
"1994"	"1994 Canadian F1 GP"	"Tyrrell"	"13"	"10"	"Spun off"
"1994"	"1994 Spanish F1 GP"	"Tyrrell"	"11"	"3"	""
"1994"	"1994 Monaco F1 GP"	"Tyrrell"	"10"	"DNF"	"Engine"
"1994"	"1994 San Marino F1 GP"	"Tyrrell"	"12"	"9"	""
"1994"	"1994 Pacific F1 GP"	"Tyrrell"	"12"	"DNF"	"Collision"
"1994"	"1994 Brazilian F1 GP"	"Tyrrell"	"12"	"DNF"	"Spun off"
"1993"	"1993 Australian F1 GP"	"Ligier"	"14"	"9"	""
"1993"	"1993 Japanese F1 GP"	"Ligier"	"17"	"7"	""
"1993"	"1993 Portuguese F1 GP"	"Ligier"	"10"	"DNF"	"Accident"
"1993"	"1993 Italian F1 GP"	"Ligier"	"14"	"DNF"	"Spun off"
"1993"	"1993 Belgian F1 GP"	"Ligier"	"15"	"11"	"Collision"
"1993"	"1993 Hungarian F1 GP"	"Ligier"	"12"	"7"	""
"1993"	"1993 German F1 GP"	"Ligier"	"5"	"3"	""
"1993"	"1993 British F1 GP"	"Ligier"	"9"	"7"	""
"1993"	"1993 French F1 GP"	"Ligier"	"4"	"DNF"	"Spun off"
"1993"	"1993 Canadian F1 GP"	"Ligier"	"10"	"DNF"	"Spun off"
"1993"	"1993 Monaco F1 GP"	"Ligier"	"21"	"DNF"	"Spun off"
"1993"	"1993 Spanish F1 GP"	"Ligier"	"12"	"7"	""
"1993"	"1993 San Marino F1 GP"	"Ligier"	"7"	"DNF"	"Spun off"
"1993"	"1993 European F1 GP"	"Ligier"	"21"	"DNF"	"Spun off"
"1993"	"1993 Brazilian F1 GP"	"Ligier"	"10"	"5"	""
"1993"	"1993 South African F1 GP"	"Ligier"	"8"	"3"	""
"1991"	"1991 Australian F1 GP"	"Brabham"	"17"	"17"	""
"1991"	"1991 Japanese F1 GP"	"Brabham"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Spanish F1 GP"	"Brabham"	"12"	"DNF"	"Engine"
"1991"	"1991 Portuguese F1 GP"	"Brabham"	"15"	"DNF"	"Suspension"
"1991"	"1991 Italian F1 GP"	"Brabham"	"11"	"12"	""
"1991"	"1991 Belgian F1 GP"	"Brabham"	"13"	"6"	""
"1991"	"1991 Hungarian F1 GP"	"Brabham"	"20"	"DNF"	"Tyre"
"1991"	"1991 German F1 GP"	"Brabham"	"21"	"12"	""
"1991"	"1991 British F1 GP"	"Brabham"	"12"	"DNF"	"Engine"
"1991"	"French Grand Prix"	"Brabham"	"17"	"DNF"	"Spun Off"
"1991"	"1991 Mexican F1 GP"	"Brabham"	"12"	"DNF"	"Engine"
"1991"	"1991 Canadian F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1991"	"1991 Monaco F1 GP"	"Brabham"	"19"	"DNF"	"Spun off"
"1991"	"1991 San Marino F1 GP"	"Brabham"	"23"	"8"	""
"1991"	"1991 Brazilian F1 GP"	"Brabham"	"25"	"DNF"	"Engine"
"1991"	"1991 USA F1 GP"	"Brabham"	"24"	"DNF"	"Spun Off"
"1994"	"1994 Spanish F1 GP"	"Tyrrell"	"11"	"3"	""
"1993"	"1993 German F1 GP"	"Ligier"	"5"	"3"	""
"1993"	"1993 South African F1 GP"	"Ligier"	"8"	"3"	""
