"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1975"	"1975 Austrian F1 GP"	"March"	"20"	"NC"	"Fatal Accident"
"1975"	"1975 German F1 GP"	"March"	"19"	"DNF"	"Tyre"
"1975"	"1975 British F1 GP"	"March"	"15"	"5"	"Accident"
"1975"	"1975 French F1 GP"	"Penske"	"18"	"DNF"	"Transmission"
"1975"	"1975 Dutch F1 GP"	"Penske"	"18"	"8"	""
"1975"	"1975 Swedish F1 GP"	"Penske"	"16"	"5"	""
"1975"	"1975 Belgian F1 GP"	"Penske"	"21"	"11"	""
"1975"	"1975 Monaco F1 GP"	"Penske"	"16"	"DNF"	"Accident"
"1975"	"1975 Spanish F1 GP"	"Penske"	"17"	"DNF"	"Accident"
"1975"	"1975 South African F1 GP"	"Penske"	"18"	"8"	""
"1975"	"1975 Brazilian F1 GP"	"Penske"	"15"	"DNF"	"Handling"
"1975"	"1975 Argentine F1 GP"	"Penske"	"16"	"7"	""
"1974"	"1974 USA F1 GP"	"Penske"	"14"	"DNF"	"Suspension"
"1974"	"1974 Canadian F1 GP"	"Penske"	"24"	"12"	""
"1971"	"1971 Canadian F1 GP"	"McLaren"	"8"	"3"	""
"1971"	"1971 Canadian F1 GP"	"McLaren"	"8"	"3"	""
