"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2013"	"2013 Brazilian F1 GP"	"Red Bull"	"4"	"2"	""
"2013"	"2013 USA F1 GP"	"Red Bull"	"2"	"3"	""
"2013"	"2013 Abu Dhabi F1 GP"	"Red Bull"	"1"	"2"	""
"2013"	"2013 Indian F1 GP"	"Red Bull"	"4"	"DNF"	"Alternator"
"2013"	"2013 Japanese F1 GP"	"Red Bull"	"1"	"2"	""
"2013"	"2013 Korean F1 GP"	"Red Bull"	"13"	"DNF"	"Collision / Fire"
"2013"	"2013 Singapore F1 GP"	"Red Bull"	"4"	"15"	""
"2013"	"2013 Italian F1 GP"	"Red Bull"	"2"	"3"	""
"2013"	"2013 Belgian F1 GP"	"Red Bull"	"3"	"5"	""
"2013"	"2013 Hungarian F1 GP"	"Red Bull"	"10"	"4"	""
"2013"	"2013 German F1 GP"	"Red Bull"	"3"	"7"	""
"2013"	"2013 British F1 GP"	"Red Bull"	"4"	"2"	""
"2013"	"2013 Canadian F1 GP"	"Red Bull"	"5"	"4"	""
"2013"	"2013 Monaco F1 GP"	"Red Bull"	"4"	"3"	""
"2013"	"2013 Spanish F1 GP"	"Red Bull"	"7"	"5"	""
"2013"	"2013 Bahrain F1 GP"	"Red Bull"	"7"	"7"	""
"2013"	"2013 Chinese F1 GP"	"Red Bull"	"22"	"DNF"	"Wheel nut"
"2013"	"2013 Malaysian F1 GP"	"Red Bull"	"5"	"2"	""
"2013"	"2013 Australian F1 GP"	"Red Bull"	"2"	"6"	""
"2012"	"2012 Brazilian F1 GP"	"Red Bull"	"3"	"4"	""
"2012"	"2012 USA F1 GP"	"Red Bull"	"3"	"DNF"	"alternator"
"2012"	"2012 Abu Dhabi F1 GP"	"Red Bull"	"2"	"DNF"	"Collision"
"2012"	"2012 Indian F1 GP"	"Red Bull"	"2"	"3"	""
"2012"	"2012 Korean F1 GP"	"Red Bull"	"1"	"2"	""
"2012"	"2012 Japanese F1 GP"	"Red Bull"	"2"	"9"	""
"2012"	"2012 Singapore F1 GP"	"Red Bull"	"7"	"11"	""
"2012"	"2012 Italian F1 GP"	"Red Bull"	"11"	"20"	"Retired"
"2012"	"2012 Belgian F1 GP"	"Red Bull"	"12"	"6"	""
