"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1996"	"1996 Japanese F1 GP"	"Jordan"	"10"	"5"	""
"1996"	"1996 Portuguese F1 GP"	"Jordan"	"10"	"9"	""
"1996"	"1996 Italian F1 GP"	"Jordan"	"9"	"4"	""
"1996"	"1996 Belgian F1 GP"	"Jordan"	"8"	"DNF"	"Engine"
"1996"	"1996 Hungarian F1 GP"	"Jordan"	"12"	"DNF"	"Spun off"
"1996"	"1996 German F1 GP"	"Jordan"	"10"	"10"	""
"1996"	"1996 British F1 GP"	"Jordan"	"8"	"6"	""
"1996"	"1996 French F1 GP"	"Jordan"	"8"	"8"	""
"1996"	"1996 Canadian F1 GP"	"Jordan"	"9"	"6"	""
"1996"	"1996 Spanish F1 GP"	"Jordan"	"15"	"DNF"	"Differential"
"1996"	"1996 Monaco F1 GP"	"Jordan"	"16"	"DNF"	"Spun off"
"1996"	"1996 San Marino F1 GP"	"Jordan"	"12"	"DNF"	"Spun Off"
"1996"	"1996 European F1 GP"	"Jordan"	"11"	"6"	""
"1996"	"1996 Argentine F1 GP"	"Jordan"	"15"	"DNF"	"Collision"
"1996"	"1996 Brazilian F1 GP"	"Jordan"	"6"	"12"	"Spun off"
"1996"	"1996 Australian F1 GP"	"Jordan"	"19"	"DNF"	"Collision"
"1995"	"1995 Australian F1 GP"	"Ligier"	"11"	"DNF"	"Spun off"
"1995"	"1995 European F1 GP"	"Ligier"	"12"	"7"	""
"1995"	"1995 Portuguese F1 GP"	"Ligier"	"9"	"8"	""
"1995"	"1995 Italian F1 GP"	"Ligier"	"11"	"DNF"	"Puncture"
"1995"	"1995 Belgian F1 GP"	"Ligier"	"13"	"3"	""
"1995"	"1995 Hungarian F1 GP"	"Ligier"	"8"	"DNF"	"Engine"
"1995"	"1995 British F1 GP"	"Ligier"	"11"	"DNF"	"Spun off"
"1995"	"1995 French F1 GP"	"Ligier"	"9"	"4"	""
"1995"	"1995 Canadian F1 GP"	"Ligier"	"14"	"10"	"Collision"
"1995"	"1995 Monaco F1 GP"	"Ligier"	"8"	"DNF"	"Spun off"
"1995"	"1995 Spanish F1 GP"	"Ligier"	"11"	"9"	""
"1994"	"1994 Australian F1 GP"	"McLaren"	"9"	"3"	""
"1994"	"1994 Japanese F1 GP"	"McLaren"	"9"	"DNF"	"Spun off"
"1994"	"1994 European F1 GP"	"McLaren"	"15"	"DNF"	"Engine"
"1994"	"1994 Portuguese F1 GP"	"McLaren"	"7"	"6"	""
"1994"	"1994 Italian F1 GP"	"McLaren"	"15"	"5"	""
"1994"	"1994 Belgian F1 GP"	"McLaren"	"13"	"DNF"	"Spun off"
"1994"	"1994 Hungarian F1 GP"	"McLaren"	"6"	"4"	"Electrical"
"1994"	"1994 German F1 GP"	"McLaren"	"13"	"DNF"	"Engine"
"1994"	"1994 British F1 GP"	"McLaren"	"9"	"DNF"	"Engine"
