"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1964"	"1964 Italian F1 GP"	"BRM"	"21"	"DNF"	"Injection"
"1964"	"1964 German F1 GP"	"BRM"	"14"	"5"	"Battery"
"1964"	"1964 British F1 GP"	"BRM"	"25"	"DNQ"	"No Time"
"1964"	"1964 French F1 GP"	"BRM"	"16"	"11"	""
"1964"	"1964 Monaco F1 GP"	"BRM"	"13"	"DNF"	"Overheating"
"1963"	"1963 Italian F1 GP"	"BRM"	"20"	"9"	""
"1963"	"1963 French F1 GP"	"Team Lotus"	"15"	"8"	""
"1963"	"1963 Monaco F1 GP"	"Lola"	"14"	"DNF"	"Clutch"
"1962"	"1962 USA F1 GP"	"Team Lotus"	"19"	"DNF"	"Brakes"
"1962"	"1962 Italian F1 GP"	"Team Lotus"	"19"	"DNF"	"Electrical"
"1962"	"1962 German F1 GP"	"Team Lotus"	"11"	"DNF"	"Gearbox"
"1962"	"1962 British F1 GP"	"Team Lotus"	"0"	"WD"	"Car damaged"
"1962"	"1962 French F1 GP"	"Team Lotus"	"13"	"7"	""
"1962"	"1962 Belgian F1 GP"	"Team Lotus"	"16"	"8"	""
"1962"	"1962 Monaco F1 GP"	"Team Lotus"	"7"	"DNF"	"Accident"
"1962"	"19625 Dutch F1 GP"	"Team Lotus"	"0"	"WD"	"Car not ready"
"1961"	"1961 Italian F1 GP"	"Cooper-Climax"	"22"	"9"	""
"1961"	"1961 German F1 GP"	"Cooper-Climax"	"21"	"DNF"	"Engine"
"1961"	"1961 French F1 GP"	"Cooper-Climax"	"23"	"13"	""
"1961"	"1961 Belgian F1 GP"	"Cooper-Climax"	"20"	"DNF"	"Gearbox"
"1961"	"1961 Monaco F1 GP"	"Cooper-Climax"	"16"	"7"	""
"1960"	"1960 USA F1 GP"	"Cooper-Climax"	"19"	"15"	""
"1960"	"1960 British F1 GP"	"Aston Martin"	"21"	"11"	""
"1960"	"1960 French F1 GP"	"Cooper-Climax"	"18"	"DNF"	"Accident"
"1960"	"1960 Dutch F1 GP"	"Cooper-Climax"	"17"	"DNF"	"Gearbox"
"1960"	"1960 Monaco F1 GP"	"Cooper-Climax"	"16"	"DNF"	"Gearbox"
"1960"	"1960 Argentine F1 GP"	"Cooper-Climax"	"8"	"3"	""
"1959"	"1959 USA F1 GP"	"Cooper-Climax"	"5"	"2"	""
"1959"	"1959 Italian F1 GP"	"Cooper-Climax"	"13"	"9"	""
"1959"	"1959 Portuguese F1 GP"	"Cooper-Climax"	"4"	"4"	""
"1959"	"1959 German F1 GP"	"Cooper-Climax"	"12"	"4"	""
"1959"	"1959 British F1 GP"	"Cooper-Climax"	"4"	"5"	""
"1959"	"1959 French F1 GP"	"Cooper-Climax"	"8"	"11"	""
"1959"	"1959 Dutch F1 GP"	"Cooper-Climax"	"11"	"8"	""
"1959"	"1959 Monaco F1 GP"	"Cooper-Climax"	"6"	"3"	""
"1958"	"1958 Moroccan F1 GP"	"Cooper-Climax"	"9"	"DNF"	"Engine"
"1958"	"1958 Italian F1 GP"	"Cooper-Climax"	"13"	"DNF"	"Gearbox"
"1958"	"1958 Portuguese F1 GP"	"Cooper-Climax"	"9"	"8"	""
"1958"	"1958 German F1 GP"	"Cooper-Climax"	"7"	"3"	""
"1958"	"1958 British F1 GP"	"Cooper-Climax"	"12"	"8"	""
"1958"	"1958 French F1 GP"	"BRM"	"7"	"DNF"	"Fuel Pump"
"1958"	"1958 Belgian F1 GP"	"Maserati"	"16"	"7"	""
"1958"	"1958 Dutch F1 GP"	"Cooper-Climax"	"8"	"9"	""
"1958"	"1958 Monaco F1 GP"	"Cooper-Climax"	"5"	"1"	""
"1957"	"1957 British F1 GP"	"Ferrari"	"9"	"4"	""
"1957"	"1957 French F1 GP"	"Ferrari"	"8"	"DNF"	"Electrical"
"1957"	"1957 Monaco F1 GP"	"Ferrari"	"6"	"5"	""
"1956"	"1956 Italian F1 GP"	"Vanwall"	"11"	"DNF"	"Transmission"
"1956"	"1956 British F1 GP"	"Vanwall"	"16"	"DNF"	"Fuel System"
"1956"	"1956 French F1 GP"	"Bugatti"	"18"	"DNF"	"Throttle"
"1956"	"1956 Belgian F1 GP"	"Vanwall"	"7"	"DNF"	"Fuel system"
"1956"	"1956 Monaco F1 GP"	"Vanwall"	"6"	"DNF"	"Overheating"
"1955"	"1955 Italian F1 GP"	"Ferrari"	"15"	"8"	""
