"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1992"	"1992 Australian F1 GP"	"Jordan"	"20"	"DNF"	"Spun Off"
"1992"	"1992 Japanese F1 GP"	"Jordan"	"25"	"DNF"	"Spun Off"
"1992"	"1992 Portuguese F1 GP"	"Jordan"	"20"	"DNF"	"Electrical"
"1992"	"1992 Italian F1 GP"	"Jordan"	"26"	"DNF"	"Transmission"
"1992"	"1992 Belgian F1 GP"	"Jordan"	"24"	"14"	""
"1992"	"1992 Hungarian F1 GP"	"Jordan"	"21"	"10"	""
"1992"	"1992 German F1 GP"	"Jordan"	"23"	"15"	""
"1992"	"1992 British F1 GP"	"Jordan"	"24"	"DNF"	"Engine"
"1992"	"1992 French F1 GP"	"Jordan"	"24"	"DNF"	"Accident"
"1992"	"1992 Canadian F1 GP"	"Jordan"	"24"	"DNF"	"Transmission"
"1992"	"1992 Monaco F1 GP"	"Jordan"	"13"	"DNF"	"Gearbox"
"1992"	"San Marino Grand Prix"	"Jordan"	"16"	"7"	""
"1992"	"1992 Spanish F1 GP"	"Jordan"	"17"	"DNF"	"Spun Off"
"1992"	"1992 Brazilian F1 GP"	"Jordan"	"21"	"DNF"	"Gearbox"
"1992"	"1992 Mexican F1 GP"	"Jordan"	"8"	"DNF"	"Engine"
"1992"	"1992 South African F1 GP"	"Jordan"	"23"	"11"	""
"1991"	"1991 Australian F1 GP"	"Leyton House"	"14"	"14"	""
"1991"	"1991 Japanese F1 GP"	"Leyton House"	"18"	"8"	""
"1991"	"1991 Spanish F1 GP"	"Leyton House"	"13"	"7"	""
"1991"	"1991 Portuguese F1 GP"	"Leyton House"	"7"	"7"	""
"1991"	"1991 Italian F1 GP"	"Leyton House"	"18"	"15"	""
"1991"	"1991 Belgian F1 GP"	"Leyton House"	"15"	"DNF"	"Engine"
"1991"	"1991 Hungarian F1 GP"	"Leyton House"	"13"	"11"	""
"1991"	"1991 German F1 GP"	"Leyton House"	"16"	"DNF"	"Gearbox"
"1991"	"1991 British F1 GP"	"Leyton House"	"9"	"DNF"	"Chassis"
"1991"	"French Grand Prix"	"Leyton House"	"9"	"7"	""
"1991"	"1991 Mexican F1 GP"	"Leyton House"	"18"	"DNF"	"Engine"
"1991"	"1991 Canadian F1 GP"	"Leyton House"	"23"	"DNF"	"Engine"
"1991"	"1991 Monaco F1 GP"	"Leyton House"	"15"	"DNF"	"Throttle"
"1991"	"1991 San Marino F1 GP"	"Leyton House"	"15"	"12"	"Engine"
"1991"	"1991 Brazilian F1 GP"	"Leyton House"	"8"	"DNF"	"Physical"
"1991"	"1991 USA F1 GP"	"Leyton House"	"23"	"DNF"	"Gearbox"
"1990"	"1990 Australian F1 GP"	"Leyton House"	"16"	"DNF"	"Brakes"
"1990"	"1990 Japanese F1 GP"	"Leyton House"	"16"	"DNF"	"Engine"
"1990"	"1990 Spanish F1 GP"	"Leyton House"	"12"	"8"	""
"1990"	"1990 Portuguese F1 GP"	"Leyton House"	"14"	"12"	""
"1990"	"1990 Italian F1 GP"	"Leyton House"	"10"	"DNF"	"Engine"
"1990"	"1990 Belgian F1 GP"	"Leyton House"	"14"	"6"	""
"1990"	"1990 Hungarian F1 GP"	"Leyton House"	"17"	"8"	""
"1990"	"1990 German F1 GP"	"Leyton House"	"14"	"DNF"	"Engine"
"1990"	"1990 British F1 GP"	"Leyton House"	"15"	"DNS"	"Fuel Pump"
"1990"	"1990 French F1 GP"	"Leyton House"	"10"	"DNF"	"Engine"
"1990"	"1990 Mexican F1 GP"	"Leyton House"	"0"	"DNQ"	"No Time"
"1990"	"1990 Canadian F1 GP"	"Leyton House"	"0"	"DNQ"	"No Time"
"1990"	"1990 Monaco F1 GP"	"Leyton House"	"0"	"DNQ"	"No Time"
"1990"	"1990 San Marino F1 GP"	"Leyton House"	"12"	"DNF"	"Electrical"
"1990"	"1990 Brazilian F1 GP"	"Leyton House"	"0"	"DNQ"	"No Time"
"1990"	"1990 USA F1 GP"	"Leyton House"	"25"	"14"	""
"1989"	"1989 Australian F1 GP"	"March"	"25"	"7"	""
"1989"	"1989 Japanese F1 GP"	"March"	"20"	"7"	""
"1989"	"1989 Spanish F1 GP"	"March"	"26"	"DNF"	"Collision"
"1989"	"1989 Portuguese F1 GP"	"March"	"14"	"10"	""
"1989"	"1989 Italian F1 GP"	"March"	"25"	"DNF"	"Throttle"
"1989"	"1989 Belgian F1 GP"	"March"	"9"	"7"	""
"1989"	"1989 Hungarian F1 GP"	"March"	"13"	"DNF"	"Electrical"
"1989"	"1989 German F1 GP"	"March"	"14"	"DNF"	"Gearbox"
"1989"	"1989 British F1 GP"	"March"	"6"	"DNF"	"Gearbox"
"1989"	"1989 French F1 GP"	"March"	"10"	"DNF"	"Not Classified"
"1989"	"1989 Canadian F1 GP"	"March"	"17"	"DNF"	"Electrical"
"1989"	"1989 USA F1 GP"	"March"	"18"	"DNF"	"Brakes"
"1989"	"1989 Mexican F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1989"	"1989 Monaco F1 GP"	"March"	"14"	"DNF"	"Engine"
"1989"	"1989 San Marino F1 GP"	"March"	"19"	"DNF"	"Transmission"
"1989"	"1989 Brazilian F1 GP"	"March"	"12"	"3"	""
"1988"	"1988 Australian F1 GP"	"March"	"19"	"DNF"	"Collision"
"1988"	"1988 Japanese F1 GP"	"March"	"13"	"10"	""
"1988"	"1988 Spanish F1 GP"	"March"	"11"	"7"	""
"1988"	"1988 Portuguese F1 GP"	"March"	"5"	"DNF"	"Engine"
"1988"	"1988 Italian F1 GP"	"March"	"13"	"8"	""
"1988"	"1988 Belgian F1 GP"	"March"	"13"	"DNF"	"Spun Off"
"1988"	"1988 Hungarian F1 GP"	"March"	"8"	"5"	""
"1988"	"1988 German F1 GP"	"March"	"10"	"8"	""
"1988"	"1988 British F1 GP"	"March"	"5"	"4"	""
"1988"	"1988 French F1 GP"	"March"	"16"	"8"	""
"1988"	"1988 Detroit F1 GP"	"March"	"13"	"DNF"	"Engine"
"1988"	"1988 Canadian F1 GP"	"March"	"18"	"DNF"	"Gearbox"
"1988"	"1988 Mexican F1 GP"	"March"	"16"	"DNF"	"Electrical"
"1988"	"1988 Monaco F1 GP"	"March"	"14"	"DNF"	"Fuel System"
"1988"	"1988 San Marino F1 GP"	"March"	"20"	"15"	""
"1988"	"1988 Brazilian F1 GP"	"March"	"13"	"DNF"	"Gearbox"
"1989"	"1989 Brazilian F1 GP"	"March"	"12"	"3"	""
