"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1985"	"1985 San Marino F1 GP"	"Spirit"	"26"	"DNF"	"Electrical"
"1985"	"1985 Portuguese F1 GP"	"Spirit"	"24"	"DNF"	"Spun Off"
"1985"	"1985 Brazilian F1 GP"	"Spirit"	"24"	"DNF"	"Turbo"
"1984"	"1994 Portuguese F1 GP"	"Spirit"	"25"	"15"	""
"1984"	"1984 European F1 GP"	"Spirit"	"24"	"8"	""
"1984"	"1984 Monaco F1 GP"	"Spirit"	"0"	"DNQ"	"No Time"
"1984"	"1984 French F1 GP"	"Spirit"	"24"	"DNF"	"Engine"
"1984"	"1984 San Marino F1 GP"	"Spirit"	"24"	"8"	""
"1984"	"1984 Belgian F1 GP"	"Spirit"	"25"	"DNF"	"Suspension"
"1984"	"1984 South African F1 GP"	"Spirit"	"20"	"8"	""
"1984"	"1984 Brazilian F1 GP"	"Spirit"	"23"	"DNF"	"Distributor"
"1983"	"1983 South African F1 GP"	"Alfa Romeo"	"17"	"DNF"	"Engine"
"1983"	"1983 European F1 GP"	"Alfa Romeo"	"15"	"DNF"	"Clutch"
"1983"	"1983 Italian F1 GP"	"Alfa Romeo"	"10"	"DNF"	"Turbo"
"1983"	"1983 Dutch F1 GP"	"Alfa Romeo"	"12"	"5"	""
"1983"	"1983 Austrian F1 GP"	"Alfa Romeo"	"9"	"DNF"	"Oil Leak"
"1983"	"1983 German F1 GP"	"Alfa Romeo"	"7"	"DNF"	"Turbo"
"1983"	"1983 British F1 GP"	"Alfa Romeo"	"11"	"7"	""
"1983"	"1983 Canadian F1 GP"	"Alfa Romeo"	"26"	"10"	""
"1983"	"1983 Detroit F1 GP"	"Alfa Romeo"	"25"	"12"	""
"1983"	"1983 Belgian F1 GP"	"Alfa Romeo"	"12"	"DNF"	"Throttle"
"1983"	"1983 Monaco F1 GP"	"Alfa Romeo"	"13"	"6"	""
"1983"	"1983 San Marino F1 GP"	"Alfa Romeo"	"10"	"10"	"Engine"
"1983"	"1983 French F1 GP"	"Alfa Romeo"	"8"	"DNF"	"Spun Off"
"1983"	"1983 USA West F1 GP"	"Alfa Romeo"	"21"	"DNF"	"Spun Off"
"1983"	"1983 Brazilian F1 GP"	"Alfa Romeo"	"10"	"DNF"	"Collision"
"1982"	"1982 Caesars Palace F1 GP"	"Arrows"	"23"	"11"	""
"1982"	"1982 Italian F1 GP"	"Arrows"	"24"	"12"	""
"1982"	"1982 Swiss F1 GP"	"Arrows"	"0"	"DNQ"	"No Time"
"1982"	"1982 Austrian F1 GP"	"Arrows"	"23"	"6"	""
"1982"	"1982 German F1 GP"	"Arrows"	"23"	"DNF"	"Fuel System"
"1982"	"1982 French F1 GP"	"Arrows"	"25"	"DNF"	"Collision"
"1982"	"1982 British F1 GP"	"Arrows"	"26"	"9"	""
"1982"	"1982 Dutch F1 GP"	"Arrows"	"16"	"6"	""
"1982"	"1982 Canadian F1 GP"	"Arrows"	"17"	"8"	""
"1982"	"1982 Detroit F1 GP"	"Arrows"	"24"	"DNF"	"Collision"
"1982"	"1982 Monaco F1 GP"	"Arrows"	"0"	"DNQ"	"No Time"
"1982"	"1982 Belgian F1 GP"	"Arrows"	"26"	"DNF"	"Throttle"
"1982"	"1982 USA West F1 GP"	"Arrows"	"0"	"DNQ"	"No Time"
"1982"	"1982 Brazilian F1 GP"	"Arrows"	"19"	"10"	""
"1982"	"1982 South African F1 GP"	"Arrows"	"0"	"DNQ"	"No Time"
