"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1994"	"1994 Australian F1 GP"	"Minardi"	"16"	"DNF"	"Suspension"
"1994"	"1994 Japanese F1 GP"	"Minardi"	"21"	"DNF"	"Spun off"
"1994"	"1994 European F1 GP"	"Minardi"	"20"	"14"	""
"1994"	"1994 Portuguese F1 GP"	"Minardi"	"19"	"13"	""
"1994"	"1994 Italian F1 GP"	"Minardi"	"22"	"DNF"	"Gearbox"
"1994"	"1994 Belgian F1 GP"	"Minardi"	"18"	"9"	""
"1994"	"1994 Hungarian F1 GP"	"Minardi"	"20"	"7"	""
"1994"	"1994 German F1 GP"	"Minardi"	"23"	"DNF"	"Collision"
"1994"	"1994 British F1 GP"	"Minardi"	"17"	"DNF"	"Engine"
"1994"	"1994 French F1 GP"	"Minardi"	"21"	"DNF"	"Engine"
"1994"	"1994 Canadian F1 GP"	"Minardi"	"18"	"11"	""
"1994"	"1994 Spanish F1 GP"	"Minardi"	"14"	"DNF"	"Engine"
"1994"	"1994 Monaco F1 GP"	"Minardi"	"12"	"6"	""
"1994"	"1994 San Marino F1 GP"	"Minardi"	"15"	"DNF"	"Wheel"
"1994"	"1994 Pacific F1 GP"	"Minardi"	"15"	"DNF"	"Collision"
"1994"	"1994 Brazilian F1 GP"	"Minardi"	"22"	"DNF"	"Engine"
"1993"	"1993 Portuguese F1 GP"	"Lola"	"25"	"DNF"	"Gearbox"
"1993"	"1993 Italian F1 GP"	"Lola"	"21"	"DNF"	"Suspension"
"1993"	"1993 Belgian F1 GP"	"Lola"	"25"	"14"	""
"1993"	"1993 Hungarian F1 GP"	"Lola"	"25"	"DNF"	"Overheating"
"1993"	"1993 German F1 GP"	"Lola"	"26"	"16"	""
"1993"	"1993 British F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1993"	"1993 French F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1993"	"1993 Canadian F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1993"	"1993 Monaco F1 GP"	"Lola"	"24"	"DNF"	"Gearbox"
"1993"	"1993 Spanish F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1993"	"1993 San Marino F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1993"	"1993 European F1 GP"	"Lola"	"24"	"11"	""
"1993"	"1993 Brazilian F1 GP"	"Lola"	"25"	"11"	""
"1993"	"1993 South African F1 GP"	"Lola"	"25"	"DNF"	"Overheating"
"1992"	"1992 Australian F1 GP"	"Footwork"	"11"	"DNF"	"Engine"
"1992"	"1992 Japanese F1 GP"	"Footwork"	"24"	"15"	""
"1992"	"1992 Portuguese F1 GP"	"Footwork"	"8"	"6"	""
"1992"	"1992 Italian F1 GP"	"Footwork"	"16"	"7"	""
"1992"	"1992 Belgian F1 GP"	"Footwork"	"14"	"DNF"	"Gearbox"
"1992"	"1992 Hungarian F1 GP"	"Footwork"	"7"	"7"	""
"1992"	"1992 German F1 GP"	"Footwork"	"17"	"9"	""
"1992"	"1992 British F1 GP"	"Footwork"	"12"	"7"	""
"1992"	"1992 French F1 GP"	"Footwork"	"14"	"7"	""
"1992"	"1992 Canadian F1 GP"	"Footwork"	"16"	"7"	""
"1992"	"1992 Monaco F1 GP"	"Footwork"	"11"	"7"	""
"1992"	"San Marino Grand Prix"	"Footwork"	"9"	"5"	""
"1992"	"1992 Spanish F1 GP"	"Footwork"	"16"	"5"	""
"1992"	"1992 Brazilian F1 GP"	"Footwork"	"14"	"6"	""
"1992"	"1992 Mexican F1 GP"	"Footwork"	"25"	"13"	""
"1992"	"1992 South African F1 GP"	"Footwork"	"17"	"10"	""
"1991"	"1991 Australian F1 GP"	"Footwork"	"15"	"13"	""
"1991"	"1991 Japanese F1 GP"	"Footwork"	"0"	"DNQ"	"No Time"
"1991"	"1991 Spanish F1 GP"	"Footwork"	"24"	"DNF"	"Engine"
"1991"	"1991 Portuguese F1 GP"	"Footwork"	"22"	"15"	""
"1991"	"1991 Italian F1 GP"	"Footwork"	"0"	"DNQ"	"No Time"
