"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2001"	"2001 Japanese F1 GP"	"McLaren"	"5"	"4"	""
"2001"	"2001 USA F1 GP"	"McLaren"	"4"	"1"	""
"2001"	"2001 Italian F1 GP"	"McLaren"	"7"	"DNF"	"Gearbox"
"2001"	"2001 Belgian F1 GP"	"McLaren"	"7"	"4"	""
"2001"	"2001 Hungarian F1 GP"	"McLaren"	"6"	"5"	""
"2001"	"2001 German F1 GP"	"McLaren"	"3"	"DNF"	"Engine"
"2001"	"2001 British F1 GP"	"McLaren"	"2"	"1"	""
"2001"	"2001 French F1 GP"	"McLaren"	"4"	"DNS"	"Gearbox"
"2001"	"2001 European F1 GP"	"McLaren"	"6"	"6"	""
"2001"	"2001 Canadian F1 GP"	"McLaren"	"8"	"3"	""
"2001"	"2001 Monaco F1 GP"	"McLaren"	"3"	"DNF"	"Steering"
"2001"	"2001 Austrian F1 GP"	"McLaren"	"8"	"DNF"	"Transmission"
"2001"	"2001 Spanish F1 GP"	"McLaren"	"2"	"9"	"Clutch"
"2001"	"2001 San Marino F1 GP"	"McLaren"	"2"	"4"	""
"2001"	"2001 Brazilian F1 GP"	"McLaren"	"3"	"DNF"	"Stalled"
"2001"	"2001 Malaysian F1 GP"	"McLaren"	"4"	"6"	""
"2001"	"2001 Australian F1 GP"	"McLaren"	"3"	"DNF"	"Suspension"
"2000"	"2000 Malaysian F1 GP"	"McLaren"	"2"	"4"	""
"2000"	"2000 Japanese F1 GP"	"McLaren"	"2"	"2"	""
"2000"	"2000 USA F1 GP"	"McLaren"	"3"	"DNF"	"Engine"
"2000"	"2000 Italian F1 GP"	"McLaren"	"3"	"2"	""
"2000"	"2000 Belgian F1 GP"	"McLaren"	"1"	"1"	""
"2000"	"2000 Hungarian F1 GP"	"McLaren"	"3"	"1"	""
"2000"	"2000 German F1 GP"	"McLaren"	"4"	"2"	""
"2000"	"2000 Austrian F1 GP"	"McLaren"	"1"	"1"	""
"2000"	"2000 French F1 GP"	"McLaren"	"4"	"2"	""
"2000"	"2000 Canadian F1 GP"	"McLaren"	"4"	"4"	""
"2000"	"2000 Monaco F1 GP"	"McLaren"	"5"	"6"	""
"2000"	"2000 European F1 GP"	"McLaren"	"3"	"2"	""
"2000"	"2000 Spanish F1 GP"	"McLaren"	"2"	"1"	""
"2000"	"2000 British F1 GP"	"McLaren"	"3"	"2"	""
"2000"	"2000 San Marino F1 GP"	"McLaren"	"1"	"2"	""
"2000"	"2000 Brazilian F1 GP"	"McLaren"	"1"	"DNF"	"Oil Pressure"
"2000"	"2000 Australian F1 GP"	"McLaren"	"1"	"DNF"	"Engine"
"1999"	"1999 Japanese F1 GP"	"McLaren"	"2"	"1"	""
"1999"	"1999 Malaysian F1 GP"	"McLaren"	"4"	"3"	""
"1999"	"1999 European F1 GP"	"McLaren"	"3"	"5"	""
"1999"	"1999 Italian F1 GP"	"McLaren"	"1"	"DNF"	"Spun off"
"1999"	"1999 Belgian F1 GP"	"McLaren"	"1"	"2"	""
"1999"	"1999 Hungarian F1 GP"	"McLaren"	"1"	"1"	""
"1999"	"1999 German F1 GP"	"McLaren"	"1"	"DNF"	"Tyre"
"1999"	"1999 Austrian F1 GP"	"McLaren"	"1"	"3"	""
"1999"	"1999 British F1 GP"	"McLaren"	"1"	"DNF"	"Wheel"
"1999"	"1999 French F1 GP"	"McLaren"	"14"	"2"	""
"1999"	"1999 Canadian F1 GP"	"McLaren"	"2"	"1"	""
"1999"	"1999 Spanish F1 GP"	"McLaren"	"1"	"1"	""
"1999"	"1999 Monaco F1 GP"	"McLaren"	"1"	"3"	""
"1999"	"1999 San Marino F1 GP"	"McLaren"	"1"	"DNF"	"Spun off"
"1999"	"1999 Brazilian F1 GP"	"McLaren"	"1"	"1"	""
"1999"	"1999 Australian F1 GP"	"McLaren"	"1"	"DNF"	"Throttle"
"1998"	"1998 Japanese F1 GP"	"McLaren"	"2"	"1"	""
"1998"	"1998 Luxembourg F1 GP"	"McLaren"	"3"	"1"	""
"1998"	"1998 Italian F1 GP"	"McLaren"	"3"	"4"	""
"1998"	"1998 Belgian F1 GP"	"McLaren"	"1"	"DNF"	"Collision"
"1998"	"1998 Hungarian F1 GP"	"McLaren"	"1"	"6"	""
"1998"	"1998 German F1 GP"	"McLaren"	"1"	"1"	""
"1998"	"1998 Austrian F1 GP"	"McLaren"	"3"	"1"	""
"1998"	"1998 British F1 GP"	"McLaren"	"1"	"2"	""
"1998"	"1998 French F1 GP"	"McLaren"	"1"	"3"	""
"1998"	"1998 Canadian F1 GP"	"McLaren"	"2"	"DNF"	"Gearbox"
"1998"	"1998 Monaco F1 GP"	"McLaren"	"1"	"1"	""
"1998"	"1998 Spanish F1 GP"	"McLaren"	"1"	"1"	""
"1998"	"1998 San Marino F1 GP"	"McLaren"	"2"	"DNF"	"Gearbox"
"1998"	"1998 Argentine F1 GP"	"McLaren"	"3"	"2"	""
"1998"	"1998 Brazilian F1 GP"	"McLaren"	"1"	"1"	""
"1998"	"1998 Australian F1 GP"	"McLaren"	"1"	"1"	""
"1997"	"1997 European F1 GP"	"McLaren"	"5"	"1"	""
"1997"	"1997 Japanese F1 GP"	"McLaren"	"4"	"4"	""
"1997"	"1997 Luxembourg F1 GP"	"McLaren"	"1"	"DNF"	"Engine"
"1997"	"1997 Austrian F1 GP"	"McLaren"	"2"	"DNF"	"Engine"
"1997"	"1997 Italian F1 GP"	"McLaren"	"5"	"9"	""
"1997"	"1997 Belgian F1 GP"	"McLaren"	"5"	"DSQ"	"Disqualified"
"1997"	"1997 Hungarian F1 GP"	"McLaren"	"4"	"DNF"	"Hydraulics"
"1997"	"1997 German F1 GP"	"McLaren"	"3"	"3"	""
"1997"	"1997 British F1 GP"	"McLaren"	"3"	"DNF"	"Engine"
"1997"	"1997 French F1 GP"	"McLaren"	"10"	"DNF"	"Engine"
"1997"	"1997 Canadian F1 GP"	"McLaren"	"9"	"DNF"	"Engine"
"1997"	"1997 Spanish F1 GP"	"McLaren"	"5"	"7"	""
"1997"	"1997 Monaco F1 GP"	"McLaren"	"8"	"DNF"	"Collision"
"1997"	"1997 San Marino F1 GP"	"McLaren"	"8"	"6"	""
"1997"	"1997 Argentine F1 GP"	"McLaren"	"17"	"5"	""
"1997"	"1997 Brazilian F1 GP"	"McLaren"	"4"	"4"	""
"1997"	"1997 Australian F1 GP"	"McLaren"	"6"	"3"	""
"1996"	"1996 Japanese F1 GP"	"McLaren"	"5"	"3"	""
"1996"	"1996 Portuguese F1 GP"	"McLaren"	"7"	"DNF"	"Collision"
"1996"	"1996 Italian F1 GP"	"McLaren"	"4"	"3"	""
"1996"	"1996 Belgian F1 GP"	"McLaren"	"6"	"3"	""
"1996"	"1996 Hungarian F1 GP"	"McLaren"	"7"	"4"	""
"1996"	"1996 German F1 GP"	"McLaren"	"4"	"DNF"	"Gearbox"
"1996"	"1996 British F1 GP"	"McLaren"	"4"	"3"	""
"1996"	"1996 French F1 GP"	"McLaren"	"5"	"5"	""
"1996"	"1996 Canadian F1 GP"	"McLaren"	"6"	"5"	""
