"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1974"	"1974 German F1 GP"	"McLaren"	"12"	"15"	"Accident"
"1974"	"1974 British F1 GP"	"McLaren"	"11"	"DNF"	"Spun off"
"1974"	"1974 French F1 GP"	"McLaren"	"6"	"7"	""
"1974"	"1974 Dutch F1 GP"	"McLaren"	"4"	"4"	""
"1974"	"1974 Swedish F1 GP"	"McLaren"	"11"	"DNF"	"Fuel Leak"
"1974"	"1974 Monaco F1 GP"	"McLaren"	"10"	"DNF"	"Accident"
"1974"	"1974 Belgian F1 GP"	"McLaren"	"13"	"7"	""
"1974"	"1974 Spanish F1 GP"	"McLaren"	"17"	"9"	""
"1974"	"1974 South African F1 GP"	"McLaren"	"12"	"3"	""
"1974"	"1974 Brazilian F1 GP"	"McLaren"	"7"	"5"	""
"1974"	"1974 Argentine F1 GP"	"McLaren"	"9"	"4"	""
"1973"	"1973 USA F1 GP"	"Surtees"	"6"	"DNF"	"Suspension"
"1973"	"1973 Canadian F1 GP"	"Surtees"	"12"	"9"	""
"1973"	"1973 Italian F1 GP"	"Surtees"	"8"	"7"	""
"1973"	"1973 Austrian F1 GP"	"Surtees"	"15"	"10"	""
"1973"	"1973 German F1 GP"	"Surtees"	"18"	"14"	""
"1973"	"1973 Dutch F1 GP"	"Surtees"	"24"	"DNF"	"Electrical"
"1973"	"1973 British F1 GP"	"Surtees"	"12"	"DNF"	"Collision"
"1973"	"1973 French F1 GP"	"Surtees"	"11"	"DNF"	"Oil Leak"
"1973"	"1973 Swedish F1 GP"	"Surtees"	"10"	"DNF"	"Tyre"
"1973"	"1973 Monaco F1 GP"	"Surtees"	"13"	"8"	""
"1973"	"1973 Belgian F1 GP"	"Surtees"	"13"	"DNF"	"Accident"
"1973"	"1973 Spanish F1 GP"	"Surtees"	"9"	"DNF"	"Oil Leak"
"1973"	"1973 South African F1 GP"	"Surtees"	"12"	"DNF"	"Accident"
"1973"	"1973 Brazilian F1 GP"	"Surtees"	"14"	"DNF"	"Gearbox"
"1973"	"1973 Argentine F1 GP"	"Surtees"	"10"	"DNF"	"Halfshaft"
"1972"	"1972 USA F1 GP"	"Surtees"	"14"	"17"	"Collision"
"1972"	"1972 Italian F1 GP"	"Surtees"	"9"	"2"	""
"1972"	"1972 Austrian F1 GP"	"Surtees"	"12"	"4"	""
"1972"	"1972 German F1 GP"	"Surtees"	"16"	"DNF"	"Suspension"
"1972"	"1972 British F1 GP"	"Surtees"	"7"	"DNF"	"Gearbox"
"1972"	"1972 French F1 GP"	"Surtees"	"10"	"6"	""
"1972"	"1972 Belgian F1 GP"	"Surtees"	"8"	"4"	""
"1972"	"1972 Monaco F1 GP"	"Surtees"	"11"	"DNF"	"Accident"
"1972"	"1972 Spanish F1 GP"	"Surtees"	"15"	"DNF"	"Electrical"
"1972"	"1972 South African F1 GP"	"Surtees"	"4"	"DNF"	"Suspension"
"1971"	"1971 USA F1 GP"	"Surtees"	"14"	"15"	"Accident"
"1971"	"1971 Italian F1 GP"	"Surtees"	"17"	"4"	""
"1965"	"1965 Monaco F1 GP"	"Team Lotus"	"12"	"DNF"	"Gearbox"
"1964"	"1964 Mexican F1 GP"	"Team Lotus"	"17"	"DNF"	"Overheating"
"1964"	"1964 USA F1 GP"	"Team Lotus"	"15"	"8"	"Oil Pipe"
"1964"	"1964 Italian F1 GP"	"Team Lotus"	"17"	"DNF"	"Engine"
"1964"	"1964 Austrian F1 GP"	"Team Lotus"	"18"	"8"	""
"1964"	"1964 German F1 GP"	"Team Lotus"	"13"	"DNF"	"Engine"
"1964"	"1964 British F1 GP"	"Team Lotus"	"12"	"DNF"	"Oil Pipe"
"1964"	"1964 French F1 GP"	"Team Lotus"	"13"	"8"	""
"1964"	"1964 Dutch F1 GP"	"Team Lotus"	"14"	"12"	"Differential"
"1964"	"1964 Monaco F1 GP"	"Team Lotus"	"15"	"6"	""
"1963"	"1963 South African F1 GP"	"Lola"	"0"	"WD"	"No Time"
"1963"	"1963 Italian F1 GP"	"Lola"	"18"	"10"	""
"1963"	"1963 British F1 GP"	"Team Lotus"	"17"	"8"	""
"1974"	"1974 South African F1 GP"	"McLaren"	"12"	"3"	""
"1972"	"1972 Italian F1 GP"	"Surtees"	"9"	"2"	""
