"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1973"	"1973 Monaco F1 GP"	"Iso Marlboro"	"21"	"DNF"	"Halfshaft"
"1973"	"1973 Belgian F1 GP"	"Iso Marlboro"	"17"	"DNF"	"Engine"
"1973"	"1973 Spanish F1 GP"	"Iso Marlboro"	"20"	"11"	""
"1973"	"1973 Brazilian F1 GP"	"Iso Marlboro"	"18"	"9"	""
"1973"	"1973 Argentine F1 GP"	"Iso Marlboro"	"16"	"DNF"	"Engine"
"1972"	"1972 Italian F1 GP"	"Tecno"	"23"	"DNF"	"Engine"
"1972"	"1972 Austrian F1 GP"	"Tecno"	"23"	"DNF"	"Oil Leak"
"1972"	"1972 British F1 GP"	"Tecno"	"18"	"DNF"	"Spun off"
"1972"	"1972 French F1 GP"	"Ferrari"	"19"	"13"	""
"1972"	"1972 Belgian F1 GP"	"Tecno"	"24"	"DNF"	"Accident"
"1971"	"1971 USA F1 GP"	"March"	"23"	"DNF"	"Wheel"
"1971"	"1971 Canadian F1 GP"	"March"	"20"	"16"	""
"1971"	"1971 Italian F1 GP"	"March"	"19"	"DNF"	"Electrical"
"1971"	"1971 Austrian F1 GP"	"March"	"15"	"12"	""
"1971"	"1971 German F1 GP"	"March"	"21"	"12"	""
"1971"	"1971 British F1 GP"	"March"	"21"	"11"	""
"1970"	"1970 Italian F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
