"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2012"	"2012 Brazilian F1 GP"	"HRT"	"23"	"18"	""
"2012"	"2012 USA F1 GP"	"HRT"	"24"	"22"	""
"2012"	"2012 Abu Dhabi F1 GP"	"HRT"	"23"	"DNF"	"Collision"
"2012"	"2012 Indian F1 GP"	"HRT"	"23"	"21"	""
"2012"	"2012 Korean F1 GP"	"HRT"	"24"	"20"	""
"2012"	"2012 Japanese F1 GP"	"HRT"	"24"	"DNF"	"Technical"
"2012"	"2012 Singapore F1 GP"	"HRT"	"23"	"DNF"	"Collision"
"2012"	"2012 Italian F1 GP"	"HRT"	"22"	"19"	""
"2012"	"2012 Belgian F1 GP"	"HRT"	"24"	"DNF"	"Collision"
"2012"	"2012 Hungarian F1 GP"	"HRT"	"24"	"DNF"	"Steering"
"2012"	"2012 German F1 GP"	"HRT"	"24"	"23"	""
"2012"	"2012 British F1 GP"	"HRT"	"22"	"21"	""
"2012"	"2012 European F1 GP"	"HRT"	"22"	"18"	""
"2012"	"2012 Canadian F1 GP"	"HRT"	"24"	"DNF"	"Brakes"
"2012"	"2012 Monaco F1 GP"	"HRT"	"22"	"15"	""
"2012"	"2012 Spanish F1 GP"	"HRT"	"23"	"DNF"	"Wheel"
"2012"	"2012 Bahrain F1 GP"	"HRT"	"24"	"21"	""
"2012"	"2012 Chinese F1 GP"	"HRT"	"23"	"22"	""
"2012"	"2012 Malaysian F1 GP"	"HRT"	"23"	"22"	""
"2012"	"2012 Australian F1 GP"	"HRT"	"24"	"DNQ"	""
"2011"	"2011 Indian F1 GP"	"HRT"	"24"	"17"	""
"2011"	"2011 European F1 GP"	"HRT"	"24"	"24"	""
"2011"	"2011 Canadian F1 GP"	"HRT"	"22"	"17"	""
"2011"	"2011 Monaco F1 GP"	"HRT"	"22"	"17"	""
"2011"	"2011 Spanish F1 GP"	"HRT"	"22"	"21"	""
"2011"	"2011 Turkish F1 GP"	"HRT"	"22"	"21"	""
"2011"	"2011 Chinese F1 GP"	"HRT"	"24"	"23"	""
"2011"	"2011 Malaysian F1 GP"	"HRT"	"24"	"DNF"	"Overheating"
"2011"	"2011 Australian F1 GP"	"HRT"	"0"	"DNQ"	""
"2005"	"2005 Chinese F1 GP"	"Jordan"	"15"	"DNF"	"Accident"
"2005"	"2005 Japanese F1 GP"	"Jordan"	"11"	"15"	""
"2005"	"2005 Brazilian F1 GP"	"Jordan"	"15"	"15"	""
"2005"	"2005 Belgian F1 GP"	"Jordan"	"20"	"11"	""
"2005"	"2005 Italian F1 GP"	"Jordan"	"19"	"20"	""
"2005"	"2005 Turkish F1 GP"	"Jordan"	"18"	"14"	""
"2005"	"2005 Hungarian F1 GP"	"Jordan"	"18"	"12"	""
"2005"	"2005 German F1 GP"	"Jordan"	"19"	"16"	""
"2005"	"2005 British F1 GP"	"Jordan"	"17"	"DNF"	"Electrical"
"2005"	"2005 French F1 GP"	"Jordan"	"17"	"15"	""
"2005"	"2005 USA F1 GP"	"Jordan"	"19"	"4"	""
"2005"	"2005 Canadian F1 GP"	"Jordan"	"17"	"DNF"	"Suspension"
"2005"	"2005 European F1 GP"	"Jordan"	"19"	"16"	""
"2005"	"2005 Monaco F1 GP"	"Jordan"	"17"	"DNF"	"Hydraulics"
"2005"	"2005 Spanish F1 GP"	"Jordan"	"13"	"13"	""
"2005"	"2005 San Marino F1 GP"	"Jordan"	"16"	"12"	""
"2005"	"2005 Bahrain F1 GP"	"Jordan"	"17"	"DNF"	"Electrical"
"2005"	"2005 Malaysian F1 GP"	"Jordan"	"17"	"11"	""
"2005"	"2005 Australian F1 GP"	"Jordan"	"12"	"15"	""
