"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1991"	"1991 Australian F1 GP"	"Benetton"	"5"	"4"	""
"1991"	"1991 Japanese F1 GP"	"Benetton"	"10"	"7"	""
"1991"	"1991 Spanish F1 GP"	"Benetton"	"10"	"11"	""
"1991"	"1991 Portuguese F1 GP"	"Benetton"	"11"	"5"	""
"1991"	"1991 Italian F1 GP"	"Benetton"	"8"	"6"	""
"1991"	"1991 Belgian F1 GP"	"Benetton"	"6"	"3"	""
"1991"	"1991 Hungarian F1 GP"	"Benetton"	"11"	"DNF"	"Gearbox"
"1991"	"1991 German F1 GP"	"Benetton"	"8"	"DNF"	"Engine"
"1991"	"1991 British F1 GP"	"Benetton"	"8"	"5"	""
"1991"	"French Grand Prix"	"Benetton"	"7"	"8"	""
"1991"	"1991 Mexican F1 GP"	"Benetton"	"6"	"DNF"	"Wheel Bearing"
"1991"	"1991 Canadian F1 GP"	"Benetton"	"8"	"1"	""
"1991"	"1991 Monaco F1 GP"	"Benetton"	"4"	"DNF"	"Suspension"
"1991"	"1991 San Marino F1 GP"	"Benetton"	"14"	"DNF"	"Spun Off"
"1991"	"1991 Brazilian F1 GP"	"Benetton"	"7"	"5"	""
"1991"	"1991 USA F1 GP"	"Benetton"	"5"	"3"	""
"1990"	"1990 Australian F1 GP"	"Benetton"	"7"	"1"	""
"1990"	"1990 Japanese F1 GP"	"Benetton"	"6"	"1"	""
"1990"	"1990 Spanish F1 GP"	"Benetton"	"8"	"DNF"	"Battery"
"1990"	"1990 Portuguese F1 GP"	"Benetton"	"6"	"5"	""
"1990"	"1990 Italian F1 GP"	"Benetton"	"9"	"7"	""
"1990"	"1990 Belgian F1 GP"	"Benetton"	"8"	"5"	""
"1990"	"1990 Hungarian F1 GP"	"Benetton"	"9"	"3"	""
"1990"	"1990 German F1 GP"	"Benetton"	"7"	"DNF"	"Engine"
"1990"	"1990 British F1 GP"	"Benetton"	"11"	"5"	""
