"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"Williams"	"16"	"DNF"	"Crash"
"2021"	"2021 Saudi Arabian F1 GP"	"Williams"	"16"	"12"	""
"2021"	"2021 Qatar F1 GP"	"Williams"	"17"	"DNF"	"Puncture"
"2021"	"2021 Brazilian F1 GP"	"Williams"	"16"	"16"	""
"2021"	"2021 Mexico F1 GP"	"Williams"	"13"	"17"	""
"2021"	"2021 USA F1 GP"	"Williams"	"14"	"15"	""
"2021"	"2021 Turkish F1 GP"	"Williams"	"15"	"17"	""
"2021"	"2021 Russian F1 GP"	"Williams"	"18"	"DNF"	"Collision damage"
"2021"	"2021 Italian F1 GP"	"Williams"	"13"	"11"	""
"2021"	"2021 Dutch F1 GP"	"Williams"	"20"	"16"	""
"2021"	"2021 Belgian F1 GP"	"Williams"	"9"	"9"	""
"2021"	"2021 Hungarian F1 GP"	"Williams"	"18"	"7"	""
"2021"	"2021 British F1 GP"	"Williams"	"17"	"14"	""
"2021"	"2021 Austrian F1 GP"	"Williams"	"18"	"16"	""
"2021"	"2021 Styrian F1 GP"	"Williams"	"16"	"18"	""
"2021"	"2021 French F1 GP"	"Williams"	"16"	"18"	""
"2021"	"2021 Azerbaijan F1 GP"	"Williams"	"16"	"16"	""
"2021"	"2021 Monaco F1 GP"	"Williams"	"17"	"15"	""
"2021"	"2021 Spanish F1 GP"	"Williams"	"19"	"16"	""
"2021"	"2021 Portuguese F1 GP"	"Williams"	"18"	"18"	""
"2021"	"2021 E. Romagna F1 GP"	"Williams"	"14"	"DNF"	"Crashed"
"2021"	"2021 Bahrain F1 GP"	"Williams"	"17"	"18"	""
"2020"	"2020 Abu Dhabi F1 GP"	"Williams"	"18"	"17"	""
"2020"	"2020 Sakhir F1 GP"	"Williams"	"16"	"DNF"	"Oil leak"
"2020"	"2020 Bahrain F1 GP"	"Williams"	"20"	"14"	""
"2020"	"2020 Turkish F1 GP"	"Williams"	"19"	"DNF"	"Collision damage"
"2020"	"2020 E. Romagna F1 GP"	"Williams"	"19"	"11"	""
"2020"	"2020 Portuguese F1 GP"	"Williams"	"20"	"18"	""
"2020"	"2020 Eifel F1 GP"	"Williams"	"14"	"14"	""
"2020"	"2020 Russian F1 GP"	"Williams"	"20"	"16"	""
"2020"	"2020 Tuscan F1 GP"	"Williams"	"19"	"DNF"	"Crashed"
"2020"	"2020 Italian F1 GP"	"Williams"	"20"	"11"	""
"2020"	"2020 Belgian F1 GP"	"Williams"	"19"	"16"	""
"2020"	"2020 Spanish F1 GP"	"Williams"	"19"	"18"	""
"2020"	"70th Anniversary F1 GP"	"Williams"	"18"	"19"	""
"2020"	"2020 British F1 GP"	"Williams"	"18"	"15"	""
"2020"	"2020 Hungarian F1 GP"	"Williams"	"15"	"19"	""
"2020"	"2020 Styrian F1 GP"	"Williams"	"18"	"17"	""
"2020"	"2020 Austrian F1 GP"	"Williams"	"20"	"11"	""
