"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2016"	"2016 Abu Dhabi F1 GP"	"Mercedes"	"2"	"2"	""
"2016"	"2016 Brazilian F1 GP"	"Mercedes"	"2"	"2"	""
"2016"	"2016 Mexican F1 GP"	"Mercedes"	"2"	"2"	""
"2016"	"2016 USA F1 GP"	"Mercedes"	"2"	"2"	""
"2016"	"2016 Japanese F1 GP"	"Mercedes"	"1"	"1"	""
"2016"	"2016 Malaysian F1 GP"	"Mercedes"	"2"	"3"	""
"2016"	"2016 Singapore F1 GP"	"Mercedes"	"1"	"1"	""
"2016"	"2016 Italian F1 GP"	"Mercedes"	"2"	"1"	""
"2016"	"2016 Belgian F1 GP"	"Mercedes"	"1"	"1"	""
"2016"	"2016 German F1 GP"	"Mercedes"	"1"	"4"	""
"2016"	"2016 Hungarian F1 GP"	"Mercedes"	"1"	"2"	""
"2016"	"2016 British F1 GP"	"Mercedes"	"2"	"3"	""
"2016"	"2016 Austrian F1 GP"	"Mercedes"	"6"	"4"	""
"2016"	"2016 Azerbaijan F1 GP"	"Mercedes"	"1"	"1"	""
"2016"	"2016 Canadian F1 GP"	"Mercedes"	"2"	"5"	""
"2016"	"2016 Monaco F1 GP"	"Mercedes"	"2"	"7"	""
"2016"	"2016 Spanish F1 GP"	"Mercedes"	"2"	"DNF"	"Crashed"
"2016"	"2016 Russian F1 GP"	"Mercedes"	"1"	"1"	""
"2016"	"2016 Chinese F1 GP"	"Mercedes"	"1"	"1"	""
"2016"	"2016 Bahrain F1 GP"	"Mercedes"	"2"	"1"	""
"2016"	"2016 Australian F1 GP"	"Mercedes"	"2"	"1"	""
"2015"	"2015 Abu Dhabi F1 GP"	"Mercedes"	"1"	"1"	""
"2015"	"2015 Brazilian F1 GP"	"Mercedes"	"1"	"1"	""
"2015"	"2015 Mexican F1 GP"	"Mercedes"	"1"	"1"	""
"2015"	"2015 USA F1 GP"	"Mercedes"	"1"	"2"	""
"2015"	"2015 Russian F1 GP"	"Mercedes"	"1"	"DNF"	"Throttle"
"2015"	"2015 Japanese F1 GP"	"Mercedes"	"1"	"2"	""
"2015"	"2015 Singapore F1 GP"	"Mercedes"	"6"	"4"	""
"2015"	"2015 Italian F1 GP"	"Mercedes"	"4"	"17"	"Power unit"
"2015"	"2015 Belgian F1 GP"	"Mercedes"	"2"	"2"	""
"2015"	"2015 Hungarian F1 GP"	"Mercedes"	"2"	"8"	""
"2015"	"2015 British F1 GP"	"Mercedes"	"2"	"2"	""
"2015"	"2015 Austrian F1 GP"	"Mercedes"	"2"	"1"	""
"2015"	"2015 Canadian F1 GP"	"Mercedes"	"2"	"2"	""
"2015"	"2015 Monaco F1 GP"	"Mercedes"	"2"	"1"	""
"2015"	"2015 Spanish F1 GP"	"Mercedes"	"1"	"1"	""
"2015"	"2015 Bahrain F1 GP"	"Mercedes"	"3"	"3"	""
"2015"	"2015 Chinese F1 GP"	"Mercedes"	"2"	"2"	""
"2015"	"2015 Malaysian F1 GP"	"Mercedes"	"3"	"3"	""
"2015"	"2015 Australian F1 GP"	"Mercedes"	"2"	"2"	""
"2014"	"2014 Abu Dhabi F1 GP"	"Mercedes"	"1"	"14"	""
"2014"	"2014 Brazilian F1 GP"	"Mercedes"	"1"	"1"	""
"2014"	"2014 USA F1 GP"	"Mercedes"	"1"	"2"	""
"2014"	"2014 Russian F1 GP"	"Mercedes"	"2"	"2"	""
"2014"	"2014 Japanese F1 GP"	"Mercedes"	"1"	"2"	""
"2014"	"2014 Singapore F1 GP"	"Mercedes"	"2"	"DNF"	"Wiring failure"
"2014"	"2014 Italian F1 GP"	"Mercedes"	"2"	"2"	""
"2014"	"2014 Belgian F1 GP"	"Mercedes"	"1"	"2"	""
"2014"	"2014 Hungarian F1 GP"	"Mercedes"	"1"	"4"	""
"2014"	"2014 German F1 GP"	"Mercedes"	"1"	"1"	""
"2014"	"2014 British F1 GP"	"Mercedes"	"1"	"DNF"	"Gearbox"
"2014"	"2014 Austrian F1 GP"	"Mercedes"	"3"	"1"	""
"2014"	"2014 Canadian F1 GP"	"Mercedes"	"1"	"2"	""
"2014"	"2014 Monaco F1 GP"	"Mercedes"	"1"	"1"	""
"2014"	"2014 Spanish F1 GP"	"Mercedes"	"2"	"2"	""
"2014"	"2014 Chinese F1 GP"	"Mercedes"	"4"	"2"	""
"2014"	"2014 Bahrain F1 GP"	"Mercedes"	"1"	"2"	""
"2014"	"2014 Malaysian F1 GP"	"Mercedes"	"3"	"2"	""
"2014"	"2014 Australian F1 GP"	"Mercedes"	"3"	"1"	""
"2013"	"2013 Brazilian F1 GP"	"Mercedes"	"2"	"5"	""
"2013"	"2013 USA F1 GP"	"Mercedes"	"12"	"9"	""
"2013"	"2013 Abu Dhabi F1 GP"	"Mercedes"	"3"	"3"	""
"2013"	"2013 Indian F1 GP"	"Mercedes"	"2"	"2"	""
"2013"	"2013 Japanese F1 GP"	"Mercedes"	"6"	"8"	""
