"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1995"	"1995 Spanish F1 GP"	"McLaren"	"10"	"DNF"	"Handling"
"1995"	"1995 San Marino F1 GP"	"McLaren"	"9"	"10"	""
"1994"	"1994 Australian F1 GP"	"Williams"	"1"	"1"	""
"1994"	"1994 Japanese F1 GP"	"Williams"	"4"	"4"	""
"1994"	"1994 European F1 GP"	"Williams"	"3"	"DNF"	"Spun off"
"1994"	"1994 French F1 GP"	"Williams"	"2"	"DNF"	"Gearbox"
"1992"	"1992 Australian F1 GP"	"Williams"	"1"	"DNF"	"Collision"
"1992"	"1992 Japanese F1 GP"	"Williams"	"1"	"DNF"	"Engine"
"1992"	"1992 Portuguese F1 GP"	"Williams"	"1"	"1"	""
"1992"	"1992 Italian F1 GP"	"Williams"	"1"	"DNF"	"Electrical"
"1992"	"1992 Belgian F1 GP"	"Williams"	"1"	"2"	""
"1992"	"1992 Hungarian F1 GP"	"Williams"	"2"	"2"	""
"1992"	"1992 German F1 GP"	"Williams"	"1"	"1"	""
"1992"	"1992 British F1 GP"	"Williams"	"1"	"1"	""
"1992"	"1992 French F1 GP"	"Williams"	"1"	"1"	""
"1992"	"1992 Canadian F1 GP"	"Williams"	"3"	"DNF"	"Spun Off"
"1992"	"1992 Monaco F1 GP"	"Williams"	"1"	"2"	""
"1992"	"San Marino Grand Prix"	"Williams"	"1"	"1"	""
"1992"	"1992 Spanish F1 GP"	"Williams"	"1"	"1"	""
"1992"	"1992 Brazilian F1 GP"	"Williams"	"1"	"1"	""
"1992"	"1992 Mexican F1 GP"	"Williams"	"1"	"1"	""
"1992"	"1992 South African F1 GP"	"Williams"	"1"	"1"	""
"1991"	"1991 Australian F1 GP"	"Williams"	"3"	"2"	""
"1991"	"1991 Japanese F1 GP"	"Williams"	"3"	"DNF"	"Spun Off"
"1991"	"1991 Spanish F1 GP"	"Williams"	"2"	"1"	""
"1991"	"1991 Portuguese F1 GP"	"Williams"	"4"	"DSQ"	"Disqualified"
"1991"	"1991 Italian F1 GP"	"Williams"	"2"	"1"	""
"1991"	"1991 Belgian F1 GP"	"Williams"	"3"	"DNF"	"Electrical"
"1991"	"1991 Hungarian F1 GP"	"Williams"	"3"	"2"	""
"1991"	"1991 German F1 GP"	"Williams"	"1"	"1"	""
"1991"	"1991 British F1 GP"	"Williams"	"1"	"1"	""
"1991"	"French Grand Prix"	"Williams"	"4"	"1"	""
"1991"	"1991 Mexican F1 GP"	"Williams"	"2"	"2"	""
"1991"	"1991 Canadian F1 GP"	"Williams"	"2"	"6"	"Electrical"
"1991"	"1991 Monaco F1 GP"	"Williams"	"5"	"2"	""
"1991"	"1991 San Marino F1 GP"	"Williams"	"4"	"DNF"	"Collision"
"1991"	"1991 Brazilian F1 GP"	"Williams"	"3"	"DNF"	"Gearbox"
"1991"	"1991 USA F1 GP"	"Williams"	"4"	"DNF"	"Gearbox"
"1990"	"1990 Australian F1 GP"	"Ferrari"	"3"	"2"	""
"1990"	"1990 Japanese F1 GP"	"Ferrari"	"3"	"DNF"	"Transmission"
"1990"	"1990 Spanish F1 GP"	"Ferrari"	"3"	"2"	""
"1990"	"1990 Portuguese F1 GP"	"Ferrari"	"1"	"1"	""
"1990"	"1990 Italian F1 GP"	"Ferrari"	"4"	"4"	""
"1990"	"1990 Belgian F1 GP"	"Ferrari"	"5"	"DNF"	"Handling"
"1990"	"1990 Hungarian F1 GP"	"Ferrari"	"5"	"17"	"Collision"
"1990"	"1990 German F1 GP"	"Ferrari"	"4"	"DNF"	"Broken Wing"
"1990"	"1990 British F1 GP"	"Ferrari"	"1"	"DNF"	"Gearbox"
"1990"	"1990 French F1 GP"	"Ferrari"	"1"	"18"	"Engine"
"1990"	"1990 Mexican F1 GP"	"Ferrari"	"4"	"2"	""
"1990"	"1990 Canadian F1 GP"	"Ferrari"	"7"	"3"	""
"1990"	"1990 Monaco F1 GP"	"Ferrari"	"7"	"DNF"	"Battery"
"1990"	"1990 San Marino F1 GP"	"Ferrari"	"5"	"DNF"	"Engine"
"1990"	"1990 Brazilian F1 GP"	"Ferrari"	"5"	"4"	""
"1990"	"1990 USA F1 GP"	"Ferrari"	"17"	"DNF"	"Clutch"
"1989"	"1989 Australian F1 GP"	"Ferrari"	"7"	"DNF"	"Spun Off"
"1989"	"1989 Japanese F1 GP"	"Ferrari"	"4"	"DNF"	"Engine"
"1989"	"1989 Portuguese F1 GP"	"Ferrari"	"3"	"DSQ"	"Disqualified"
"1989"	"1989 Italian F1 GP"	"Ferrari"	"3"	"DNF"	"Gearbox"
"1989"	"1989 Belgian F1 GP"	"Ferrari"	"6"	"3"	""
"1989"	"1989 Hungarian F1 GP"	"Ferrari"	"12"	"1"	""
"1989"	"1989 German F1 GP"	"Ferrari"	"3"	"3"	""
"1989"	"1989 British F1 GP"	"Ferrari"	"3"	"2"	""
"1989"	"1989 French F1 GP"	"Ferrari"	"3"	"2"	""
"1989"	"1989 Canadian F1 GP"	"Ferrari"	"5"	"DSQ"	"Disqualified"
"1989"	"1989 USA F1 GP"	"Ferrari"	"4"	"DNF"	"Alternator"
"1989"	"1989 Mexican F1 GP"	"Ferrari"	"3"	"DNF"	"Gearbox"
"1989"	"1989 Monaco F1 GP"	"Ferrari"	"5"	"DNF"	"Gearbox"
"1989"	"1989 San Marino F1 GP"	"Ferrari"	"3"	"DNF"	"Gearbox"
"1989"	"1989 Brazilian F1 GP"	"Ferrari"	"6"	"1"	""
"1988"	"1988 Australian F1 GP"	"Williams"	"3"	"DNF"	"Spun Off"
"1988"	"1988 Japanese F1 GP"	"Williams"	"8"	"DNF"	"Collision"
"1988"	"1988 Spanish F1 GP"	"Williams"	"3"	"2"	""
"1988"	"1988 Portuguese F1 GP"	"Williams"	"6"	"DNF"	"Spun Off"
"1988"	"1988 Hungarian F1 GP"	"Williams"	"2"	"DNF"	"Driver Unwell"
"1988"	"1988 German F1 GP"	"Williams"	"11"	"DNF"	"Spun Off"
