"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1992"	"1992 Australian F1 GP"	"Tyrrell"	"13"	"DNF"	"Accident"
"1992"	"1992 Japanese F1 GP"	"Tyrrell"	"21"	"DNF"	"Spun Off"
"1992"	"1992 Portuguese F1 GP"	"Tyrrell"	"15"	"DNF"	"Gearbox"
"1992"	"1992 Italian F1 GP"	"Tyrrell"	"18"	"DNF"	"Engine"
"1992"	"1992 Belgian F1 GP"	"Tyrrell"	"22"	"DNF"	"Accident"
"1992"	"1992 Hungarian F1 GP"	"Tyrrell"	"22"	"DNF"	"Collision"
"1992"	"1992 German F1 GP"	"Tyrrell"	"14"	"DNF"	"Engine"
"1992"	"1992 British F1 GP"	"Tyrrell"	"20"	"11"	""
"1992"	"1992 French F1 GP"	"Tyrrell"	"22"	"11"	""
"1992"	"1992 Canadian F1 GP"	"Tyrrell"	"26"	"12"	""
"1992"	"1992 Monaco F1 GP"	"Tyrrell"	"24"	"DNF"	"Transmission"
"1992"	"San Marino Grand Prix"	"Tyrrell"	"20"	"8"	""
"1992"	"1992 Spanish F1 GP"	"Tyrrell"	"15"	"DNF"	"Spun Off"
"1992"	"1992 Brazilian F1 GP"	"Tyrrell"	"17"	"DNF"	"Engine"
"1992"	"1992 Mexican F1 GP"	"Tyrrell"	"16"	"DNF"	"Engine"
"1992"	"1992 South African F1 GP"	"Tyrrell"	"12"	"DNF"	"Engine"
"1991"	"1991 Spanish F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Portuguese F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Italian F1 GP"	"Fondmetal"	"26"	"DNF"	"Engine"
"1991"	"1991 Belgian F1 GP"	"Fondmetal"	"23"	"10"	""
"1991"	"1991 Hungarian F1 GP"	"Fondmetal"	"0"	"DNQ"	"No Time"
"1991"	"1991 German F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"1991 British F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"French Grand Prix"	"Fondmetal"	"21"	"DNF"	"Oil Leak"
"1991"	"1991 Mexican F1 GP"	"Fondmetal"	"21"	"DNF"	"Engine"
"1991"	"1991 Canadian F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Monaco F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"1991 San Marino F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Brazilian F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"1991 USA F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Australian F1 GP"	"Osella"	"22"	"13"	""
"1990"	"1990 Japanese F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1990"	"1990 Spanish F1 GP"	"Osella"	"21"	"DNF"	"Wheel Bearing"
"1990"	"1990 Portuguese F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1990"	"1990 Italian F1 GP"	"Osella"	"23"	"DNF"	"Wheel Bearing"
"1990"	"1990 Belgian F1 GP"	"Osella"	"23"	"16"	""
"1990"	"1990 Hungarian F1 GP"	"Osella"	"0"	"DNPQ"	"No Time"
"1990"	"1990 German F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1990"	"1990 British F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1990"	"1990 French F1 GP"	"Osella"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Mexican F1 GP"	"Osella"	"20"	"19"	""
"1990"	"1990 Canadian F1 GP"	"Osella"	"15"	"13"	""
"1990"	"1990 Monaco F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1990"	"1990 San Marino F1 GP"	"Osella"	"22"	"DNF"	"Wheel"
"1990"	"1990 Brazilian F1 GP"	"Osella"	"21"	"DNF"	"Collision"
"1990"	"1990 USA F1 GP"	"Osella"	"8"	"DNF"	"Collision"
"1989"	"1989 Australian F1 GP"	"Ligier"	"24"	"DNF"	"Spun Off"
"1989"	"1989 Japanese F1 GP"	"Ligier"	"23"	"DNF"	"Engine"
"1989"	"1989 Spanish F1 GP"	"Ligier"	"24"	"DNF"	"Engine"
"1989"	"1989 Portuguese F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 Italian F1 GP"	"Ligier"	"21"	"DNF"	"Exhaust"
"1989"	"1989 Belgian F1 GP"	"Ligier"	"26"	"13"	""
"1989"	"1989 Hungarian F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 German F1 GP"	"Ligier"	"11"	"DNF"	"Gearbox"
"1989"	"1989 British F1 GP"	"Ligier"	"24"	"7"	""
"1989"	"1989 French F1 GP"	"Ligier"	"17"	"6"	""
"1989"	"1989 Canadian F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 USA F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 Mexican F1 GP"	"Ligier"	"11"	"8"	""
"1989"	"1989 Monaco F1 GP"	"Ligier"	"16"	"DNF"	"Gearbox"
"1989"	"1989 San Marino F1 GP"	"Ligier"	"10"	"DSQ"	"Disqualified"
"1989"	"1989 Brazilian F1 GP"	"Ligier"	"22"	"9"	""
