"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2004"	"2004 Japanese F1 GP"	"Toyota"	"10"	"14"	""
"2004"	"2004 Chinese F1 GP"	"Toyota"	"8"	"14"	""
"2004"	"2004 Italian F1 GP"	"Toyota"	"13"	"DNF"	"Collision"
"2004"	"2004 Belgian F1 GP"	"Toyota"	"9"	"8"	""
"2004"	"2004 Hungarian F1 GP"	"Toyota"	"13"	"11"	""
"2004"	"2004 German F1 GP"	"Toyota"	"9"	"14"	""
"2004"	"2004 British F1 GP"	"Toyota"	"17"	"DNF"	"Accident"
"2004"	"2004 French F1 GP"	"Toyota"	"14"	"15"	""
"2004"	"2004 USA F1 GP"	"Toyota"	"8"	"5"	""
"2004"	"2004 Canadian F1 GP"	"Toyota"	"13"	"DSQ"	"Disqualified"
"2004"	"2004 European F1 GP"	"Toyota"	"10"	"11"	""
"2004"	"2004 Monaco F1 GP"	"Toyota"	"13"	"8"	""
"2004"	"2004 Spanish F1 GP"	"Toyota"	"7"	"DNF"	"Hydraulics"
"2004"	"2004 San Marino F1 GP"	"Toyota"	"13"	"11"	""
"2004"	"2004 Bahrain F1 GP"	"Toyota"	"8"	"9"	""
"2004"	"2004 Malaysian F1 GP"	"Toyota"	"14"	"12"	""
"2004"	"2004 Australian F1 GP"	"Toyota"	"18"	"13"	""
"2003"	"2003 Japanese F1 GP"	"Toyota"	"4"	"10"	""
"2003"	"2003 USA F1 GP"	"Toyota"	"3"	"DNF"	"Accident"
"2003"	"2003 Italian F1 GP"	"Toyota"	"9"	"DNF"	"Brakes"
"2003"	"2003 Hungarian F1 GP"	"Toyota"	"10"	"DNF"	"Gearbox"
"2003"	"2003 German F1 GP"	"Toyota"	"7"	"5"	""
"2003"	"2003 British F1 GP"	"Toyota"	"13"	"11"	""
"2003"	"2003 French F1 GP"	"Toyota"	"10"	"8"	""
"2003"	"2003 European F1 GP"	"Toyota"	"7"	"DNF"	"Spin"
"2003"	"2003 Canadian F1 GP"	"Toyota"	"7"	"8"	""
"2003"	"2003 Monaco F1 GP"	"Toyota"	"17"	"13"	""
"2003"	"2003 Austrian F1 GP"	"Toyota"	"11"	"DNF"	"Suspension"
"2003"	"2003 Spanish F1 GP"	"Toyota"	"6"	"DNF"	"Gearbox"
"2003"	"2003 San Marino F1 GP"	"Toyota"	"10"	"9"	""
"2003"	"2003 Brazilian F1 GP"	"Toyota"	"15"	"DNF"	"Collision"
"2003"	"2003 Malaysian F1 GP"	"Toyota"	"10"	"DNF"	"Fuel pressure"
"2003"	"2003 Australian F1 GP"	"Toyota"	"5"	"DNF"	"Fuel pressure"
"2002"	"2002 Japanese F1 GP"	"BAR"	"16"	"DNF"	"Mechanical"
"2002"	"2002 USA F1 GP"	"BAR"	"12"	"12"	""
"2002"	"2002 Italian F1 GP"	"BAR"	"16"	"6"	""
"2002"	"2002 Belgian F1 GP"	"BAR"	"15"	"12"	"Engine"
"2002"	"2002 Hungarian F1 GP"	"BAR"	"12"	"12"	""
"2002"	"2002 German F1 GP"	"BAR"	"7"	"DNF"	"Engine"
"2002"	"2002 French F1 GP"	"BAR"	"11"	"DNF"	"Accident"
"2002"	"2002 British F1 GP"	"BAR"	"13"	"5"	""
"2002"	"2002 European F1 GP"	"BAR"	"12"	"9"	""
"2002"	"2002 Canadian F1 GP"	"BAR"	"11"	"8"	""
"2002"	"2002 Monaco F1 GP"	"BAR"	"18"	"DNF"	"Collision"
"2002"	"2002 Austrian F1 GP"	"BAR"	"9"	"DNF"	"Engine"
"2002"	"2002 Spanish F1 GP"	"BAR"	"13"	"DNF"	"Exhaust"
"2002"	"2002 San Marino F1 GP"	"BAR"	"12"	"DNF"	"Throttle"
"2002"	"2002 Brazilian F1 GP"	"BAR"	"17"	"DNF"	"Gearbox"
"2002"	"2002 Malaysian F1 GP"	"BAR"	"18"	"DNF"	"Clutch"
"2002"	"2002 Australian F1 GP"	"BAR"	"12"	"DNF"	"Collision"
"2001"	"2001 Japanese F1 GP"	"BAR"	"17"	"13"	""
"2001"	"2001 USA F1 GP"	"BAR"	"13"	"11"	""
"2001"	"2001 Italian F1 GP"	"BAR"	"17"	"9"	""
"2001"	"2001 Belgian F1 GP"	"BAR"	"11"	"11"	""
"2001"	"2001 Hungarian F1 GP"	"BAR"	"11"	"DNF"	"Electrical"
"2001"	"2001 German F1 GP"	"BAR"	"13"	"7"	""
"2001"	"2001 British F1 GP"	"BAR"	"11"	"DNF"	"Collision"
"2001"	"2001 French F1 GP"	"BAR"	"11"	"9"	""
"2001"	"2001 European F1 GP"	"BAR"	"13"	"DNF"	"Electrical"
"2001"	"2001 Canadian F1 GP"	"BAR"	"6"	"DNF"	"Brakes"
"2001"	"2001 Monaco F1 GP"	"BAR"	"12"	"DNF"	"Steering"
"2001"	"2001 Austrian F1 GP"	"BAR"	"10"	"5"	""
"2001"	"2001 Spanish F1 GP"	"BAR"	"11"	"7"	""
"2001"	"2001 San Marino F1 GP"	"BAR"	"8"	"8"	""
"2001"	"2001 Brazilian F1 GP"	"BAR"	"11"	"4"	""
"2001"	"2001 Malaysian F1 GP"	"BAR"	"10"	"DNF"	"Oil Leak"
"2001"	"2001 Australian F1 GP"	"BAR"	"9"	"7"	""
"1999"	"1999 Japanese F1 GP"	"Prost"	"6"	"DNF"	"Alternator"
"1999"	"1999 Malaysian F1 GP"	"Prost"	"12"	"DNF"	"Engine"
"1999"	"1999 European F1 GP"	"Prost"	"5"	"9"	""
"1999"	"1999 Italian F1 GP"	"Prost"	"10"	"11"	"Engine"
"1999"	"1999 Belgian F1 GP"	"Prost"	"17"	"13"	""
"1999"	"1999 Hungarian F1 GP"	"Prost"	"14"	"10"	""
"1999"	"1999 German F1 GP"	"Prost"	"7"	"6"	""
"1999"	"1999 Austrian F1 GP"	"Prost"	"18"	"10"	""
"1999"	"1999 British F1 GP"	"Prost"	"15"	"13"	""
"1999"	"1999 French F1 GP"	"Prost"	"3"	"8"	""
"1999"	"1999 Canadian F1 GP"	"Prost"	"15"	"9"	""
"1999"	"1999 Spanish F1 GP"	"Prost"	"15"	"DNF"	"Gearbox"
"1999"	"1999 Monaco F1 GP"	"Prost"	"18"	"DNF"	"Engine"
"1999"	"1999 San Marino F1 GP"	"Prost"	"11"	"DNF"	"Throttle"
"1999"	"1999 Brazilian F1 GP"	"Prost"	"12"	"6"	""
"1999"	"1999 Australian F1 GP"	"Prost"	"20"	"DNF"	"Wheel"
"1998"	"1998 Japanese F1 GP"	"Prost"	"13"	"11"	""
"1998"	"1998 Luxembourg F1 GP"	"Prost"	"15"	"12"	""
"1998"	"1998 Italian F1 GP"	"Prost"	"9"	"DNF"	"Vibrations"
"1998"	"1998 Belgian F1 GP"	"Prost"	"14"	"DNS"	"Start crash"
"1998"	"1998 Hungarian F1 GP"	"Prost"	"20"	"12"	""
"1998"	"1998 German F1 GP"	"Prost"	"16"	"15"	""
"1998"	"1998 Austrian F1 GP"	"Prost"	"10"	"DNF"	"Clutch"
"1998"	"1998 British F1 GP"	"Prost"	"22"	"DNF"	"Spun off"
"1998"	"1998 French F1 GP"	"Prost"	"16"	"11"	""
"1998"	"1998 Canadian F1 GP"	"Prost"	"15"	"DNF"	"Spun off"
"1998"	"1998 Monaco F1 GP"	"Prost"	"18"	"DNF"	"Wheel"
"1998"	"1998 Spanish F1 GP"	"Prost"	"12"	"16"	""
"1998"	"1998 San Marino F1 GP"	"Prost"	"13"	"11"	""
"1998"	"1998 Argentine F1 GP"	"Prost"	"15"	"15"	"Engine"
"1998"	"1998 Brazilian F1 GP"	"Prost"	"9"	"DNF"	"Engine"
"1998"	"1998 Australian F1 GP"	"Prost"	"21"	"9"	""
"1997"	"1997 European F1 GP"	"Prost"	"9"	"7"	""
"1997"	"1997 Japanese F1 GP"	"Prost"	"10"	"DNF"	"Engine"
"1997"	"1997 Luxembourg F1 GP"	"Prost"	"11"	"6"	""
"1997"	"1997 Canadian F1 GP"	"Prost"	"10"	"11"	"Spun off"
"1997"	"1997 Spanish F1 GP"	"Prost"	"12"	"2"	""
"1997"	"1997 Monaco F1 GP"	"Prost"	"12"	"4"	""
"1997"	"1997 San Marino F1 GP"	"Prost"	"4"	"8"	""
"1997"	"1997 Argentine F1 GP"	"Prost"	"3"	"DNF"	"Electrical"
"1997"	"1997 Brazilian F1 GP"	"Prost"	"5"	"3"	""
"1997"	"1997 Australian F1 GP"	"Prost"	"9"	"5"	""
"1996"	"1996 Japanese F1 GP"	"Ligier"	"12"	"7"	""
"1996"	"1996 Portuguese F1 GP"	"Ligier"	"15"	"10"	""
"1996"	"1996 Italian F1 GP"	"Ligier"	"11"	"DNF"	"Spun off"
"1996"	"1996 Belgian F1 GP"	"Ligier"	"14"	"DNF"	"Collision"
"1996"	"1996 Hungarian F1 GP"	"Ligier"	"11"	"5"	""
"1996"	"1996 German F1 GP"	"Ligier"	"12"	"7"	""
