"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1980"	"1980 British F1 GP"	"Alfa Romeo"	"8"	"DNF"	"Engine"
"1980"	"1980 French F1 GP"	"Alfa Romeo"	"10"	"DNF"	"Handling"
"1980"	"1980 Monaco F1 GP"	"Alfa Romeo"	"7"	"DNF"	"Engine"
"1980"	"1980 Belgian F1 GP"	"Alfa Romeo"	"10"	"DNF"	"Exhaust"
"1980"	"1980 USA West F1 GP"	"Alfa Romeo"	"3"	"DNF"	"Suspension"
"1980"	"1980 South African F1 GP"	"Alfa Romeo"	"7"	"NC"	"Not Classified"
"1980"	"1980 Brazilian F1 GP"	"Alfa Romeo"	"21"	"DNF"	"Electrical"
"1980"	"1980 Argentine F1 GP"	"Alfa Romeo"	"23"	"DNF"	"Engine"
"1979"	"1979 Monaco F1 GP"	"Ligier"	"3"	"5"	"Engine"
"1979"	"1979 Belgian F1 GP"	"Ligier"	"2"	"DNF"	"Accident"
"1979"	"1979 Spanish F1 GP"	"Ligier"	"2"	"1"	""
"1979"	"1979 USA West F1 GP"	"Ligier"	"4"	"5"	""
"1979"	"1979 South African F1 GP"	"Ligier"	"5"	"DNF"	"Accident"
"1979"	"1979 Brazilian Grand F1 GP"	"Ligier"	"2"	"2"	""
"1979"	"1979 Argentine F1 GP"	"Ligier"	"2"	"4"	""
"1978"	"1978 Canadian F1 GP"	"Tyrrell"	"13"	"5"	""
"1978"	"1978 USA F1 GP"	"Tyrrell"	"12"	"DNF"	"Wheel"
"1978"	"1978 Italian F1 GP"	"Tyrrell"	"16"	"11"	""
"1978"	"1978 Dutch F1 GP"	"Tyrrell"	"12"	"DNF"	"Engine"
"1978"	"1978 Austrian F1 GP"	"Tyrrell"	"14"	"2"	""
"1978"	"1978 German F1 GP"	"Tyrrell"	"13"	"DNF"	"Accident"
"1978"	"1978 British F1 GP"	"Tyrrell"	"10"	"4"	""
"1978"	"1978 French F1 GP"	"Tyrrell"	"13"	"DNF"	"Engine"
"1978"	"1978 Swedish F1 GP"	"Tyrrell"	"12"	"DNF"	"Suspension"
"1978"	"1978 Spanish F1 GP"	"Tyrrell"	"12"	"DNF"	"Engine"
"1978"	"1978 Belgian F1 GP"	"Tyrrell"	"13"	"DNF"	"Gearbox"
"1978"	"1978 Monaco F1 GP"	"Tyrrell"	"5"	"1"	""
"1978"	"1978 USA West F1 GP"	"Tyrrell"	"12"	"3"	""
"1978"	"1978 South African F1 GP"	"Tyrrell"	"11"	"2"	""
"1978"	"1978 Brazilian F1 GP"	"Tyrrell"	"11"	"DNF"	"Accident"
"1978"	"1978 Argentine F1 GP"	"Tyrrell"	"10"	"3"	""
"1977"	"1977 Japanese F1 GP"	"Tyrrell"	"15"	"3"	""
"1977"	"1977 Canadian F1 GP"	"Tyrrell"	"6"	"2"	""
"1977"	"1977 USA F1 GP"	"Tyrrell"	"8"	"14"	""
"1977"	"1977 Italian F1 GP"	"Tyrrell"	"13"	"DNF"	"Engine"
"1977"	"1977 Dutch F1 GP"	"Tyrrell"	"11"	"DNF"	"Engine"
