"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2005"	"2005 British F1 GP"	"Minardi"	"19"	"19"	""
"2005"	"2005 French F1 GP"	"Minardi"	"18"	"DNF"	"Puncture"
"2005"	"2005 USA F1 GP"	"Minardi"	"20"	"6"	""
"2005"	"2005 Canadian F1 GP"	"Minardi"	"19"	"DNF"	"Hydraulics"
"2005"	"2005 European F1 GP"	"Minardi"	"18"	"18"	""
"2005"	"2005 Monaco F1 GP"	"Minardi"	"13"	"DNF"	"Accident"
"2005"	"2005 Spanish F1 GP"	"Minardi"	"15"	"DNF"	"Spun off"
"2005"	"2005 San Marino F1 GP"	"Minardi"	"19"	"DNF"	"Clutch"
"2005"	"2005 Bahrain F1 GP"	"Minardi"	"19"	"12"	""
"2005"	"2005 Malaysian F1 GP"	"Minardi"	"20"	"DNF"	"Spun Off"
"2005"	"2005 Australian F1 GP"	"Minardi"	"16"	"17"	""
